qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|589891770|ref|YP_009008138.1|	143	1255305402	WP_097402859	205	43.06	62	120	8e-31	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|589891770|ref|YP_009008138.1|	143	506528958	WP_015995971	150	45.21	66	119	9e-31	543	MULTISPECIES: head completion protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|589891770|ref|YP_009008138.1|	143	506516447	WP_015983680	150	45.21	66	119	1e-30	1239	MULTISPECIES: head completion [Firmicutes]	Bacteria	Firmicutes					
0	gi|589891770|ref|YP_009008138.1|	143	1122786798	WP_074146633	117	42.86	48	80.1	4e-16	1496	head completion protein, partial [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|589891774|ref|YP_009008142.1|	888	918569513	WP_052514884	1299	48.11	51	93.2	7e-16	1429043	phage tail tape measure protein [Dethiosulfatarculus sandiegensis]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Dethiosulfatarculus	Dethiosulfatarculus sandiegensis
0	gi|589891774|ref|YP_009008142.1|	888	1134195596	WP_076437895	439	41.27	52	80.1	4e-12	1907408	hypothetical protein [Bosea sp. TND4EK4]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	Bosea sp. TND4EK4
0	gi|589891774|ref|YP_009008142.1|	888	1175377750	WP_081925542	448	41.54	54	76.3	6e-11	1510531	hypothetical protein [Bosea sp. UNC402CLCol]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	Bosea sp. UNC402CLCol
0	gi|589891774|ref|YP_009008142.1|	888	948145942	WP_056804240	435	42.45	45	75.9	7e-11	1736524	M23 family peptidase [Bosea sp. Root381]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	Bosea sp. Root381
0	gi|589891776|ref|YP_009008144.1|	75	497995481	WP_010309637	72	50.65	39	69.7	2e-13	232348	hypothetical protein [Synechococcus sp. CB0101]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. CB0101
0	gi|589891776|ref|YP_009008144.1|	75	493907044	WP_006852699	72	50.65	39	67.8	1e-12	166318	hypothetical protein [Synechococcus sp. WH 8016]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. WH 8016
0	gi|589891776|ref|YP_009008144.1|	75	499440781	WP_011128245	72	50.65	39	67.8	1e-12	1129	MULTISPECIES: hypothetical protein [Synechococcus]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	
0	gi|589891776|ref|YP_009008144.1|	75	499441320	WP_011128784	72	49.35	38	67.4	1e-12	1129	MULTISPECIES: hypothetical protein [Synechococcus]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	
0	gi|589891776|ref|YP_009008144.1|	75	752786846	WP_041426702	72	48.05	37	67	2e-12	64471	hypothetical protein [Synechococcus sp. CC9311]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. CC9311
0	gi|589891776|ref|YP_009008144.1|	75	856995239	WP_048347206	72	48.05	37	66.6	2e-12	32052	hypothetical protein [Synechococcus sp. WH 8020]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. WH 8020
0	gi|589891776|ref|YP_009008144.1|	75	739020261	WP_036901473	72	53.25	41	66.6	2e-12	1499498	hypothetical protein [Prochlorococcus sp. MIT 0601]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus sp. MIT 0601
0	gi|589891776|ref|YP_009008144.1|	75	494159184	WP_007098920	72	46.75	36	66.6	3e-12	221359	hypothetical protein [Synechococcus sp. RS9916]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. RS9916
0	gi|589891776|ref|YP_009008144.1|	75	760054812	WP_043737696	72	49.35	38	66.2	3e-12	316278	hypothetical protein [Synechococcus sp. RCC307]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. RCC307
0	gi|589891776|ref|YP_009008144.1|	75	497997033	WP_010311189	72	48.05	37	65.5	6e-12	232348	hypothetical protein [Synechococcus sp. CB0101]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. CB0101
0	gi|589891776|ref|YP_009008144.1|	75	492912819	WP_006043225	72	48.05	37	65.5	7e-12	59931	hypothetical protein [Synechococcus sp. WH 7805]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. WH 7805
0	gi|589891776|ref|YP_009008144.1|	75	494161830	WP_007101565	72	45.45	35	65.1	1e-11	221360	hypothetical protein [Synechococcus sp. RS9917]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. RS9917
0	gi|589891776|ref|YP_009008144.1|	75	740758073	WP_038543357	72	49.35	38	64.7	2e-11	1280380	hypothetical protein [Synechococcus sp. KORDI-100]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. KORDI-100
0	gi|589891776|ref|YP_009008144.1|	75	759652406	WP_043370094	72	49.35	38	64.3	2e-11	180281	hypothetical protein [Cyanobium sp. PCC 7001]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Cyanobium	Cyanobium sp. PCC 7001
0	gi|589891776|ref|YP_009008144.1|	75	695318133	WP_032517340	72	46.75	36	64.3	2e-11	1219	hypothetical protein [Prochlorococcus marinus]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
0	gi|589891776|ref|YP_009008144.1|	75	647385379	WP_025782157	72	48.05	37	63.9	3e-11	431041	hypothetical protein [Candidatus Synechococcus spongiarum]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Candidatus Synechococcus spongiarum
0	gi|589891776|ref|YP_009008144.1|	75	1198957875	WP_087069450	72	49.35	38	63.9	3e-11	1851505	hypothetical protein [Cyanobium sp. NIES-981]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Cyanobium	Cyanobium sp. NIES-981
0	gi|589891776|ref|YP_009008144.1|	75	760007527	WP_043690834	72	48.05	37	63.2	5e-11	585423	hypothetical protein [Synechococcus sp. KORDI-49]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. KORDI-49
0	gi|589891776|ref|YP_009008144.1|	75	760011913	WP_043695220	72	46.75	36	63.2	5e-11	585423	hypothetical protein [Synechococcus sp. KORDI-49]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. KORDI-49
0	gi|589891776|ref|YP_009008144.1|	75	499443445	WP_011130909	72	45.45	35	63.2	6e-11	1219	hypothetical protein [Prochlorococcus marinus]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
0	gi|589891776|ref|YP_009008144.1|	75	499613487	WP_011294221	72	46.75	36	62.8	6e-11	1218	MULTISPECIES: hypothetical protein [Prochlorococcus]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	
0	gi|589891776|ref|YP_009008144.1|	75	1129493307	WP_075449422	72	45.45	35	62.8	7e-11	1219	hypothetical protein [Prochlorococcus marinus]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
0	gi|589891776|ref|YP_009008144.1|	75	499679850	WP_011360584	72	46.75	36	62.4	1e-10	316279	hypothetical protein [Synechococcus sp. CC9902]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. CC9902
0	gi|589891776|ref|YP_009008144.1|	75	647660777	WP_025929704	72	45.45	35	62.4	1e-10	1961088	hypothetical protein [Prochlorococcus sp. HOT208_60m_813B04]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus sp. HOT208_60m_813B04
0	gi|589891780|ref|YP_009008148.1|	104	492911011	WP_006041417	105	52.38	55	116	6e-31	59931	hypothetical protein [Synechococcus sp. WH 7805]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. WH 7805
0	gi|589891788|ref|YP_009008156.1|	176	1248104834	WP_096607858	196	35.71	65	105	2e-24	1954172	chorismate-binding protein [Calothrix sp. NIES-2100]	Bacteria	Cyanobacteria		Nostocales	Rivulariaceae	Calothrix	Calothrix sp. NIES-2100
0	gi|589891788|ref|YP_009008156.1|	176	797206592	WP_045867544	196	35.16	64	103	5e-24	1161	MULTISPECIES: chorismate-binding protein [Nostocales]	Bacteria	Cyanobacteria		Nostocales			
0	gi|589891788|ref|YP_009008156.1|	176	495550735	WP_008275314	196	32.94	56	103	5e-24	391612	chorismate-binding protein [Cyanothece sp. CCY0110]	Bacteria	Cyanobacteria		Oscillatoriales	Cyanothecaceae	Cyanothece	Cyanothece sp. CCY0110
0	gi|589891788|ref|YP_009008156.1|	176	1248087398	WP_096590766	196	35.16	64	103	1e-23	1954171	chorismate-binding protein [Calothrix sp. NIES-2098]	Bacteria	Cyanobacteria		Nostocales	Rivulariaceae	Calothrix	Calothrix sp. NIES-2098
0	gi|589891788|ref|YP_009008156.1|	176	740865993	WP_038651244	199	32.96	59	103	1e-23	1501269	chorismate-binding protein [Prochlorococcus sp. MIT 0801]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus sp. MIT 0801
0	gi|589891788|ref|YP_009008156.1|	176	1248077616	WP_096581129	196	34.62	63	102	1e-23	1161	MULTISPECIES: chorismate-binding protein [Nostocales]	Bacteria	Cyanobacteria		Nostocales			
0	gi|589891788|ref|YP_009008156.1|	176	739025084	WP_036906277	199	32.4	58	102	3e-23	1219	chorismate-binding protein [Prochlorococcus marinus]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
0	gi|589891788|ref|YP_009008156.1|	176	494515694	WP_007305152	196	33.53	57	101	4e-23	263511	chorismate-binding protein [Crocosphaera watsonii]	Bacteria	Cyanobacteria		Chroococcales	Aphanothecaceae	Crocosphaera	Crocosphaera watsonii
0	gi|589891788|ref|YP_009008156.1|	176	917437370	WP_052043788	191	33.7	62	101	4e-23	1218	MULTISPECIES: hypothetical protein [Prochlorococcus]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	
0	gi|589891788|ref|YP_009008156.1|	176	500147148	WP_011823151	199	32.96	59	101	5e-23	1219	chromophore lyase CpcT/CpeT [Prochlorococcus marinus]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
0	gi|589891788|ref|YP_009008156.1|	176	1201342015	WP_087593471	196	32.94	56	100	7e-23	1982589	chorismate-binding protein [unicellular cyanobacterium SU3]	Bacteria	Cyanobacteria					unicellular cyanobacterium SU3
0	gi|589891788|ref|YP_009008156.1|	176	655726240	WP_028948630	196	30.56	55	100	1e-22	1147	chorismate-binding protein [Synechocystis sp. PCC 6714]	Bacteria	Cyanobacteria		Synechococcales	Merismopediaceae	Synechocystis	Synechocystis sp. PCC 6714
0	gi|589891788|ref|YP_009008156.1|	176	1186532923	WP_085433965	196	31.67	57	100	1e-22	1981054	chorismate-binding protein [unicellular cyanobacterium SU2]	Bacteria	Cyanobacteria					unicellular cyanobacterium SU2
0	gi|589891788|ref|YP_009008156.1|	176	501149956	WP_012194892	192	35.16	64	100	2e-22	1219	chorismate-binding protein [Prochlorococcus marinus]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
0	gi|589891788|ref|YP_009008156.1|	176	515895631	WP_017326214	219	35.16	64	100	2e-22	195250	hypothetical protein [Synechococcus sp. PCC 7336]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. PCC 7336
0	gi|589891788|ref|YP_009008156.1|	176	1094114652	WP_071104151	203	34.08	61	98.2	8e-22	1155739	chorismate-binding protein [Moorea producens]	Bacteria	Cyanobacteria		Oscillatoriales	Oscillatoriaceae	Moorea	Moorea producens
0	gi|589891788|ref|YP_009008156.1|	176	499613575	WP_011294309	199	31.84	57	98.2	9e-22	1219	chorismate-binding protein [Prochlorococcus marinus]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
0	gi|589891788|ref|YP_009008156.1|	176	1132236035	WP_075904199	203	34.08	61	98.2	1e-21	207920	chorismate-binding protein [Moorea bouillonii]	Bacteria	Cyanobacteria		Oscillatoriales	Oscillatoriaceae	Moorea	Moorea bouillonii
0	gi|589891788|ref|YP_009008156.1|	176	1233111674	WP_094514098	198	29.67	54	97.4	1e-21	210768	chorismate-binding protein [Synechococcus sp. MW101C3]	Bacteria	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. MW101C3
0	gi|589891788|ref|YP_009008156.1|	176	739020108	WP_036901320	192	33.51	62	97.4	2e-21	1499498	chorismate-binding protein [Prochlorococcus sp. MIT 0601]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus sp. MIT 0601
0	gi|589891788|ref|YP_009008156.1|	176	737173059	WP_035159263	196	33.33	58	97.1	2e-21	1337936	chorismate-binding protein [Calothrix sp. 336/3]	Bacteria	Cyanobacteria		Nostocales	Rivulariaceae	Calothrix	Calothrix sp. 336/3
0	gi|589891788|ref|YP_009008156.1|	176	501588807	WP_012593087	200	32.6	59	97.1	2e-21	41431	chorismate-binding protein [Cyanothece sp. PCC 8801]	Bacteria	Cyanobacteria		Oscillatoriales	Cyanothecaceae	Cyanothece	Cyanothece sp. PCC 8801
0	gi|589891788|ref|YP_009008156.1|	176	495459878	WP_008184570	203	33.52	60	97.1	3e-21	1155739	chorismate-binding protein [Moorea producens]	Bacteria	Cyanobacteria		Oscillatoriales	Oscillatoriaceae	Moorea	Moorea producens
0	gi|589891788|ref|YP_009008156.1|	176	515363939	WP_016868857	196	32.78	59	96.7	3e-21	92938	chorismate-binding protein [Fischerella muscicola]	Bacteria	Cyanobacteria		Nostocales	Hapalosiphonaceae	Fischerella	Fischerella muscicola
0	gi|589891788|ref|YP_009008156.1|	176	1334995876	WP_103137578	199	32.22	58	96.7	3e-21	1869241	chorismate-binding protein [Nostoc sp. CENA543]	Bacteria	Cyanobacteria		Nostocales	Nostocaceae	Nostoc	Nostoc sp. CENA543
0	gi|589891788|ref|YP_009008156.1|	176	497229934	WP_009544196	196	32.57	57	96.7	3e-21	43988	MULTISPECIES: chorismate-binding protein [Cyanothece]	Bacteria	Cyanobacteria		Oscillatoriales	Cyanothecaceae	Cyanothece	
0	gi|589891788|ref|YP_009008156.1|	176	941164720	WP_055074022	203	32.4	58	96.7	3e-21	1681830	chorismate-binding protein [Pseudanabaena sp. 'Roaring Creek']	Bacteria	Cyanobacteria		Synechococcales	Pseudanabaenaceae	Pseudanabaena	Pseudanabaena sp. 'Roaring Creek'
0	gi|589891788|ref|YP_009008156.1|	176	1248177734	WP_096677582	196	33.33	60	96.7	3e-21	2005456	chorismate-binding protein [Fischerella sp. NIES-4106]	Bacteria	Cyanobacteria		Nostocales	Hapalosiphonaceae	Fischerella	Fischerella sp. NIES-4106
0	gi|589891788|ref|YP_009008156.1|	176	515881146	WP_017311729	196	34.25	62	96.3	4e-21	1892263	MULTISPECIES: chorismate-binding protein [Hapalosiphonaceae]	Bacteria	Cyanobacteria		Nostocales	Hapalosiphonaceae		
0	gi|589891788|ref|YP_009008156.1|	176	499175500	WP_010873087	196	31.95	54	95.9	5e-21	1148	chromophore lyase CpcT/CpeT [Synechocystis sp. PCC 6803]	Bacteria	Cyanobacteria		Synechococcales	Merismopediaceae	Synechocystis	Synechocystis sp. PCC 6803
0	gi|589891788|ref|YP_009008156.1|	176	1022615858	WP_063397593	204	33.71	60	95.9	6e-21	1723647	chorismate-binding protein [Prochlorococcus sp. MIT 1303]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus sp. MIT 1303
0	gi|589891788|ref|YP_009008156.1|	176	950122233	WP_057178493	197	34.08	61	95.1	1e-20	1892259	MULTISPECIES: chorismate-binding protein [Aphanizomenonaceae]	Bacteria	Cyanobacteria		Nostocales	Aphanizomenonaceae		
0	gi|589891788|ref|YP_009008156.1|	176	515348692	WP_016862789	196	31.67	57	95.1	1e-20	92938	chorismate-binding protein [Fischerella muscicola]	Bacteria	Cyanobacteria		Nostocales	Hapalosiphonaceae	Fischerella	Fischerella muscicola
