qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|326536410|ref|YP_004300839.1|	744	1167889684	WP_080181602	725	38.11	117	172	1e-41	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|326536410|ref|YP_004300839.1|	744	1296597415	WP_100771378	725	38.11	117	172	1e-41	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|326536410|ref|YP_004300839.1|	744	1208946742	WP_088209800	725	37.86	117	170	4e-41	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|326536410|ref|YP_004300839.1|	744	1122786325	WP_074146350	725	37.79	116	168	2e-40	1496	hypothetical protein [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|326536410|ref|YP_004300839.1|	744	493375781	WP_006332075	283	40.31	77	130	9e-30	1297570	hypothetical protein [Mesorhizobium sp. STM 4661]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. STM 4661
0	gi|326536410|ref|YP_004300839.1|	744	640401610	WP_024892447	762	32.05	100	136	9e-30	930	ATP-binding protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|326536410|ref|YP_004300839.1|	744	1224477396	WP_092498558	786	32.44	97	134	6e-29	1855383	hypothetical protein [bacterium A52C2]	Bacteria						bacterium A52C2
0	gi|326536410|ref|YP_004300839.1|	744	517045616	WP_018234434	825	34.13	86	132	3e-28	243063	hypothetical protein [Thioalkalivibrio thiocyanodenitrificans]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio thiocyanodenitrificans
0	gi|326536410|ref|YP_004300839.1|	744	1160743855	WP_079602466	712	32.03	98	130	7e-28	1437360	hypothetical protein [Bradyrhizobium erythrophlei]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium erythrophlei
0	gi|326536410|ref|YP_004300839.1|	744	1057312555	WP_068673781	874	37.5	72	130	7e-28	34072	MULTISPECIES: ATP-binding protein [Variovorax]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	
0	gi|326536410|ref|YP_004300839.1|	744	739644786	WP_037500606	712	31.93	91	130	8e-28	392409	ATP-binding protein [Sphingomonas jaspsi]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas jaspsi
0	gi|326536410|ref|YP_004300839.1|	744	1222655058	WP_090702921	716	30.46	99	126	1e-26	1882748	ATP-binding protein [Beijerinckia sp. 28-YEA-48]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia sp. 28-YEA-48
0	gi|326536410|ref|YP_004300839.1|	744	983583808	WP_060733666	802	32.56	98	125	3e-26	95486	ATP-binding protein [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
0	gi|326536410|ref|YP_004300839.1|	744	739327379	WP_037189813	695	28.8	89	124	4e-26	1509405	ATP-binding protein [Pseudorhizobium pelagicum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudorhizobium	Pseudorhizobium pelagicum
0	gi|326536410|ref|YP_004300839.1|	744	656042496	WP_029081189	705	29.61	106	123	1e-25	172088	ATP-binding protein [Bradyrhizobium sp. th.b2]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. th.b2
0	gi|326536410|ref|YP_004300839.1|	744	1215346504	WP_089045541	802	28.71	89	122	2e-25	1449788	hypothetical protein [Sinorhizobium sp. LM21]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium sp. LM21
0	gi|326536410|ref|YP_004300839.1|	744	654889193	WP_028340895	727	30.82	90	122	3e-25	29448	hypothetical protein [Bradyrhizobium elkanii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium elkanii
0	gi|326536410|ref|YP_004300839.1|	744	1119688789	WP_072607579	662	27.81	89	119	2e-24	1670800	hypothetical protein [Mesorhizobium sp. B7]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. B7
0	gi|326536410|ref|YP_004300839.1|	744	1223945934	WP_091977305	706	29.41	95	118	4e-24	931866	hypothetical protein [Bradyrhizobium ottawaense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium ottawaense
0	gi|326536410|ref|YP_004300839.1|	744	1048173592	WP_065784095	789	30.62	94	116	2e-23	106591	MULTISPECIES: hypothetical protein [Ensifer]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	
0	gi|326536410|ref|YP_004300839.1|	744	917658982	WP_052213509	801	29.8	90	110	1e-21	398	ATP-binding protein [Rhizobium tropici]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium tropici
0	gi|326536410|ref|YP_004300839.1|	744	738328578	WP_036281365	706	30	87	109	3e-21	622637	ATP-binding protein [Methylocystis sp. ATCC 49242]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis	Methylocystis sp. ATCC 49242
0	gi|326536410|ref|YP_004300839.1|	744	984669110	WP_060772554	763	30.07	89	108	5e-21	925818	ATP-binding protein [Methylobacterium sp. AMS5]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. AMS5
0	gi|326536410|ref|YP_004300839.1|	744	1011199903	WP_062120275	805	28.28	84	108	6e-21	1637747	ATP-binding protein [Aureimonas sp. AU40]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aureimonas	Aureimonas sp. AU40
0	gi|326536410|ref|YP_004300839.1|	744	1160786814	WP_079638720	656	29.72	85	107	9e-21	1507287	hypothetical protein [Sphingopyxis flava]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis flava
0	gi|326536410|ref|YP_004300839.1|	744	1223406313	WP_091444331	808	26.46	104	107	2e-20	177413	ATP-binding protein [Ancylobacter rudongensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Ancylobacter	Ancylobacter rudongensis
0	gi|326536410|ref|YP_004300839.1|	744	1254251383	WP_097169849	790	28.96	86	105	4e-20	1855304	ATP-binding protein [Rhizobium sp. AN5]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. AN5
