qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|418489850|ref|YP_007003599.1|	115	491056172	WP_004917816	115	100	115	233	2e-76	34085	hypothetical protein [Riemerella anatipestifer]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
0	gi|418489850|ref|YP_007003599.1|	115	1159273741	WP_079206532	115	93.04	107	217	4e-70	34085	hypothetical protein [Riemerella anatipestifer]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
0	gi|418489850|ref|YP_007003599.1|	115	1039800871	WP_064968248	115	90.43	104	211	1e-67	34085	hypothetical protein [Riemerella anatipestifer]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
0	gi|418489928|ref|YP_007003600.1|	184	491056174	WP_004917818	184	100	184	385	4e-134	34085	N-acetylmuramoyl-L-alanine amidase [Riemerella anatipestifer]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
0	gi|418489928|ref|YP_007003600.1|	184	1039802282	WP_064968953	184	98.91	182	380	4e-132	34085	N-acetylmuramoyl-L-alanine amidase [Riemerella anatipestifer]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
0	gi|418489928|ref|YP_007003600.1|	184	504751205	WP_014938307	184	96.74	178	373	3e-129	34085	N-acetylmuramoyl-L-alanine amidase [Riemerella anatipestifer]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
0	gi|418489928|ref|YP_007003600.1|	184	1039803034	WP_064969638	187	95.58	173	363	2e-125	34085	N-acetylmuramoyl-L-alanine amidase [Riemerella anatipestifer]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
0	gi|418489928|ref|YP_007003600.1|	184	1159273743	WP_079206534	184	92.93	171	360	4e-124	34085	N-acetylmuramoyl-L-alanine amidase [Riemerella anatipestifer]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
0	gi|418489928|ref|YP_007003600.1|	184	1039803469	WP_064970073	175	97.14	170	355	1e-122	34085	N-acetylmuramoyl-L-alanine amidase, partial [Riemerella anatipestifer]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
0	gi|418489928|ref|YP_007003600.1|	184	504751112	WP_014938214	187	94.48	171	354	7e-122	34085	N-acetylmuramoyl-L-alanine amidase [Riemerella anatipestifer]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
0	gi|418489928|ref|YP_007003600.1|	184	504751438	WP_014938540	187	91.71	166	354	8e-122	34085	N-acetylmuramoyl-L-alanine amidase [Riemerella anatipestifer]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
0	gi|418489928|ref|YP_007003600.1|	184	1039804775	WP_064971292	187	91.16	165	353	1e-121	34085	N-acetylmuramoyl-L-alanine amidase [Riemerella anatipestifer]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
0	gi|418489928|ref|YP_007003600.1|	184	1039802866	WP_064969470	187	92.27	167	349	9e-120	34085	N-acetylmuramoyl-L-alanine amidase [Riemerella anatipestifer]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
0	gi|418489928|ref|YP_007003600.1|	184	1154774849	WP_078691338	185	63.19	115	235	5e-75	1117645	N-acetylmuramoyl-L-alanine amidase [Elizabethkingia anophelis]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia	Elizabethkingia anophelis
0	gi|418489928|ref|YP_007003600.1|	184	1267370988	WP_098203496	186	62.64	114	234	2e-74	172045	N-acetylmuramoyl-L-alanine amidase [Elizabethkingia miricola]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia	Elizabethkingia miricola
0	gi|418489928|ref|YP_007003600.1|	184	895951529	WP_049037508	185	62.09	113	233	2e-74	1117645	N-acetylmuramoyl-L-alanine amidase [Elizabethkingia anophelis]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia	Elizabethkingia anophelis
0	gi|418489928|ref|YP_007003600.1|	184	1153882856	WP_078402593	186	62.64	114	233	2e-74	1756150	N-acetylmuramoyl-L-alanine amidase [Elizabethkingia genomosp. 4]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia	Elizabethkingia genomosp. 4
0	gi|418489928|ref|YP_007003600.1|	184	1153889705	WP_078408128	185	61.54	112	231	2e-73	238	N-acetylmuramoyl-L-alanine amidase [Elizabethkingia meningoseptica]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia	Elizabethkingia meningoseptica
0	gi|418489928|ref|YP_007003600.1|	184	1134319312	WP_076559163	186	60	108	221	1e-69	254	N-acetylmuramoyl-L-alanine amidase [Chryseobacterium indoltheticum]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	Chryseobacterium indoltheticum
0	gi|418489928|ref|YP_007003600.1|	184	653128803	WP_027378193	179	60.34	108	215	2e-67	412438	N-acetylmuramoyl-L-alanine amidase [Chryseobacterium daeguense]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	Chryseobacterium daeguense
0	gi|418489928|ref|YP_007003600.1|	184	1159275387	WP_079208178	181	59.12	107	212	5e-66	34085	N-acetylmuramoyl-L-alanine amidase [Riemerella anatipestifer]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
0	gi|418489928|ref|YP_007003600.1|	184	1124436724	WP_074723468	185	52.75	96	181	1e-53	229204	N-acetylmuramoyl-L-alanine amidase [Flavobacterium frigoris]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium frigoris
0	gi|418489928|ref|YP_007003600.1|	184	1221615612	WP_089745035	188	52.2	95	176	1e-51	1141221	N-acetylmuramoyl-L-alanine amidase [Chryseobacterium taihuense]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	Chryseobacterium taihuense
0	gi|418489928|ref|YP_007003600.1|	184	1054921279	WP_066679379	187	49.45	90	170	2e-49	59732	MULTISPECIES: N-acetylmuramoyl-L-alanine amidase [Chryseobacterium]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	
0	gi|418489928|ref|YP_007003600.1|	184	1040071897	WP_065082347	185	49.17	89	160	1e-45	172045	N-acetylmuramoyl-L-alanine amidase [Elizabethkingia miricola]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia	Elizabethkingia miricola
0	gi|418489928|ref|YP_007003600.1|	184	1180398850	WP_083917647	96	73.96	71	156	3e-45	103810	hypothetical protein [Riemerella columbina]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella columbina
0	gi|418489928|ref|YP_007003600.1|	184	1061036176	WP_069148041	185	48.62	88	157	2e-44	1117645	N-acetylmuramoyl-L-alanine amidase [Elizabethkingia anophelis]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia	Elizabethkingia anophelis
0	gi|418489928|ref|YP_007003600.1|	184	742833021	WP_038986938	180	44.13	79	139	1e-37	76831	MULTISPECIES: N-acetylmuramoyl-L-alanine amidase [Myroides]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Myroides	
