qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|119443653|ref|YP_918891.1|	86	1152004245	WP_078103059	255	100	86	173	2e-51	1280	hypothetical protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|119443653|ref|YP_918891.1|	86	487391612	WP_001662879	255	100	86	173	2e-51	1279	MULTISPECIES: hypothetical protein [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|119443653|ref|YP_918891.1|	86	1152266598	WP_078163142	255	100	86	172	2e-51	1280	hypothetical protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|119443653|ref|YP_918891.1|	86	1152275372	WP_078170069	254	100	85	171	9e-51	1280	hypothetical protein, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|119443653|ref|YP_918891.1|	86	1119511340	WP_072472527	255	98.84	85	171	1e-50	1280	hypothetical protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|119443653|ref|YP_918891.1|	86	1152732997	WP_078371210	255	97.67	84	169	6e-50	1280	hypothetical protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|119443653|ref|YP_918891.1|	86	1152255936	WP_078158014	255	98.84	85	169	9e-50	1280	hypothetical protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|119443653|ref|YP_918891.1|	86	920552032	WP_052999557	86	96.51	83	163	1e-49	1280	hypothetical protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|119443653|ref|YP_918891.1|	86	1119428582	WP_072403848	255	97.67	84	168	2e-49	1280	hypothetical protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|119443653|ref|YP_918891.1|	86	1316445193	WP_101262432	182	96.51	83	165	2e-49	1280	hypothetical protein, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|119443653|ref|YP_918891.1|	86	1316399790	WP_101245203	193	96.51	83	166	2e-49	1280	hypothetical protein, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|119443653|ref|YP_918891.1|	86	1152003442	WP_078102256	255	97.67	84	167	4e-49	1280	hypothetical protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|119443653|ref|YP_918891.1|	86	1152726960	WP_078370083	255	97.67	84	167	4e-49	1280	hypothetical protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|119443653|ref|YP_918891.1|	86	1231860482	WP_094409987	680	100	86	173	1e-48	1280	hypothetical protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
