qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|281416386|ref|YP_003347410.1|	103	493792373	WP_006740512	153	94.17	97	199	9e-63	149016	phage terminase small subunit P27 family [Streptococcus urinalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus urinalis
0	gi|281416386|ref|YP_003347410.1|	103	746711559	WP_039670736	153	89.32	92	193	2e-60	59310	phage terminase small subunit P27 family [Streptococcus macedonicus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus macedonicus
0	gi|281416386|ref|YP_003347410.1|	103	1124285614	WP_074581046	136	87.25	89	187	3e-58	315405	phage terminase small subunit P27 family [Streptococcus gallolyticus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus gallolyticus
0	gi|281416386|ref|YP_003347410.1|	103	1124173408	WP_074485201	155	85.44	88	183	2e-56	439219	phage terminase small subunit P27 family [Streptococcus henryi]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus henryi
0	gi|281416386|ref|YP_003347410.1|	103	881068253	WP_048785292	153	81.55	84	180	3e-55	1338	phage terminase small subunit P27 family [Streptococcus intermedius]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus intermedius
0	gi|281416386|ref|YP_003347410.1|	103	1272634425	WP_099390872	152	82.35	84	179	6e-55	59310	phage terminase small subunit P27 family [Streptococcus macedonicus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus macedonicus
0	gi|281416386|ref|YP_003347410.1|	103	1228043280	WP_094140992	152	80.39	82	175	2e-53	1335	phage terminase small subunit P27 family [Streptococcus equinus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus equinus
0	gi|281416386|ref|YP_003347410.1|	103	1124336618	WP_074628281	152	82.52	85	174	7e-53	315405	phage terminase small subunit P27 family [Streptococcus gallolyticus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus gallolyticus
0	gi|281416386|ref|YP_003347410.1|	103	1197580814	WP_086616381	153	75.73	78	171	8e-52	1309	phage terminase small subunit P27 family [Streptococcus mutans]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans
0	gi|281416386|ref|YP_003347410.1|	103	488215978	WP_002287186	153	75.73	78	171	8e-52	1309	phage terminase small subunit P27 family [Streptococcus mutans]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans
