qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|388570364|ref|YP_006382303.1|	554	914203421	WP_050519967	538	39.51	194	310	3e-94	1077947	hypothetical protein [Pseudorhodobacter antarcticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudorhodobacter	Pseudorhodobacter antarcticus
0	gi|388570364|ref|YP_006382303.1|	554	1172447925	WP_080822704	565	35.33	165	292	4e-87	1183409	hypothetical protein [Agrobacterium genomosp. 2]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium genomosp. 2
0	gi|388570364|ref|YP_006382303.1|	554	1238746656	WP_095386085	544	35.77	171	290	1e-86	2012632	hypothetical protein [Sphingopyxis sp. GW247-27LB]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis sp. GW247-27LB
0	gi|388570364|ref|YP_006382303.1|	554	917087971	WP_051694683	560	37.85	176	290	3e-86	1402135	hypothetical protein [Sulfitobacter pseudonitzschiae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	Sulfitobacter pseudonitzschiae
0	gi|388570364|ref|YP_006382303.1|	554	917027737	WP_051634449	549	36.13	172	286	5e-85	358	hypothetical protein [Agrobacterium tumefaciens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens
0	gi|388570364|ref|YP_006382303.1|	554	1196501824	WP_086155960	556	36.6	168	284	4e-84	2020311	hypothetical protein [Rhizobium sp. Kim5]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. Kim5
0	gi|388570364|ref|YP_006382303.1|	554	1119858462	WP_072748414	528	35.68	167	273	2e-80	1189325	hypothetical protein [Oceanicella actignis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanicella	Oceanicella actignis
0	gi|388570364|ref|YP_006382303.1|	554	740799131	WP_038584414	521	32.82	172	263	2e-76	399	hypothetical protein [Neorhizobium galegae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Neorhizobium	Neorhizobium galegae
0	gi|388570364|ref|YP_006382303.1|	554	1011353041	WP_062266915	546	35.84	167	260	3e-75	1633495	hypothetical protein [Endozoicomonas arenosclerae]	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonaceae	Endozoicomonas	Endozoicomonas arenosclerae
0	gi|388570364|ref|YP_006382303.1|	554	935593987	WP_054463641	530	35.74	168	255	2e-73	1225647	hypothetical protein [Phaeobacter sp. 11ANDIMAR09]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter sp. 11ANDIMAR09
0	gi|388570364|ref|YP_006382303.1|	554	1160676543	WP_079537387	556	33.26	161	253	2e-72	722472	hypothetical protein [Bradyrhizobium lablabi]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium lablabi
0	gi|388570364|ref|YP_006382303.1|	554	918203633	WP_052340952	602	34.48	160	254	2e-72	552063	transcriptional regulator [Salinarimonas rosea]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Salinarimonas	Salinarimonas rosea
0	gi|388570364|ref|YP_006382303.1|	554	1223406175	WP_091444193	638	33.96	163	253	6e-72	177413	hypothetical protein [Ancylobacter rudongensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Ancylobacter	Ancylobacter rudongensis
0	gi|388570364|ref|YP_006382303.1|	554	1189256972	WP_085680334	507	33.88	164	243	2e-69	1420917	hypothetical protein [Marinobacter salarius]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter salarius
0	gi|388570364|ref|YP_006382303.1|	554	1181260408	WP_084570679	879	33.62	159	243	8e-67	107636	helix-turn-helix domain-containing protein [Methylosinus sp. PW1]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylosinus	Methylosinus sp. PW1
0	gi|388570364|ref|YP_006382303.1|	554	653408484	WP_027521773	562	32.46	162	233	4e-65	189753	hypothetical protein [Bradyrhizobium sp. Ec3.3]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. Ec3.3
0	gi|388570364|ref|YP_006382303.1|	554	917090079	WP_051696791	626	29.43	171	230	2e-63	359	hypothetical protein [Agrobacterium rhizogenes]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium rhizogenes
0	gi|388570364|ref|YP_006382303.1|	554	1174877867	WP_081554902	480	35.33	165	224	2e-62	394935	hypothetical protein [Chromobacterium haemolyticum]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium haemolyticum
0	gi|388570364|ref|YP_006382303.1|	554	1174865112	WP_081542559	456	34.27	158	223	4e-62	536	hypothetical protein [Chromobacterium violaceum]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum
0	gi|388570364|ref|YP_006382303.1|	554	1149105491	WP_077682012	463	34.98	163	223	4e-62	316	hypothetical protein [Pseudomonas stutzeri]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri
0	gi|388570364|ref|YP_006382303.1|	554	771495198	WP_045158732	503	35.19	164	221	3e-61	316	hypothetical protein [Pseudomonas stutzeri]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri
0	gi|388570364|ref|YP_006382303.1|	554	759932469	WP_043617740	498	34.06	157	220	7e-61	536	hypothetical protein [Chromobacterium violaceum]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum
0	gi|388570364|ref|YP_006382303.1|	554	518236961	WP_019407169	503	34.98	163	219	3e-60	316	hypothetical protein [Pseudomonas stutzeri]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri
0	gi|388570364|ref|YP_006382303.1|	554	1041010594	WP_065202676	473	33.84	156	216	1e-59	251747	hypothetical protein [Chromobacterium subtsugae]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium subtsugae
0	gi|388570364|ref|YP_006382303.1|	554	860371875	WP_048403447	498	33.91	158	217	2e-59	536	hypothetical protein [Chromobacterium violaceum]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum
0	gi|388570364|ref|YP_006382303.1|	554	1048173437	WP_065783962	620	32.16	155	219	2e-59	106591	MULTISPECIES: hypothetical protein [Ensifer]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	
0	gi|388570364|ref|YP_006382303.1|	554	1223945694	WP_091977065	651	31.4	173	219	3e-59	931866	hypothetical protein [Bradyrhizobium ottawaense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium ottawaense
0	gi|388570364|ref|YP_006382303.1|	554	1277537691	WP_100078634	643	33.26	158	218	7e-59	2023338	hypothetical protein [Pleomorphomonas sp. SVCO-16]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Pleomorphomonas	Pleomorphomonas sp. SVCO-16
0	gi|388570364|ref|YP_006382303.1|	554	1033177475	WP_064481592	522	34.35	158	215	1e-58	316	hypothetical protein [Pseudomonas stutzeri]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri
0	gi|388570364|ref|YP_006382303.1|	554	1100980184	WP_071487354	515	33.12	157	215	1e-58	168469	hypothetical protein [Pseudomonas costantinii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas costantinii
0	gi|388570364|ref|YP_006382303.1|	554	759886937	WP_043573592	473	33.62	155	213	2e-58	535	MULTISPECIES: hypothetical protein [Chromobacterium]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	
0	gi|388570364|ref|YP_006382303.1|	554	656044722	WP_029083393	654	32.24	158	217	2e-58	172088	hypothetical protein [Bradyrhizobium sp. th.b2]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. th.b2
0	gi|388570364|ref|YP_006382303.1|	554	947396128	WP_056062098	566	30.44	158	214	5e-58	1735694	hypothetical protein [Sphingomonas sp. Leaf230]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. Leaf230
0	gi|388570364|ref|YP_006382303.1|	554	1254251433	WP_097169899	612	31.82	154	212	6e-57	1855304	hypothetical protein [Rhizobium sp. AN5]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. AN5
0	gi|388570364|ref|YP_006382303.1|	554	1160743940	WP_079602545	657	31.33	151	212	1e-56	1437360	hypothetical protein [Bradyrhizobium erythrophlei]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium erythrophlei
0	gi|388570364|ref|YP_006382303.1|	554	1215346555	WP_089045592	613	32.59	160	211	2e-56	1449788	hypothetical protein [Sinorhizobium sp. LM21]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium sp. LM21
0	gi|388570364|ref|YP_006382303.1|	554	654888524	WP_028340232	662	28.6	161	206	1e-54	29448	hypothetical protein [Bradyrhizobium elkanii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium elkanii
0	gi|388570364|ref|YP_006382303.1|	554	517931300	WP_019101508	361	37.36	133	194	1e-52	238241	hypothetical protein [Chromobacterium sp. C-61]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium sp. C-61
0	gi|388570364|ref|YP_006382303.1|	554	1332892497	WP_102853385	516	32.29	154	195	2e-51	316	hypothetical protein [Pseudomonas stutzeri]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri
0	gi|388570364|ref|YP_006382303.1|	554	763423694	WP_044279417	472	30.97	144	189	1e-49	83455	hypothetical protein [Myxococcus stipitatus]	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus stipitatus
0	gi|388570364|ref|YP_006382303.1|	554	1054954713	WP_066709365	534	30.47	142	185	9e-48	28212	hypothetical protein [Sphingomonas adhaesiva]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas adhaesiva
0	gi|388570364|ref|YP_006382303.1|	554	985864798	WP_060912087	382	32.25	119	160	6e-40	1355477	hypothetical protein [Bradyrhizobium diazoefficiens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium diazoefficiens
0	gi|388570364|ref|YP_006382303.1|	554	1094008618	WP_071005345	629	27.09	133	155	3e-37	1848291	hypothetical protein [Rhizobium sp. LCM 4573]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. LCM 4573
0	gi|388570364|ref|YP_006382303.1|	554	1054188460	WP_066182231	637	28.61	115	150	1e-35	1480615	helix-turn-helix domain-containing protein [Hoeflea olei]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Hoeflea	Hoeflea olei
0	gi|388570364|ref|YP_006382303.1|	554	636779350	WP_024315786	632	25.74	122	145	7e-34	348824	hypothetical protein [Rhizobium favelukesii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium favelukesii
0	gi|388570364|ref|YP_006382303.1|	554	1048123517	WP_065774752	627	26.29	127	135	3e-30	106591	MULTISPECIES: hypothetical protein [Ensifer]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	
0	gi|388570364|ref|YP_006382303.1|	554	653319507	WP_027489222	554	26.7	110	123	2e-26	78527	hypothetical protein [Rhizobium undicola]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium undicola
0	gi|388570364|ref|YP_006382303.1|	554	1011711010	WP_062554894	604	28.33	100	117	2e-24	1736473	hypothetical protein [Rhizobium sp. Root149]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. Root149
0	gi|388570364|ref|YP_006382303.1|	554	737224390	WP_035209014	605	29.77	103	116	6e-24	358	hypothetical protein [Agrobacterium tumefaciens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens
0	gi|388570364|ref|YP_006382303.1|	554	1178582696	WP_083098506	258	33.33	60	90.5	9e-17	1144477	hypothetical protein [Pseudophaeobacter leonis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudophaeobacter	Pseudophaeobacter leonis
0	gi|388570364|ref|YP_006382303.1|	554	926271697	WP_053609691	358	37.82	45	77	8e-12	68259	hypothetical protein [Streptomyces purpurogeneiscleroticus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces purpurogeneiscleroticus
0	gi|388570393|ref|YP_006382332.1|	196	1042739248	WP_065301934	188	39.26	64	106	8e-25	691	hypothetical protein [Vibrio natriegens]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio natriegens
0	gi|388570393|ref|YP_006382332.1|	196	647048405	WP_025633110	188	39.26	64	106	1e-24	662	MULTISPECIES: hypothetical protein [Vibrio]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
0	gi|388570393|ref|YP_006382332.1|	196	527097838	WP_020904254	188	39.26	64	105	1e-24	670	hypothetical protein [Vibrio parahaemolyticus]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
0	gi|388570393|ref|YP_006382332.1|	196	909624424	WP_049879993	188	39.26	64	105	1e-24	670	hypothetical protein [Vibrio parahaemolyticus]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio parahaemolyticus
