qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|589891992|ref|YP_009008359.1|	236	896512729	WP_049419460	236	97.42	227	474	3e-167	40324	site-specific DNA-methyltransferase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|589891992|ref|YP_009008359.1|	236	896496841	WP_049405091	236	97.42	227	473	4e-167	40324	site-specific DNA-methyltransferase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|589891992|ref|YP_009008359.1|	236	640521811	WP_024956172	236	96.57	225	468	4e-165	40323	MULTISPECIES: site-specific DNA-methyltransferase [Stenotrophomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	
0	gi|589891992|ref|YP_009008359.1|	236	1274373680	WP_099561942	236	96.14	224	468	7e-165	40324	site-specific DNA-methyltransferase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|589891992|ref|YP_009008359.1|	236	1274300877	WP_099495457	236	94.92	224	463	4e-163	40324	site-specific DNA-methyltransferase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|589891992|ref|YP_009008359.1|	236	1047335312	WP_065724180	236	94.49	223	462	5e-163	40324	site-specific DNA-methyltransferase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|589891992|ref|YP_009008359.1|	236	727710192	WP_033833611	236	93.99	219	457	6e-161	40324	site-specific DNA-methyltransferase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|589891992|ref|YP_009008359.1|	236	1092502954	WP_070489480	236	93.22	220	456	1e-160	1581082	site-specific DNA-methyltransferase [Stenotrophomonas sp. HMSC10F07]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas sp. HMSC10F07
0	gi|589891992|ref|YP_009008359.1|	236	1274375265	WP_099562786	236	93.56	218	456	3e-160	40324	site-specific DNA-methyltransferase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|589891992|ref|YP_009008359.1|	236	501455417	WP_012478862	236	93.56	218	455	5e-160	40324	site-specific DNA-methyltransferase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|589891992|ref|YP_009008359.1|	236	923078155	WP_053461134	239	93.13	217	452	8e-159	40324	site-specific DNA-methyltransferase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|589891992|ref|YP_009008359.1|	236	1288495270	WP_100553308	236	92.27	215	451	1e-158	2045214	adenine methyltransferase [Stenotrophomonas sp. M15]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas sp. M15
0	gi|589891992|ref|YP_009008359.1|	236	1098953318	WP_071306452	239	87.66	206	431	1e-150	40324	site-specific DNA-methyltransferase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|589891992|ref|YP_009008359.1|	236	896491369	WP_049401053	236	85.59	202	420	3e-146	40324	site-specific DNA-methyltransferase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|589891992|ref|YP_009008359.1|	236	896548297	WP_049449466	236	86.27	201	419	5e-146	40324	site-specific DNA-methyltransferase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|589891992|ref|YP_009008359.1|	236	896482795	WP_049395250	236	86.27	201	419	1e-145	40324	site-specific DNA-methyltransferase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|589891992|ref|YP_009008359.1|	236	1057554849	WP_068848552	236	85.41	199	412	4e-143	216778	site-specific DNA-methyltransferase [Stenotrophomonas rhizophila]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas rhizophila
0	gi|589891992|ref|YP_009008359.1|	236	515924481	WP_017355064	236	82.4	192	403	2e-139	40324	site-specific DNA-methyltransferase [Stenotrophomonas maltophilia]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
0	gi|589891992|ref|YP_009008359.1|	236	696403488	WP_032975090	233	81.78	193	400	3e-138	1470590	site-specific DNA-methyltransferase [Stenotrophomonas sp. RIT309]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas sp. RIT309
0	gi|589891992|ref|YP_009008359.1|	236	658992295	WP_029829505	234	79.06	185	396	8e-137	346	site-specific DNA-methyltransferase [Xanthomonas citri]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas citri
0	gi|589891992|ref|YP_009008359.1|	236	499348797	WP_011038090	234	78.63	184	395	2e-136	339;190485	site-specific DNA-methyltransferase [Xanthomonas campestris]	NA	NA	NA	NA	NA	NA	NA
0	gi|589891992|ref|YP_009008359.1|	236	946898359	WP_055821145	236	77.87	183	392	3e-135	338	MULTISPECIES: site-specific DNA-methyltransferase [Xanthomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	
0	gi|589891992|ref|YP_009008359.1|	236	515689418	WP_017122018	234	78.54	183	391	6e-135	56459	site-specific DNA-methyltransferase [Xanthomonas vasicola]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas vasicola
0	gi|589891992|ref|YP_009008359.1|	236	639812715	WP_024745978	234	77.78	182	390	2e-134	347	site-specific DNA-methyltransferase [Xanthomonas oryzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas oryzae
0	gi|589891992|ref|YP_009008359.1|	236	825122608	WP_047125097	233	77.68	181	389	9e-134	56448	site-specific DNA-methyltransferase [Xanthomonas arboricola]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas arboricola
0	gi|589891992|ref|YP_009008359.1|	236	766548287	WP_044750012	236	77.87	183	389	9e-134	347	site-specific DNA-methyltransferase [Xanthomonas oryzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas oryzae
0	gi|589891992|ref|YP_009008359.1|	236	757570528	WP_042826147	236	77.25	180	387	3e-133	366648	site-specific DNA-methyltransferase [Xanthomonas fuscans]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas fuscans
0	gi|589891992|ref|YP_009008359.1|	236	658977682	WP_029820423	236	76.82	179	387	6e-133	366650	site-specific DNA-methyltransferase [Xanthomonas alfalfae]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas alfalfae
0	gi|589891992|ref|YP_009008359.1|	236	498049857	WP_010364013	234	77.68	181	386	8e-133	56459	site-specific DNA-methyltransferase [Xanthomonas vasicola]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas vasicola
0	gi|589891992|ref|YP_009008359.1|	236	1275695635	WP_099770829	236	77.35	181	385	2e-132	346	site-specific DNA-methyltransferase [Xanthomonas citri]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas citri
0	gi|589891992|ref|YP_009008359.1|	236	1205093269	WP_087801444	235	76.39	178	385	2e-132	347	site-specific DNA-methyltransferase [Xanthomonas oryzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas oryzae
0	gi|589891992|ref|YP_009008359.1|	236	565807626	WP_023904828	236	76.07	178	385	3e-132	56454	site-specific DNA-methyltransferase [Xanthomonas hortorum]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas hortorum
0	gi|589891992|ref|YP_009008359.1|	236	515738916	WP_017171516	236	75.32	177	383	1e-131	1985254	site-specific DNA-methyltransferase [Xanthomonas phaseoli]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas phaseoli
0	gi|589891992|ref|YP_009008359.1|	236	1207698671	WP_088057070	237	75.85	179	383	2e-131	48664	site-specific DNA-methyltransferase [Xanthomonas fragariae]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas fragariae
0	gi|589891992|ref|YP_009008359.1|	236	661303854	WP_029996358	231	77.78	182	382	2e-131	346	site-specific DNA-methyltransferase [Xanthomonas citri]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas citri
