qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|526120136|ref|YP_008320415.1|	177	763169765	WP_044049418	388	100	177	369	1e-124	96345	hypothetical protein [Flavobacterium psychrophilum]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum
0	gi|526120136|ref|YP_008320415.1|	177	511542164	WP_016362001	400	100	177	369	1e-124	96345;402612	transposase [Flavobacterium psychrophilum]	NA	NA	NA	NA	NA	NA	NA
0	gi|526120136|ref|YP_008320415.1|	177	808023647	WP_046201363	400	99.44	176	367	5e-124	96345	hypothetical protein [Flavobacterium psychrophilum]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum
0	gi|526120136|ref|YP_008320415.1|	177	1180672224	WP_084157405	395	61.05	105	223	1e-67	281361	site-specific integrase [Flavobacterium denitrificans]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium denitrificans
0	gi|526120136|ref|YP_008320415.1|	177	764507737	WP_044398795	405	48.85	85	173	2e-48	1249999	site-specific integrase [Lacinutrix sp. Hel_I_90]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lacinutrix	Lacinutrix sp. Hel_I_90
0	gi|526120136|ref|YP_008320415.1|	177	493305378	WP_006262931	406	50.87	88	169	5e-47	76832	site-specific integrase [Myroides odoratimimus]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Myroides	Myroides odoratimimus
0	gi|526120136|ref|YP_008320415.1|	177	504751144	WP_014938246	390	48.24	82	166	7e-46	34085	site-specific integrase [Riemerella anatipestifer]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
0	gi|526120136|ref|YP_008320415.1|	177	1178005250	WP_082891174	392	47.37	81	165	1e-45	1685010	site-specific integrase [Chryseobacterium sp. IHBB 10212]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	Chryseobacterium glaciei
0	gi|526120136|ref|YP_008320415.1|	177	1039802888	WP_064969492	390	48.24	82	165	2e-45	34085	site-specific integrase [Riemerella anatipestifer]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
0	gi|526120136|ref|YP_008320415.1|	177	1159273888	WP_079206679	390	48.24	82	165	2e-45	34085	site-specific integrase [Riemerella anatipestifer]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer
0	gi|526120136|ref|YP_008320415.1|	177	1224718919	WP_092737173	391	45.88	78	164	3e-45	1071918	site-specific integrase [Riemerella columbipharyngis]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella columbipharyngis
0	gi|526120136|ref|YP_008320415.1|	177	517505930	WP_018676138	390	46.78	80	164	4e-45	103810	site-specific integrase [Riemerella columbina]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella columbina
0	gi|526120136|ref|YP_008320415.1|	177	916273632	WP_051008678	405	45.88	78	162	2e-44	1015	site-specific integrase [Bergeyella zoohelcum]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bergeyella	Bergeyella zoohelcum
