qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|311992751|ref|YP_004009618.1|	731	1296597415	WP_100771378	725	32.5	246	347	4e-104	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|311992751|ref|YP_004009618.1|	731	1122786325	WP_074146350	725	32.76	247	345	2e-103	1496	hypothetical protein [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|311992751|ref|YP_004009618.1|	731	1167889684	WP_080181602	725	32.76	247	344	4e-103	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|311992751|ref|YP_004009618.1|	731	1208946742	WP_088209800	725	32.28	246	343	8e-103	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|311992751|ref|YP_004009618.1|	731	640401610	WP_024892447	762	38.12	122	199	2e-50	930	ATP-binding protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|311992751|ref|YP_004009618.1|	731	1224477396	WP_092498558	786	32.45	98	161	6e-38	1855383	hypothetical protein [bacterium A52C2]	Bacteria						bacterium A52C2
0	gi|311992751|ref|YP_004009618.1|	731	1119688789	WP_072607579	662	33.45	99	159	2e-37	1670800	hypothetical protein [Mesorhizobium sp. B7]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. B7
0	gi|311992751|ref|YP_004009618.1|	731	1215346504	WP_089045541	802	31.04	104	150	4e-34	1449788	hypothetical protein [Sinorhizobium sp. LM21]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium sp. LM21
0	gi|311992751|ref|YP_004009618.1|	731	984669110	WP_060772554	763	32.67	98	149	7e-34	925818	ATP-binding protein [Methylobacterium sp. AMS5]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. AMS5
0	gi|311992751|ref|YP_004009618.1|	731	1048173592	WP_065784095	789	33.67	101	147	2e-33	106591	MULTISPECIES: hypothetical protein [Ensifer]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	
0	gi|311992751|ref|YP_004009618.1|	731	1057312555	WP_068673781	874	34.11	102	147	3e-33	34072	MULTISPECIES: ATP-binding protein [Variovorax]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	
0	gi|311992751|ref|YP_004009618.1|	731	493375781	WP_006332075	283	39.9	79	137	2e-32	1297570	hypothetical protein [Mesorhizobium sp. STM 4661]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. STM 4661
0	gi|311992751|ref|YP_004009618.1|	731	517045616	WP_018234434	825	35.62	83	141	2e-31	243063	hypothetical protein [Thioalkalivibrio thiocyanodenitrificans]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio thiocyanodenitrificans
0	gi|311992751|ref|YP_004009618.1|	731	563543172	WP_023749185	665	31.23	89	139	9e-31	1287270	hypothetical protein [Mesorhizobium sp. LNJC386A00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LNJC386A00
0	gi|311992751|ref|YP_004009618.1|	731	983583808	WP_060733666	802	34.48	100	135	1e-29	95486	ATP-binding protein [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
0	gi|311992751|ref|YP_004009618.1|	731	1160743855	WP_079602466	712	33.68	98	130	7e-28	1437360	hypothetical protein [Bradyrhizobium erythrophlei]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium erythrophlei
