qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|712912805|ref|YP_009099660.1|	85	746586214	WP_039614351	65	61.22	30	64.3	2e-11	286	MULTISPECIES: hypothetical protein [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|712912807|ref|YP_009099662.1|	209	568331081	WP_024099634	253	40.62	52	79.3	2e-14	302485	MULTISPECIES: hypothetical protein [Phaeobacter]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	
0	gi|712912807|ref|YP_009099662.1|	209	503281605	WP_013516266	227	40	48	78.6	3e-14	179636	hypothetical protein [Alicycliphilus denitrificans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Alicycliphilus	Alicycliphilus denitrificans
0	gi|712912807|ref|YP_009099662.1|	209	655570530	WP_028924217	127	38.89	42	72.4	1e-12	551276	hypothetical protein [Pseudonocardia acaciae]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia acaciae
0	gi|712912807|ref|YP_009099662.1|	209	518931673	WP_020087548	126	40.59	41	69.7	9e-12	48292	hypothetical protein [Hyphomicrobium zavarzinii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium zavarzinii
0	gi|712912807|ref|YP_009099662.1|	209	919195419	WP_052750920	581	40.4	40	73.6	1e-11	113574	DUF1738 domain-containing protein [Hyphomicrobium sp. GJ21]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium sp. GJ21
0	gi|712912807|ref|YP_009099662.1|	209	740228947	WP_038070237	251	43.48	40	70.9	1e-11	1185766	hypothetical protein [Thioclava dalianensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thioclava	Thioclava dalianensis
0	gi|712912811|ref|YP_009099666.1|	249	640178749	WP_024812732	243	33.33	62	88.2	3e-17	1305735	hypothetical protein [Oceanicola sp. HL-35]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanicola	Oceanicola sp. HL-35
0	gi|712912813|ref|YP_009099668.1|	179	1274365361	WP_099554444	225	44.52	65	115	3e-28	1482074	hypothetical protein [Hartmannibacter diazotrophicus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Hartmannibacter	Hartmannibacter diazotrophicus
0	gi|712912813|ref|YP_009099668.1|	179	908675854	WP_049807629	147	42.86	63	108	3e-26	375	hypothetical protein [Bradyrhizobium japonicum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium japonicum
0	gi|712912813|ref|YP_009099668.1|	179	1027715605	WP_063649646	153	36.76	50	90.1	4e-19	668	hypothetical protein [Aliivibrio fischeri]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	Aliivibrio fischeri
0	gi|712912813|ref|YP_009099668.1|	179	501527997	WP_012534494	152	35.97	50	89.7	5e-19	668	hypothetical protein [Aliivibrio fischeri]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	Aliivibrio fischeri
0	gi|712912813|ref|YP_009099668.1|	179	501444910	WP_012468359	151	37.5	51	79.7	3e-15	313985	hypothetical protein [Geobacter lovleyi]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter lovleyi
0	gi|712912813|ref|YP_009099668.1|	179	754577016	WP_041969890	151	36.03	49	75.9	6e-14	1266765	hypothetical protein [Geobacter sp. OR-1]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter sp. OR-1
0	gi|712912813|ref|YP_009099668.1|	179	1214085013	WP_088732520	137	32.85	45	73.9	2e-13	546	hypothetical protein [Citrobacter freundii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii
0	gi|712912813|ref|YP_009099668.1|	179	1055831207	WP_067421875	141	36.57	49	73.9	2e-13	368603	hypothetical protein [Morganella psychrotolerans]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella	Morganella psychrotolerans
0	gi|712912813|ref|YP_009099668.1|	179	510920705	WP_016241550	141	33.58	45	73.2	5e-13	543	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|712912813|ref|YP_009099668.1|	179	949723419	WP_057066624	141	31.97	47	70.1	6e-12	543	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|712912814|ref|YP_009099669.1|	249	496320417	WP_009029595	155	43.03	71	109	1e-25	566679	hypothetical protein [Bradyrhizobium sp. ORS 375]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. ORS 375
0	gi|712912814|ref|YP_009099669.1|	249	505478231	WP_015664794	168	45.27	67	101	1e-22	44255	hypothetical protein [Bradyrhizobium oligotrophicum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium oligotrophicum
0	gi|712912814|ref|YP_009099669.1|	249	1242676998	WP_095801745	165	36.69	62	95.1	3e-20	422271	hypothetical protein [Mesorhizobium sp. WSM3866]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. WSM3866
0	gi|712912814|ref|YP_009099669.1|	249	914081422	WP_050513934	145	35.94	46	81.6	1e-15	1783272	MULTISPECIES: hypothetical protein [Terrabacteria group]	Bacteria						
0	gi|712912814|ref|YP_009099669.1|	249	552541491	WP_022999956	149	42.34	58	80.1	5e-15	478070	MULTISPECIES: hypothetical protein [Labrenzia]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Labrenzia	
0	gi|712912814|ref|YP_009099669.1|	249	951474034	WP_057845592	150	39.26	53	76.6	7e-14	1300035	hypothetical protein [Bradyrhizobium retamae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium retamae
0	gi|712912814|ref|YP_009099669.1|	249	1300072811	WP_100814832	103	46.67	42	70.9	3e-12	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|712912814|ref|YP_009099669.1|	249	653436414	WP_027533830	173	34.09	60	71.2	7e-12	1038867	hypothetical protein [Bradyrhizobium sp. WSM3983]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. WSM3983
0	gi|712912823|ref|YP_009099678.1|	86	1043048478	WP_065329937	80	46.15	30	64.7	2e-11	379347	hypothetical protein [Ruegeria mobilis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Ruegeria mobilis
0	gi|712912823|ref|YP_009099678.1|	86	495074928	WP_007799753	143	50	34	64.3	1e-10	344736	transcriptional regulator [Pelagibaca bermudensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pelagibaca	Pelagibaca bermudensis
0	gi|712912824|ref|YP_009099679.1|	82	1043048478	WP_065329937	80	45.07	32	65.5	1e-11	379347	hypothetical protein [Ruegeria mobilis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Ruegeria mobilis
0	gi|712912825|ref|YP_009099680.1|	169	1246847923	WP_096432411	157	44.09	41	78.2	8e-15	1795308	hypothetical protein [Thioclava arenosa]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thioclava	Thioclava arenosa
0	gi|712912829|ref|YP_009099684.1|	98	497491180	WP_009805378	91	80.49	66	132	2e-37	314255	DUF2312 domain-containing protein [Pseudooceanicola batsensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudooceanicola	Pseudooceanicola batsensis
0	gi|712912829|ref|YP_009099684.1|	98	1103732756	WP_071690104	87	76.83	63	130	1e-36	1912092	DUF2312 domain-containing protein [Nioella sediminis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Nioella	Nioella sediminis
0	gi|712912829|ref|YP_009099684.1|	98	654832749	WP_028285470	89	74.42	64	130	2e-36	375761	DUF2312 domain-containing protein [Pseudooceanicola nanhaiensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudooceanicola	Pseudooceanicola nanhaiensis
0	gi|712912829|ref|YP_009099684.1|	98	1225083650	WP_093097069	86	76.74	66	129	2e-36	254406	DUF2312 domain-containing protein [Thalassobius aestuarii]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassobius	Thalassobius aestuarii
0	gi|712912829|ref|YP_009099684.1|	98	1174852085	WP_081531274	86	80	64	129	2e-36	1564506	DUF2312 domain-containing protein [Rhodovulum sp. P5]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	Rhodovulum sp. P5
0	gi|712912829|ref|YP_009099684.1|	98	951447372	WP_057819835	86	76.83	63	128	6e-36	540747	DUF2312 domain-containing protein [Roseovarius indicus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	Roseovarius indicus
0	gi|712912829|ref|YP_009099684.1|	98	495093473	WP_007818296	85	79.01	64	128	8e-36	351016	DUF2312 domain-containing protein [Roseobacter sp. AzwK-3b]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	Roseobacter sp. AzwK-3b
0	gi|712912829|ref|YP_009099684.1|	98	497503912	WP_009818110	86	78.05	64	128	9e-36	314264	DUF2312 domain-containing protein [Roseovarius sp. 217]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	Roseovarius sp. 217
0	gi|712912829|ref|YP_009099684.1|	98	1123493853	WP_074218683	90	80.49	66	127	2e-35	1882821	DUF2312 domain-containing protein [Rhodovulum sp. ES.010]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	Rhodovulum sp. ES.010
0	gi|712912829|ref|YP_009099684.1|	98	1224744147	WP_092762061	95	67.74	63	127	3e-35	188906	DUF2312 domain-containing protein [Jannaschia helgolandensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Jannaschia	Jannaschia helgolandensis
0	gi|712912829|ref|YP_009099684.1|	98	495605690	WP_008330269	91	75.9	63	127	3e-35	404236	DUF2312 domain-containing protein [Maritimibacter alkaliphilus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Maritimibacter	Maritimibacter alkaliphilus
0	gi|712912829|ref|YP_009099684.1|	98	1103710777	WP_071673395	87	77.78	63	127	4e-35	1287720	DUF2312 domain-containing protein [Nioella nitratireducens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Nioella	Nioella nitratireducens
0	gi|712912829|ref|YP_009099684.1|	98	1223392977	WP_091431046	85	75.31	61	126	4e-35	1173584	DUF2312 domain-containing protein [Aliiroseovarius sediminilitoris]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliiroseovarius	Aliiroseovarius sediminilitoris
0	gi|712912829|ref|YP_009099684.1|	98	1224760379	WP_092778073	91	72.94	62	126	4e-35	390807	DUF2312 domain-containing protein [Jannaschia pohangensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Jannaschia	Jannaschia pohangensis
0	gi|712912829|ref|YP_009099684.1|	98	960371800	WP_058264476	91	77.11	64	126	4e-35	53501	DUF2312 domain-containing protein [Thalassobius gelatinovorus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassobius	Thalassobius gelatinovorus
0	gi|712912829|ref|YP_009099684.1|	98	652360617	WP_026756748	86	74.42	64	126	4e-35	552061	DUF2312 domain-containing protein [Sediminimonas qiaohouensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sediminimonas	Sediminimonas qiaohouensis
0	gi|712912829|ref|YP_009099684.1|	98	928976609	WP_054000964	94	67.03	61	126	4e-35	1389006	DUF2312 domain-containing protein [Shimia sp. SK013]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Shimia	Shimia sp. SK013
0	gi|712912829|ref|YP_009099684.1|	98	1213203466	WP_088623818	90	79.49	62	126	4e-35	1317116	DUF2312 domain-containing protein [Oceanicola sp. 22II-s10i]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanicola	Oceanicola sp. 22II-s10i
0	gi|712912829|ref|YP_009099684.1|	98	495557397	WP_008281976	86	77.78	63	126	5e-35	74030	MULTISPECIES: DUF2312 domain-containing protein [Roseovarius]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	
0	gi|712912829|ref|YP_009099684.1|	98	1188404222	WP_085525088	87	77.78	63	126	5e-35	1162418	DUF2312 domain-containing protein [Maritimibacter sp. HL-12]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Maritimibacter	Maritimibacter sp. HL-12
0	gi|712912829|ref|YP_009099684.1|	98	1189877604	WP_085878535	91	76.83	63	126	5e-35	254357	DUF2312 domain-containing protein [Roseisalinus antarcticus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseisalinus	Roseisalinus antarcticus
0	gi|712912829|ref|YP_009099684.1|	98	944175001	WP_055663882	92	69.89	65	126	6e-35	313367	DUF2312 domain-containing protein [Jannaschia seosinensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Jannaschia	Jannaschia seosinensis
0	gi|712912829|ref|YP_009099684.1|	98	914213760	WP_050530005	91	75.9	63	126	7e-35	1317121	DUF2312 domain-containing protein [Aestuariivita atlantica]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aestuariivita	Aestuariivita atlantica
