qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|526177202|ref|YP_008241047.1|	83	835307091	WP_047445694	82	61.64	45	98.6	2e-24	1500288	hypothetical protein [Chryseobacterium sp. YR005]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	Chryseobacterium sp. YR005
0	gi|526177202|ref|YP_008241047.1|	83	1154760602	WP_078677330	83	56.94	41	89.4	7e-21	1117645	hypothetical protein [Elizabethkingia anophelis]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia	Elizabethkingia anophelis
0	gi|526177202|ref|YP_008241047.1|	83	979475383	WP_059330783	83	52.63	40	89	1e-20	1117645	hypothetical protein [Elizabethkingia anophelis]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia	Elizabethkingia anophelis
0	gi|526177204|ref|YP_008241049.1|	284	654925522	WP_028376019	302	50.35	143	290	4e-93	1392488	hypothetical protein [Leeuwenhoekiella sp. Hel_I_48]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Leeuwenhoekiella	Leeuwenhoekiella sp. Hel_I_48
0	gi|526177204|ref|YP_008241049.1|	284	1228040445	WP_094138836	292	40.07	119	200	3e-58	96345	hypothetical protein [Flavobacterium psychrophilum]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum
0	gi|526177204|ref|YP_008241049.1|	284	640700791	WP_025124397	246	45.56	113	197	1e-57	76832	hypothetical protein [Myroides odoratimimus]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Myroides	Myroides odoratimimus
0	gi|526177204|ref|YP_008241049.1|	284	1209912237	WP_088419612	307	40.74	121	198	1e-57	996	hypothetical protein [Flavobacterium columnare]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium columnare
0	gi|526177204|ref|YP_008241049.1|	284	1093647003	WP_070907724	292	40.28	114	184	4e-52	1278819	hypothetical protein [Flavobacterium spartansii]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium spartansii
0	gi|526177204|ref|YP_008241049.1|	284	639136968	WP_024482446	248	42.11	96	165	2e-45	76594	hypothetical protein [Cellulophaga baltica]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga	Cellulophaga baltica
0	gi|526177204|ref|YP_008241049.1|	284	646946969	WP_025616356	248	41.23	94	162	3e-44	76594	hypothetical protein [Cellulophaga baltica]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga	Cellulophaga baltica
0	gi|526177204|ref|YP_008241049.1|	284	749685523	WP_040281503	242	41.28	90	159	2e-43	943936	hypothetical protein [Psychroserpens damuponensis]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroserpens	Psychroserpens damuponensis
0	gi|526177204|ref|YP_008241049.1|	284	928946061	WP_053970844	244	41.63	87	159	4e-43	1645916	hypothetical protein [Mangrovimonas sp. ST2L15]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Mangrovimonas	Mangrovimonas sp. ST2L15
0	gi|526177204|ref|YP_008241049.1|	284	1334595469	WP_103072262	232	39.06	91	157	2e-42	2070536	hypothetical protein [Aquimarina sp. w01]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aquimarina	Aquimarina sp. w01
0	gi|526177204|ref|YP_008241049.1|	284	749646745	WP_040247471	242	36.77	82	153	5e-41	325473	hypothetical protein [Psychroserpens mesophilus]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroserpens	Psychroserpens mesophilus
0	gi|526177204|ref|YP_008241049.1|	284	835544607	WP_047549057	193	44.86	83	148	9e-40	1250004	hypothetical protein [Psychroserpens sp. Hel_I_66]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroserpens	Psychroserpens sp. Hel_I_66
0	gi|526177204|ref|YP_008241049.1|	284	1140806340	WP_076664593	254	43.62	82	147	1e-38	1779330	hypothetical protein [Mangrovimonas sp. DI 80]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Mangrovimonas	Mangrovimonas sp. DI 80
0	gi|526177204|ref|YP_008241049.1|	284	497867200	WP_010181356	280	36.49	81	146	7e-38	1087449	ATPase central region domain-containing protein [Aquimarina agarilytica]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aquimarina	Aquimarina agarilytica
0	gi|526177204|ref|YP_008241049.1|	284	1200043045	WP_087492703	216	38.14	82	141	1e-36	754417	ATP-binding protein [Winogradskyella sp. PC-19]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	Winogradskyella sp. PC-19
0	gi|526177204|ref|YP_008241049.1|	284	1333959337	WP_103051054	247	40.19	84	142	1e-36	1445657	hypothetical protein [Hanstruepera neustonica]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Hanstruepera	Hanstruepera neustonica
0	gi|526177204|ref|YP_008241049.1|	284	518218648	WP_019388856	243	35.11	79	132	3e-33	1178825	hypothetical protein [Arenitalea lutea]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Arenitalea	Arenitalea lutea
0	gi|526177204|ref|YP_008241049.1|	284	1215191021	WP_089026837	306	35.66	102	131	5e-32	2015076	hypothetical protein [Chryseobacterium sp. T16E-39]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	Chryseobacterium sp. T16E-39
0	gi|526177204|ref|YP_008241049.1|	284	1055487198	WP_067146243	243	34.7	76	122	2e-29	481183	hypothetical protein [Tamlana agarivorans]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tamlana	Tamlana agarivorans
0	gi|526177204|ref|YP_008241049.1|	284	652852113	WP_027127099	243	32.57	71	120	1e-28	169050	ATP-binding protein [Gelidibacter mesophilus]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gelidibacter	Gelidibacter mesophilus
0	gi|526177204|ref|YP_008241049.1|	284	737704228	WP_035673076	253	36.82	81	118	1e-27	1131812	ATP-binding protein [Flavobacterium sp. 83]	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp. 83
