qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|560186021|ref|YP_008853786.1|	495	1169293753	WP_080498896	496	83.84	415	890	0	28450	hypothetical protein [Burkholderia pseudomallei]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
0	gi|560186021|ref|YP_008853786.1|	495	918452264	WP_052503345	496	83.43	413	887	0	57975	hypothetical protein [Burkholderia thailandensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia thailandensis
0	gi|560186021|ref|YP_008853786.1|	495	1332886196	WP_102847801	499	83.43	413	886	0	57975	DNA packaging protein [Burkholderia thailandensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia thailandensis
0	gi|560186021|ref|YP_008853786.1|	495	881069054	WP_048786093	482	54.08	245	492	2e-166	470934	DNA packaging protein [Pantoea vagans]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea vagans
0	gi|560186021|ref|YP_008853786.1|	495	1227874241	WP_094111429	482	54.3	246	492	2e-166	472693	DNA packaging protein [Pantoea eucrina]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea eucrina
0	gi|560186021|ref|YP_008853786.1|	495	916543889	WP_051150980	481	52.76	239	491	5e-166	480813	DNA packaging protein [Tatumella saanichensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella	Tatumella saanichensis
0	gi|560186021|ref|YP_008853786.1|	495	1274531021	WP_099659841	480	52.23	246	489	3e-165	585	DNA packaging protein [Proteus vulgaris]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus vulgaris
0	gi|560186021|ref|YP_008853786.1|	495	742402401	WP_038881526	482	50.32	237	487	1e-164	28141	DNA packaging protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|560186021|ref|YP_008853786.1|	495	896217816	WP_049220818	477	51.59	243	483	3e-163	584	DNA packaging protein [Proteus mirabilis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus mirabilis
0	gi|560186021|ref|YP_008853786.1|	495	1016534859	WP_063108515	477	51.59	243	483	4e-163	584	DNA packaging protein [Proteus mirabilis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus mirabilis
