qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|422934691|ref|YP_007004651.1|	631	1333905830	WP_103009399	648	53.33	344	669	0	569	hypothetical protein [Hafnia alvei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia alvei
0	gi|422934705|ref|YP_007004665.1|	59	727329655	WP_033784506	61	59.32	35	78.2	4e-17	1500896	hypothetical protein [Pantoea sp. 9140]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea sp. 9140
0	gi|422934705|ref|YP_007004665.1|	59	916563583	WP_051170674	89	54.24	32	75.1	1e-15	82987	hypothetical protein [Tatumella ptyseos]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella	Tatumella ptyseos
0	gi|422934705|ref|YP_007004665.1|	59	647628370	WP_025901433	60	54.24	32	70.5	3e-14	1408192	hypothetical protein [Tatumella sp. UCD-D_suzukii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Tatumella	Tatumella sp. UCD-D_suzukii
0	gi|422934705|ref|YP_007004665.1|	59	754045151	WP_041692086	72	49.15	29	70.9	4e-14	182337	hypothetical protein [Erwinia billingiae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia billingiae
0	gi|422934707|ref|YP_007004667.1|	169	829936972	WP_047367180	80	52.86	37	82.4	5e-17	1659713	hypothetical protein [Enterobacter cloacae complex sp. GN02548]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae complex sp. GN02548
0	gi|422934707|ref|YP_007004667.1|	169	1327708583	WP_102094460	163	45.65	42	80.9	1e-15	2058322	hypothetical protein [Psychrobacter sp. MES7-P7E]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter sp. MES7-P7E
0	gi|422934707|ref|YP_007004667.1|	169	1104893882	WP_071790669	146	38.52	47	79.7	2e-15	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422934707|ref|YP_007004667.1|	169	692975032	WP_032167009	159	52.63	40	79.7	2e-15	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422934707|ref|YP_007004667.1|	169	1177737214	WP_082826683	77	53.23	33	77.8	2e-15	39645	hypothetical protein [Mesorhizobium ciceri]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium ciceri
0	gi|422934707|ref|YP_007004667.1|	169	951441720	WP_057814338	74	56.14	32	77.4	3e-15	540747	hypothetical protein [Roseovarius indicus]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	Roseovarius indicus
0	gi|422934707|ref|YP_007004667.1|	169	1119208486	WP_072216202	159	52.63	40	79.3	3e-15	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422934707|ref|YP_007004667.1|	169	693154919	WP_032291559	159	48.91	45	79	4e-15	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422934707|ref|YP_007004667.1|	169	1152331890	WP_078208885	159	36.96	51	78.6	6e-15	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422934707|ref|YP_007004667.1|	169	657317603	WP_029394726	159	51.32	39	77.8	1e-14	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422934707|ref|YP_007004667.1|	169	1255366639	WP_097432422	159	51.32	39	77.8	1e-14	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422934707|ref|YP_007004667.1|	169	1258244983	WP_097567990	159	51.32	39	77.8	1e-14	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422934707|ref|YP_007004667.1|	169	1124210825	WP_074517046	140	51.32	39	77.4	1e-14	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422934707|ref|YP_007004667.1|	169	510926749	WP_016247482	159	51.32	39	77.4	1e-14	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|422934707|ref|YP_007004667.1|	169	1221287711	WP_089565078	144	51.32	39	77	2e-14	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
