qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|525972739|ref|YP_008240152.1|	167	500055081	WP_011734998	147	35.33	59	101	1e-23	29543	appr-1-p processing domain-containing protein [Pelobacter propionicus]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	Pelobacter propionicus
0	gi|525972739|ref|YP_008240152.1|	167	1175460069	WP_082002898	153	39.07	59	99	1e-22	1266765	ADP-ribose-binding protein [Geobacter sp. OR-1]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter sp. OR-1
0	gi|525972739|ref|YP_008240152.1|	167	499245471	WP_010943011	142	37.13	62	97.8	3e-22	35554;243231	ADP-ribose-binding protein [Geobacter sulfurreducens]	NA	NA	NA	NA	NA	NA	NA
0	gi|525972739|ref|YP_008240152.1|	167	783141874	WP_045667354	143	37.72	63	97.8	3e-22	35554	ADP-ribose-binding protein [Geobacter sulfurreducens]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter sulfurreducens
0	gi|525972739|ref|YP_008240152.1|	167	1068526324	WP_069590433	150	35.58	58	97.8	4e-22	1525	hypothetical protein [Moorella thermoacetica]	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella	Moorella thermoacetica
0	gi|525972739|ref|YP_008240152.1|	167	501445057	WP_012468506	146	35.33	59	95.1	3e-21	313985	hypothetical protein [Geobacter lovleyi]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter lovleyi
0	gi|525972739|ref|YP_008240152.1|	167	505929136	WP_015720494	143	35.33	59	95.1	3e-21	443143	hypothetical protein [Geobacter sp. M18]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter sp. M18
0	gi|525972739|ref|YP_008240152.1|	167	1154884426	WP_078791269	144	36.42	55	94.7	4e-21	115783	ADP-ribose-binding protein [Geobacter thiogenes]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter thiogenes
0	gi|525972739|ref|YP_008240152.1|	167	500473940	WP_011940774	141	37.13	62	94.4	5e-21	351604	hypothetical protein [Geobacter uraniireducens]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter uraniireducens
0	gi|525972739|ref|YP_008240152.1|	167	917449660	WP_052056078	155	36.69	62	94.7	6e-21	1541065	hypothetical protein [Myxosarcina sp. GI1]	Bacteria	Cyanobacteria		Pleurocapsales	Hyellaceae	Myxosarcina	Myxosarcina sp. GI1
0	gi|525972739|ref|YP_008240152.1|	167	750159806	WP_040463881	139	35.1	53	92	3e-20	1304888	ADP-ribose-binding protein [Geovibrio sp. L21-Ace-BES]	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Geovibrio	Geovibrio sp. L21-Ace-BES
0	gi|525972739|ref|YP_008240152.1|	167	492845822	WP_005999776	141	38.32	64	90.9	1e-19	891	hypothetical protein [Desulfuromonas acetoxidans]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas	Desulfuromonas acetoxidans
0	gi|525972739|ref|YP_008240152.1|	167	1119305708	WP_072283721	142	38.82	59	86.7	5e-18	1842532	ADP-ribose-binding protein [Pelobacter sp. SFB93]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	Pelobacter sp. SFB93
0	gi|525972739|ref|YP_008240152.1|	167	1224023567	WP_092053771	142	35.76	59	85.9	9e-18	38815	ADP-ribose-binding protein [Desulfuromonas acetexigens]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas	Desulfuromonas acetexigens
0	gi|525972739|ref|YP_008240152.1|	167	499660347	WP_011341081	145	38.32	64	84	5e-17	19	ADP-ribose-binding protein [Pelobacter carbinolicus]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	Pelobacter carbinolicus
0	gi|525972739|ref|YP_008240152.1|	167	924872636	WP_053551342	143	34.13	57	83.6	6e-17	1603606	ADP-ribose-binding protein [Desulfuromonas soudanensis]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas	Desulfuromonas soudanensis
0	gi|525972739|ref|YP_008240152.1|	167	502775375	WP_013010351	148	35.57	53	83.2	1e-16	118000	hypothetical protein [Denitrovibrio acetiphilus]	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Denitrovibrio	Denitrovibrio acetiphilus
0	gi|525972739|ref|YP_008240152.1|	167	749072808	WP_040099092	148	32.93	55	82	2e-16	392333	ADP-ribose-binding protein [Geoalkalibacter ferrihydriticus]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geoalkalibacter	Geoalkalibacter ferrihydriticus
0	gi|525972739|ref|YP_008240152.1|	167	1248226168	WP_096724021	122	37.04	50	80.5	6e-16	2005460	hypothetical protein [Chondrocystis sp. NIES-4102]	Bacteria	Cyanobacteria		Chroococcales	Chroococcaceae	Chondrocystis	Chondrocystis sp. NIES-4102
0	gi|525972739|ref|YP_008240152.1|	167	1120035471	WP_072909568	443	34.76	57	79.3	3e-14	57040	ADP-ribosyl-[dinitrogen reductase] hydrolase [Malonomonas rubra]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Malonomonas	Malonomonas rubra
