qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|167600389|ref|YP_001671889.1|	266	506585748	WP_016051948	265	54.37	143	302	1e-98	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|167600389|ref|YP_001671889.1|	266	982166003	WP_060330096	262	37.6	97	165	1e-45	1503055	hypothetical protein [Burkholderia territorii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia territorii
0	gi|167600390|ref|YP_001671890.1|	189	1170089108	WP_080520721	186	39.68	75	133	4e-35	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|167600391|ref|YP_001671891.1|	391	506585750	WP_016051950	385	53.51	145	300	2e-94	29442	amidoligase [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|167600392|ref|YP_001671892.1|	510	1170089107	WP_080520720	486	45.72	235	426	3e-140	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|167600392|ref|YP_001671892.1|	510	1173184004	WP_081075686	437	35.22	81	134	4e-31	1503055	hypothetical protein [Burkholderia territorii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia territorii
0	gi|167600393|ref|YP_001671893.1|	73	506585753	WP_016051953	72	58.46	38	73.6	5e-15	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|167600394|ref|YP_001671894.1|	294	1170089105	WP_080520718	291	46.92	137	238	3e-73	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|167600394|ref|YP_001671894.1|	294	982166000	WP_060330093	246	35.31	101	107	1e-23	1503055	hypothetical protein [Burkholderia territorii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia territorii
0	gi|167600395|ref|YP_001671895.1|	132	1170089104	WP_080520717	131	46.4	58	103	7e-25	29442	gamma-glutamylcyclotransferase [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|167600395|ref|YP_001671895.1|	132	819026252	WP_046711576	130	36.92	48	83.2	3e-17	33	gamma-glutamylcyclotransferase [Myxococcus fulvus]	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus fulvus
0	gi|167600395|ref|YP_001671895.1|	132	488693437	WP_002617563	130	37.98	49	80.9	2e-16	41	gamma-glutamylcyclotransferase [Stigmatella aurantiaca]	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca
0	gi|167600395|ref|YP_001671895.1|	132	521967535	WP_020479140	129	39.23	51	79.3	6e-16	34	gamma-glutamylcyclotransferase [Myxococcus xanthus]	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus
0	gi|167600395|ref|YP_001671895.1|	132	1222444573	WP_090495967	130	35.16	45	77.8	3e-15	83456	gamma-glutamylcyclotransferase [Myxococcus virescens]	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus virescens
0	gi|167600395|ref|YP_001671895.1|	132	1243233982	WP_095957574	128	37.4	49	77	6e-15	35	gamma-glutamylcyclotransferase [Myxococcus macrosporus]	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus macrosporus
0	gi|167600395|ref|YP_001671895.1|	132	488714058	WP_002637934	130	37.69	49	75.9	1e-14	1297742	gamma-glutamylcyclotransferase [Myxococcus hansupus]	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus hansupus
0	gi|167600395|ref|YP_001671895.1|	132	499871190	WP_011551924	129	37.98	49	75.9	2e-14	34	gamma-glutamylcyclotransferase [Myxococcus xanthus]	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus
0	gi|167600395|ref|YP_001671895.1|	132	1243234250	WP_095957842	129	36.43	47	75.5	2e-14	35	gamma-glutamylcyclotransferase [Myxococcus macrosporus]	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus macrosporus
0	gi|167600395|ref|YP_001671895.1|	132	1222444606	WP_090496000	130	35.16	45	75.5	2e-14	83456	gamma-glutamylcyclotransferase [Myxococcus virescens]	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus virescens
0	gi|167600395|ref|YP_001671895.1|	132	521967414	WP_020479019	129	35.94	46	75.1	3e-14	34	gamma-glutamylcyclotransferase [Myxococcus xanthus]	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus
0	gi|167600395|ref|YP_001671895.1|	132	1222444362	WP_090495756	129	34.88	45	74.3	5e-14	83456	gamma-glutamylcyclotransferase [Myxococcus virescens]	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus virescens
0	gi|167600395|ref|YP_001671895.1|	132	1178687985	WP_083196515	126	31.58	36	71.2	8e-13	28196	MULTISPECIES: gamma-glutamylcyclotransferase [Arcobacter]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	
0	gi|167600395|ref|YP_001671895.1|	132	1178691445	WP_083199975	126	31.58	36	70.9	1e-12	544718	gamma-glutamylcyclotransferase [Arcobacter thereius]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	Arcobacter thereius
0	gi|167600395|ref|YP_001671895.1|	132	1178691466	WP_083199996	126	31.58	36	70.9	1e-12	544718	gamma-glutamylcyclotransferase [Arcobacter thereius]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	Arcobacter thereius
0	gi|167600395|ref|YP_001671895.1|	132	657725557	WP_029522131	123	36.67	44	68.2	9e-12	1158345	gamma-glutamylcyclotransferase [Persephonella sp. KM09-Lau-8]	Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Persephonella	Persephonella sp. KM09-Lau-8
0	gi|167600395|ref|YP_001671895.1|	132	657724875	WP_029521451	121	36.67	44	68.2	1e-11	1158338	gamma-glutamylcyclotransferase [Persephonella sp. IF05-L8]	Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Persephonella	Persephonella sp. IF05-L8
0	gi|167600395|ref|YP_001671895.1|	132	1054319251	WP_066220984	121	32.76	38	67	2e-11	28198	gamma-glutamylcyclotransferase [Arcobacter cryaerophilus]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	Arcobacter cryaerophilus
0	gi|167600395|ref|YP_001671895.1|	132	1189700157	WP_085758524	120	35.59	42	65.9	5e-11	716816	gamma-glutamylcyclotransferase [Oceanicoccus sagamiensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Oceanicoccus	Oceanicoccus sagamiensis
0	gi|167600396|ref|YP_001671896.1|	125	506585757	WP_016051957	98	45.92	45	90.5	2e-20	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|167600397|ref|YP_001671897.1|	569	1170089103	WP_080520716	583	66.55	378	784	0	29442	DNA primase [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|167600397|ref|YP_001671897.1|	569	1333905848	WP_103009417	571	36.01	197	305	1e-91	569	hypothetical protein [Hafnia alvei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia alvei
0	gi|167600397|ref|YP_001671897.1|	569	1293238452	WP_100632564	551	37.59	203	290	2e-86	2056231	DNA primase [Pseudomonas sp. JJ3]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. JJ3
