qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|85701380|ref|YP_459965.1|	161	487909518	WP_001982984	161	100	161	329	1e-112	1392	phage terminase small subunit P27 family [Bacillus anthracis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis
0	gi|85701380|ref|YP_459965.1|	161	1268593851	WP_098902015	161	99.38	160	327	6e-112	1428	phage terminase small subunit P27 family [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|85701380|ref|YP_459965.1|	161	1268244695	WP_098756298	161	98.76	159	325	3e-111	1392	phage terminase small subunit P27 family [Bacillus anthracis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis
0	gi|85701380|ref|YP_459965.1|	161	1141037968	WP_076872118	161	98.14	158	323	1e-110	1396	phage terminase small subunit P27 family [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|85701380|ref|YP_459965.1|	161	1005599234	WP_061684667	161	98.14	158	323	1e-110	86661	MULTISPECIES: phage terminase small subunit P27 family [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|85701380|ref|YP_459965.1|	161	1267546126	WP_098345861	161	98.14	158	323	2e-110	1392	phage terminase small subunit P27 family [Bacillus anthracis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis
0	gi|85701380|ref|YP_459965.1|	161	766622716	WP_044798131	161	96.89	156	322	4e-110	1428	phage terminase small subunit P27 family [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|85701380|ref|YP_459965.1|	161	755164214	WP_042513014	161	98.14	158	322	4e-110	86661	MULTISPECIES: phage terminase small subunit P27 family [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|85701380|ref|YP_459965.1|	161	446841766	WP_000919022	161	95.65	154	321	2e-109	1396	phage terminase small subunit P27 family [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|85701380|ref|YP_459965.1|	161	1197004528	WP_086421294	161	96.89	156	320	2e-109	1428	phage terminase small subunit P27 family [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
