qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|239507423|ref|YP_002939669.1|	401	446186892	WP_000264747	401	100	401	812	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	1212727778	WP_088607385	401	99.75	400	811	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	446186335	WP_000264190	401	99.75	400	810	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	1031798141	WP_064137704	401	99.75	400	809	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	1119583075	WP_072519173	401	99.75	400	808	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	1119463468	WP_072437337	401	99.5	399	808	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	1031795259	WP_064135631	401	99.75	400	808	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	771530727	WP_045179176	401	99.5	399	807	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	446186896	WP_000264751	401	99.5	399	807	0	91061	MULTISPECIES: site-specific integrase [Bacilli]	Bacteria	Firmicutes	Bacilli				
0	gi|239507423|ref|YP_002939669.1|	401	1005548790	WP_061651525	401	99.25	398	806	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	446186893	WP_000264748	401	99.5	399	806	0	1280;93061	site-specific integrase [Staphylococcus aureus]	NA	NA	NA	NA	NA	NA	NA
0	gi|239507423|ref|YP_002939669.1|	401	686150152	WP_031783998	401	99.25	398	806	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	686299739	WP_031865605	401	99.25	398	806	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	686197572	WP_031807862	401	99.25	398	806	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	1196426885	WP_086098290	401	99.25	398	806	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	896350785	WP_049307890	401	99.25	398	806	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	686150462	WP_031784225	401	99.25	398	806	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	686390845	WP_031905805	401	99.25	398	806	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	686116638	WP_031766111	401	99.25	398	806	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	446186894	WP_000264749	401	99.25	398	806	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	1196416977	WP_086095577	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	1031783270	WP_064129650	401	99.25	398	805	0	1279	MULTISPECIES: site-specific integrase [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|239507423|ref|YP_002939669.1|	401	1006161457	WP_061736049	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	1005551943	WP_061652675	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	1006155888	WP_061734464	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	1006161006	WP_061735937	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	1006679806	WP_061821317	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	686254144	WP_031838289	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	686133180	WP_031774180	401	99.5	399	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	686195911	WP_031806937	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	686298649	WP_031864865	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	686334524	WP_031881462	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	521258156	WP_020444721	401	99.25	398	805	0	1279	MULTISPECIES: site-specific integrase [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|239507423|ref|YP_002939669.1|	401	486268188	WP_001567465	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	446186885	WP_000264740	401	99	397	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	446186336	WP_000264191	401	99.25	398	805	0	1279	MULTISPECIES: site-specific integrase [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|239507423|ref|YP_002939669.1|	401	1119622751	WP_072544360	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	1031805531	WP_064139553	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	1006147501	WP_061732242	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	880805386	WP_048657635	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	916150962	WP_050959869	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	446186897	WP_000264752	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	727738957	WP_033856916	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	510813671	WP_016187434	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|239507423|ref|YP_002939669.1|	401	446186903	WP_000264758	401	99.25	398	805	0	1280	site-specific integrase [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
