qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|182637481|ref|YP_001828652.1|	116	1199560672	WP_087296553	119	39	39	69.7	2e-12	1965557	hypothetical protein [Massiliomicrobiota sp. An134]	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Massiliomicrobiota	Massiliomicrobiota sp. An134
0	gi|182637481|ref|YP_001828652.1|	116	1199564995	WP_087300736	113	40.96	34	67	1e-11	169435	hypothetical protein [Anaerotruncus colihominis]	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis
0	gi|182637481|ref|YP_001828652.1|	116	489596080	WP_003500523	99	40.96	34	66.2	2e-11	1512	hypothetical protein [[Clostridium] symbiosum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] symbiosum
0	gi|182637482|ref|YP_001828653.1|	131	1224214969	WP_092242079	139	42.22	57	99	3e-23	1520811	hypothetical protein [Butyrivibrio sp. INlla21]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio sp. INlla21
0	gi|182637482|ref|YP_001828653.1|	131	910242383	WP_050047078	137	40.58	56	95.9	4e-22	44008	hypothetical protein [Enterococcus cecorum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus cecorum
0	gi|182637482|ref|YP_001828653.1|	131	941886763	WP_055223551	137	42.22	57	95.9	5e-22	39491	hypothetical protein [[Eubacterium] rectale]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		[Eubacterium] rectale
0	gi|182637482|ref|YP_001828653.1|	131	495666285	WP_008390864	137	43.7	59	93.6	3e-21	411484	hypothetical protein [Clostridium sp. SS2/1]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. SS2/1
0	gi|182637482|ref|YP_001828653.1|	131	750628540	WP_040910405	138	41.18	56	91.3	3e-20	665956	hypothetical protein [Subdoligranulum sp. 4_3_54A2FAA]	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	Subdoligranulum sp. 4_3_54A2FAA
0	gi|182637482|ref|YP_001828653.1|	131	1199564993	WP_087300734	139	40.44	55	90.1	8e-20	169435	hypothetical protein [Anaerotruncus colihominis]	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus colihominis
0	gi|182637482|ref|YP_001828653.1|	131	489625101	WP_003529541	138	39.71	54	89.7	1e-19	1535	hypothetical protein [[Clostridium] leptum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	[Clostridium] leptum
