qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|374531599|ref|YP_005098158.1|	168	1161000242	WP_079826602	166	41.96	60	118	9e-30	28901	lysozyme [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|374531599|ref|YP_005098158.1|	168	1230838645	WP_094300165	166	41.26	59	117	2e-29	28901	lysozyme [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|374531599|ref|YP_005098158.1|	168	1160960241	WP_079796664	166	42.66	61	117	2e-29	28901	lysozyme [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|374531599|ref|YP_005098158.1|	168	1160981189	WP_079813641	166	41.96	60	117	3e-29	28901	lysozyme [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|374531599|ref|YP_005098158.1|	168	447047131	WP_001124387	166	41.96	60	116	3e-29	28901	lysozyme [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|374531599|ref|YP_005098158.1|	168	1167937365	WP_080204462	166	41.26	59	116	3e-29	28901	lysozyme [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|374531599|ref|YP_005098158.1|	168	1186206203	WP_085403017	166	41.96	60	116	3e-29	28901	lysozyme [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|374531599|ref|YP_005098158.1|	168	1167904028	WP_080187511	166	41.26	59	116	3e-29	28901	lysozyme [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|374531599|ref|YP_005098158.1|	168	1165972617	WP_079955373	166	41.96	60	116	4e-29	28901	lysozyme [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|374531599|ref|YP_005098158.1|	168	1167676140	WP_080077538	166	41.96	60	116	4e-29	28901	lysozyme [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|374531599|ref|YP_005098158.1|	168	1176497789	WP_082327547	166	41.26	59	116	4e-29	28901	lysozyme [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
