qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|712915689|ref|YP_009103334.1|	344	1333905866	WP_103009435	335	54.36	187	379	6e-127	569	hypothetical protein [Hafnia alvei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia alvei
0	gi|712915689|ref|YP_009103334.1|	344	917374894	WP_051981606	309	33.12	104	184	2e-51	1444711	DUF2184 domain-containing protein [Candidatus Protochlamydia massiliensis]	Bacteria	Chlamydiae	Chlamydiia	Parachlamydiales	Parachlamydiaceae	Candidatus Protochlamydia	Candidatus Protochlamydia massiliensis
0	gi|712915689|ref|YP_009103334.1|	344	654467720	WP_027938112	321	32.13	98	171	4e-46	82376	DUF2184 domain-containing protein [Anaeroarcus burkinensis]	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae	Anaeroarcus	Anaeroarcus burkinensis
0	gi|712915689|ref|YP_009103334.1|	344	1271525239	WP_099306902	314	31.77	95	158	2e-41	1982044	DUF2184 domain-containing protein [Phyllobacteriaceae bacterium X9-2-2]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae		Phyllobacteriaceae bacterium X9-2-2
0	gi|712915689|ref|YP_009103334.1|	344	1261249812	WP_097780438	339	31.73	99	155	4e-40	853	DUF2184 domain-containing protein [Faecalibacterium prausnitzii]	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
0	gi|712915689|ref|YP_009103334.1|	344	490159026	WP_004057691	337	33.44	104	147	3e-37	97253	DUF2184 domain-containing protein [Eubacterium plexicaudatum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium plexicaudatum
0	gi|712915689|ref|YP_009103334.1|	344	1119627287	WP_072548737	316	30.35	95	144	2e-36	364410	DUF2184 domain-containing protein [Granulibacter bethesdensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Granulibacter	Granulibacter bethesdensis
0	gi|712915689|ref|YP_009103334.1|	344	1119652620	WP_072572810	316	30.35	95	144	5e-36	364410	DUF2184 domain-containing protein [Granulibacter bethesdensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Granulibacter	Granulibacter bethesdensis
0	gi|712915689|ref|YP_009103334.1|	344	499951547	WP_011632281	316	30.35	95	143	6e-36	364410	DUF2184 domain-containing protein [Granulibacter bethesdensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Granulibacter	Granulibacter bethesdensis
0	gi|712915689|ref|YP_009103334.1|	344	1119643166	WP_072563497	316	30.35	95	143	7e-36	364410	DUF2184 domain-containing protein [Granulibacter bethesdensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Granulibacter	Granulibacter bethesdensis
