qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|610583911|ref|YP_008869214.1|	139	810918619	WP_046360893	143	53.28	65	120	3e-31	568	MULTISPECIES: terminase small subunit [Hafnia]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	
0	gi|610583911|ref|YP_008869214.1|	139	496088610	WP_008813117	143	53.28	65	119	6e-31	469613	terminase small subunit [Enterobacteriaceae bacterium 9_2_54FAA]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		Enterobacteriaceae bacterium 9_2_54FAA
0	gi|610583911|ref|YP_008869214.1|	139	655275310	WP_028684799	134	48.53	66	117	4e-30	86187	terminase [Phaseolibacter flectens]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Phaseolibacter	Phaseolibacter flectens
0	gi|610583911|ref|YP_008869214.1|	139	1224655759	WP_092674808	134	48.53	66	116	5e-30	988801	terminase small subunit [Rosenbergiella nectarea]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Rosenbergiella	Rosenbergiella nectarea
0	gi|610583911|ref|YP_008869214.1|	139	1224860909	WP_092877284	133	47.01	63	114	5e-29	1367852	terminase small subunit [Izhakiella capsodis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Izhakiella	Izhakiella capsodis
0	gi|610583911|ref|YP_008869214.1|	139	757600236	WP_042847872	143	52.46	64	112	2e-28	587	terminase [Providencia rettgeri]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	Providencia rettgeri
0	gi|610583911|ref|YP_008869214.1|	139	902512173	WP_049602244	133	44.78	60	110	7e-28	685706	terminase small subunit [Yersinia nurmii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia nurmii
0	gi|610583911|ref|YP_008869214.1|	139	951325201	WP_057711397	149	50	61	111	9e-28	1615674	terminase [Pseudomonas lactis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas lactis
0	gi|610583911|ref|YP_008869214.1|	139	1035666948	WP_064514087	133	45.52	61	110	2e-27	935293	terminase [Yersinia entomophaga]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia entomophaga
0	gi|610583911|ref|YP_008869214.1|	139	919982062	WP_052928023	133	45.19	61	109	3e-27	582	terminase [Morganella morganii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella	Morganella morganii
0	gi|610583911|ref|YP_008869214.1|	139	1224211627	WP_092238895	149	49.18	60	109	3e-27	286	MULTISPECIES: terminase small subunit [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|610583911|ref|YP_008869214.1|	139	1325889689	WP_101764004	137	43.8	60	109	4e-27	1737355	terminase small subunit [Pantoea sp. 596]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea sp. 596
0	gi|610583911|ref|YP_008869214.1|	139	921961160	WP_053254968	149	49.18	60	108	1e-26	294	terminase [Pseudomonas fluorescens]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens
0	gi|610583911|ref|YP_008869214.1|	139	902546817	WP_049613871	143	44.53	61	108	1e-26	1288385	terminase small subunit [Yersinia pekkanenii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pekkanenii
0	gi|610583911|ref|YP_008869214.1|	139	1148776236	WP_077506546	149	49.18	60	108	2e-26	1945865	terminase small subunit [Pseudomonas sp. A25(2017)]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. A25(2017)
0	gi|610583911|ref|YP_008869214.1|	139	555238300	WP_023223408	143	50	61	107	3e-26	28901	terminase small subunit [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|610583911|ref|YP_008869214.1|	139	755716070	WP_042562418	143	45.26	62	106	4e-26	629	MULTISPECIES: terminase small subunit [Yersinia]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	
0	gi|610583911|ref|YP_008869214.1|	139	910881364	WP_050128117	143	44.53	61	106	7e-26	633	terminase small subunit [Yersinia pseudotuberculosis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis
0	gi|610583911|ref|YP_008869214.1|	139	1179609653	WP_083377848	149	48.36	59	106	7e-26	76760	terminase small subunit [Pseudomonas rhodesiae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas rhodesiae
0	gi|610583911|ref|YP_008869214.1|	139	1152447538	WP_078306170	152	44.53	57	106	8e-26	90241	terminase small subunit [Moraxella lincolnii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella lincolnii
0	gi|610583911|ref|YP_008869214.1|	139	568195558	WP_024069922	139	52.89	64	105	8e-26	85698	terminase small subunit [Achromobacter xylosoxidans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans
0	gi|610583911|ref|YP_008869214.1|	139	1140882528	WP_076734997	143	48.36	59	105	1e-25	28141	terminase small subunit [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|610583911|ref|YP_008869214.1|	139	1167838720	WP_080148118	143	49.59	60	105	1e-25	28901	terminase small subunit [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|610583911|ref|YP_008869214.1|	139	639682383	WP_024718211	149	50	61	105	1e-25	303	terminase [Pseudomonas putida]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
0	gi|610583911|ref|YP_008869214.1|	139	1226671700	WP_093955082	137	44.53	61	105	1e-25	28901	terminase small subunit [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|610583911|ref|YP_008869214.1|	139	1196978509	WP_086399213	169	48.41	61	105	3e-25	48296	terminase small subunit [Acinetobacter pittii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii
0	gi|610583911|ref|YP_008869214.1|	139	1172918618	WP_080984317	177	44.53	61	105	3e-25	633	terminase small subunit [Yersinia pseudotuberculosis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis
0	gi|610583911|ref|YP_008869214.1|	139	565867266	WP_023948999	146	48.36	59	104	3e-25	1414851	terminase small subunit [Pelistega indica]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pelistega	Pelistega indica
0	gi|610583911|ref|YP_008869214.1|	139	1094066356	WP_071058976	138	48.36	59	104	3e-25	1720297	terminase small subunit [Pelistega sp. MC2]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pelistega	Pelistega sp. MC2
0	gi|610583911|ref|YP_008869214.1|	139	1022697420	WP_063448406	137	43.8	60	103	4e-25	1812935	terminase small subunit [Enterobacter cloacae complex 'Hoffmann cluster IV']	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae complex 'Hoffmann cluster IV'
0	gi|610583911|ref|YP_008869214.1|	139	446069410	WP_000147265	143	45.26	62	104	4e-25	28901	terminase small subunit [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|610583911|ref|YP_008869214.1|	139	1161026819	WP_079839817	143	48.76	59	104	4e-25	28901	terminase small subunit [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|610583911|ref|YP_008869214.1|	139	506598066	WP_016062804	143	48.76	59	103	5e-25	28901	terminase small subunit [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|610583911|ref|YP_008869214.1|	139	1098943596	WP_071304457	145	45.97	57	103	5e-25	263	terminase small subunit [Francisella tularensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis
0	gi|610583911|ref|YP_008869214.1|	139	446069409	WP_000147264	143	45.26	62	103	5e-25	28901	terminase small subunit [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|610583911|ref|YP_008869214.1|	139	1246139466	WP_096323032	140	48.76	59	103	5e-25	562	terminase small subunit, partial [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|610583911|ref|YP_008869214.1|	139	501385427	WP_012416993	144	50.83	61	103	5e-25	521	terminase small subunit [Bordetella avium]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella avium
