qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|460042013|ref|YP_007517466.1|	224	490209503	WP_004107907	224	82.27	181	388	8e-134	2702	hypothetical protein [Gardnerella vaginalis]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
0	gi|460042013|ref|YP_007517466.1|	224	1267714822	WP_098472869	221	51.72	105	214	7e-66	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|460042013|ref|YP_007517466.1|	224	1267620911	WP_098392480	221	51.72	105	214	1e-65	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|460042013|ref|YP_007517466.1|	224	507053168	WP_016124135	222	49.76	102	207	5e-63	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|460042013|ref|YP_007517466.1|	224	1267325721	WP_098169218	225	49.28	102	201	2e-60	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|460042013|ref|YP_007517466.1|	224	1268100142	WP_098663795	225	48.79	101	199	1e-59	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|460042013|ref|YP_007517466.1|	224	1267228948	WP_098087953	225	48.79	101	198	2e-59	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|460042013|ref|YP_007517466.1|	224	488059285	WP_002130682	218	46.98	101	184	4e-54	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|460042013|ref|YP_007517466.1|	224	1268171798	WP_098718552	225	46.86	97	182	4e-53	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|460042013|ref|YP_007517466.1|	224	1268364936	WP_098832970	221	46.31	94	176	5e-51	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|460042013|ref|YP_007517466.1|	224	1267260969	WP_098115351	225	46.73	93	175	2e-50	1890302	hypothetical protein [Bacillus wiedmannii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus wiedmannii
0	gi|460042013|ref|YP_007517466.1|	224	1267556972	WP_098355349	223	44.88	92	174	5e-50	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|460042013|ref|YP_007517466.1|	224	1025885518	WP_063592085	210	39.13	72	126	1e-31	450367	hypothetical protein [[Brevibacterium] frigoritolerans]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	[Brevibacterium] frigoritolerans
0	gi|460042013|ref|YP_007517466.1|	224	1240909696	WP_095679998	209	38.04	70	120	1e-29	1478	hypothetical protein [Bacillus simplex]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus simplex
0	gi|460042013|ref|YP_007517466.1|	224	1207598464	WP_087965375	214	36.11	65	114	3e-27	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|460042013|ref|YP_007517466.1|	224	1268317140	WP_098798144	219	38.32	64	112	2e-26	2033502	hypothetical protein [Bacillus sp. AFS040349]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. AFS040349
0	gi|460042013|ref|YP_007517466.1|	224	1300156092	WP_100831729	215	36.7	69	107	1e-24	2011012	hypothetical protein [Bacillus sp. FJAT-45348]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. FJAT-45348
0	gi|460042013|ref|YP_007517466.1|	224	935442663	WP_054397745	211	38.25	70	107	2e-24	1581037	hypothetical protein [Bacillus sp. FJAT-22058]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. FJAT-22058
0	gi|460042013|ref|YP_007517466.1|	224	1267244469	WP_098101511	220	35.23	62	106	3e-24	64104	hypothetical protein [Bacillus pseudomycoides]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pseudomycoides
0	gi|460042013|ref|YP_007517466.1|	224	1267995267	WP_098638652	215	34.09	60	105	5e-24	1392	hypothetical protein [Bacillus anthracis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis
0	gi|460042013|ref|YP_007517466.1|	224	1267271818	WP_098124575	220	33.52	59	105	8e-24	64104	hypothetical protein [Bacillus pseudomycoides]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pseudomycoides
0	gi|460042013|ref|YP_007517466.1|	224	493016885	WP_006094060	220	33.52	59	105	1e-23	1386	MULTISPECIES: hypothetical protein [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|460042013|ref|YP_007517466.1|	224	1264357764	WP_097969569	220	31.63	62	104	2e-23	64104	hypothetical protein [Bacillus pseudomycoides]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pseudomycoides
0	gi|460042013|ref|YP_007517466.1|	224	1268112800	WP_098674343	220	31.63	62	103	3e-23	64104	hypothetical protein [Bacillus pseudomycoides]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pseudomycoides
0	gi|460042013|ref|YP_007517466.1|	224	489288444	WP_003196002	220	32.95	58	103	4e-23	1405	hypothetical protein [Bacillus mycoides]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mycoides
0	gi|460042013|ref|YP_007517466.1|	224	1000963170	WP_061183640	216	35.5	60	102	1e-22	86661	MULTISPECIES: hypothetical protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|460042013|ref|YP_007517466.1|	224	1264238765	WP_097871608	216	36.42	63	102	1e-22	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|460042013|ref|YP_007517466.1|	224	1264260149	WP_097889449	214	36.36	64	101	2e-22	1890302	hypothetical protein [Bacillus wiedmannii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus wiedmannii
0	gi|460042013|ref|YP_007517466.1|	224	1268593727	WP_098901891	214	32.06	67	98.6	3e-21	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|460042013|ref|YP_007517466.1|	224	1005570377	WP_061663708	214	32.06	67	97.8	4e-21	86661	MULTISPECIES: hypothetical protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|460042013|ref|YP_007517466.1|	224	1152338803	WP_078213996	212	35.88	61	97.8	5e-21	1405	hypothetical protein [Bacillus mycoides]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mycoides
0	gi|460042013|ref|YP_007517466.1|	224	1268394822	WP_098851430	211	31.5	63	96.3	2e-20	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|460042013|ref|YP_007517466.1|	224	1268368087	WP_098834565	211	33.93	57	95.9	2e-20	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|460042013|ref|YP_007517466.1|	224	1267518434	WP_098322534	214	31.4	65	95.9	3e-20	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|460042013|ref|YP_007517466.1|	224	1264278807	WP_097905024	215	32.39	57	95.5	4e-20	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|460042013|ref|YP_007517466.1|	224	1267823826	WP_098562467	214	31.4	65	95.1	4e-20	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|460042013|ref|YP_007517466.1|	224	1264410576	WP_098016196	212	35.26	61	94.7	5e-20	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|460042013|ref|YP_007517466.1|	224	1267229982	WP_098088950	215	31.61	55	94	1e-19	1890302	hypothetical protein [Bacillus wiedmannii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus wiedmannii
