qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|29366752|ref|NP_813692.1|	147	663202997	WP_030240820	147	92.52	136	284	3e-95	1883	MULTISPECIES: phage terminase small subunit P27 family [Streptomyces]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
0	gi|29366752|ref|NP_813692.1|	147	663206721	WP_030244213	146	74.83	110	231	1e-74	1463902	phage terminase small subunit P27 family [Streptomyces sp. NRRL S-350]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. NRRL S-350
0	gi|29366752|ref|NP_813692.1|	147	663266757	WP_030285488	147	72.11	106	208	1e-65	66875	phage terminase small subunit P27 family [Streptomyces catenulae]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces catenulae
0	gi|29366752|ref|NP_813692.1|	147	943988512	WP_055582751	147	71.43	105	207	5e-65	42236	phage terminase small subunit P27 family [Streptomyces diastatochromogenes]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces diastatochromogenes
0	gi|29366752|ref|NP_813692.1|	147	974666966	WP_059251377	147	71.43	105	205	3e-64	1926	phage terminase small subunit P27 family [Streptomyces reticuli]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces reticuli
0	gi|29366752|ref|NP_813692.1|	147	727550268	WP_033825234	138	71.22	99	201	5e-63	1444768	phage terminase small subunit P27 family [Kitasatospora sp. MBT63]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora sp. MBT63
0	gi|29366752|ref|NP_813692.1|	147	1121565616	WP_073795522	146	70.07	103	200	2e-62	1048205	phage terminase small subunit P27 family [Streptomyces uncialis]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces uncialis
0	gi|29366752|ref|NP_813692.1|	147	664247868	WP_030779388	146	71.43	105	190	2e-58	1463921	phage terminase small subunit P27 family [Streptomyces sp. NRRL S-920]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. NRRL S-920
0	gi|29366752|ref|NP_813692.1|	147	1121535268	WP_073765453	146	70.07	103	189	6e-58	1718985	phage terminase small subunit P27 family [Streptomyces sp. CB02923]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. CB02923
0	gi|29366752|ref|NP_813692.1|	147	1267766569	WP_098512212	151	58.28	88	174	3e-52	76022	phage terminase small subunit P27 family [Amycolatopsis sulphurea]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis sulphurea
0	gi|29366752|ref|NP_813692.1|	147	1180400882	WP_083919679	157	37.19	45	92.4	2e-20	280236	phage terminase small subunit P27 family [Nocardiopsis gilva]	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	Nocardiopsis gilva
0	gi|29366752|ref|NP_813692.1|	147	1288884623	WP_100589004	162	40.16	49	91.3	7e-20	2020329	phage terminase small subunit P27 family [Kitasatospora sp. CB02891]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora sp. CB02891
0	gi|29366752|ref|NP_813692.1|	147	559025535	WP_023550835	132	43	43	89.4	2e-19	285450	phage terminase small subunit P27 family [Streptomyces roseochromogenus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces roseochromogenus
