qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|156523050|ref|YP_950425.2|	236	506517139	WP_015984359	236	100	236	476	5e-168	286	MULTISPECIES: helix-turn-helix transcriptional regulator [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|156523050|ref|YP_950425.2|	236	553777439	WP_023109220	236	99.58	235	474	2e-167	287	helix-turn-helix transcriptional regulator [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|156523050|ref|YP_950425.2|	236	685889389	WP_031630774	209	99.52	208	421	9e-147	287	helix-turn-helix transcriptional regulator [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|156523050|ref|YP_950425.2|	236	506520500	WP_015987660	209	99.04	207	419	4e-146	287	helix-turn-helix transcriptional regulator [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|156523050|ref|YP_950425.2|	236	730586585	WP_034050124	209	99.04	207	418	8e-146	287	helix-turn-helix transcriptional regulator [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|156523050|ref|YP_950425.2|	236	730288581	WP_033972357	209	98.09	205	414	2e-144	287	helix-turn-helix transcriptional regulator [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|156523050|ref|YP_950425.2|	236	1174463622	WP_081480357	237	64.17	154	301	2e-99	359110	helix-turn-helix transcriptional regulator [Pseudomonas extremaustralis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas extremaustralis
0	gi|156523050|ref|YP_950425.2|	236	639944217	WP_024767778	238	62.76	150	290	6e-95	46680	helix-turn-helix transcriptional regulator [Pseudomonas nitroreducens]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas nitroreducens
0	gi|156523050|ref|YP_950425.2|	236	1176585255	WP_082412245	234	60.17	142	283	3e-92	286	MULTISPECIES: helix-turn-helix transcriptional regulator [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|156523050|ref|YP_950425.2|	236	1160905063	WP_079748097	234	63.32	145	283	3e-92	287	helix-turn-helix transcriptional regulator [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
