qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|9628601|ref|NP_043466.1|	337	895830534	WP_048950678	337	99.41	335	697	0	727	site-specific integrase [Haemophilus influenzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae
0	gi|9628601|ref|NP_043466.1|	337	1006061256	WP_061724372	337	98.22	331	691	0	727	site-specific integrase [Haemophilus influenzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae
0	gi|9628601|ref|NP_043466.1|	337	1132624925	WP_075985618	337	97.92	330	688	0	727	site-specific integrase [Haemophilus influenzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae
0	gi|9628601|ref|NP_043466.1|	337	491913252	WP_005667766	337	97.63	329	686	0	727	integrase [Haemophilus influenzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae
0	gi|9628601|ref|NP_043466.1|	337	1042183345	WP_065244257	337	96.44	325	682	0	1859695	site-specific integrase [Haemophilus sp. CCUG 60358]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus sp. CCUG 60358
0	gi|9628601|ref|NP_043466.1|	337	491868734	WP_005643008	337	95.55	322	672	0	724	MULTISPECIES: site-specific integrase [Haemophilus]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	
0	gi|9628601|ref|NP_043466.1|	337	1042711670	WP_065285981	337	94.66	319	669	0	729	site-specific integrase [Haemophilus parainfluenzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
0	gi|9628601|ref|NP_043466.1|	337	896420892	WP_049355423	337	94.07	317	664	0	729	site-specific integrase [Haemophilus parainfluenzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae
0	gi|9628601|ref|NP_043466.1|	337	503290808	WP_013525469	337	94.66	319	664	0	727	site-specific integrase [Haemophilus influenzae]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae
0	gi|9628601|ref|NP_043466.1|	337	517166982	WP_018355800	337	92.58	312	656	0	758	site-specific integrase [Rodentibacter pneumotropicus]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Rodentibacter	Rodentibacter pneumotropicus
0	gi|9628601|ref|NP_043466.1|	337	1148862768	WP_077583170	339	91.15	309	647	0	758	site-specific integrase [Rodentibacter pneumotropicus]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Rodentibacter	Rodentibacter pneumotropicus
0	gi|9628601|ref|NP_043466.1|	337	1148742794	WP_077476131	339	91.74	311	646	0	1906745	site-specific integrase [Rodentibacter ratti]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Rodentibacter	Rodentibacter ratti
0	gi|9628601|ref|NP_043466.1|	337	1148769317	WP_077500116	339	91.15	309	645	0	1908260	site-specific integrase [Rodentibacter rarus]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Rodentibacter	Rodentibacter rarus
0	gi|9628601|ref|NP_043466.1|	337	1148684260	WP_077423528	339	90.86	308	642	0	1907939	site-specific integrase [Rodentibacter myodis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Rodentibacter	Rodentibacter myodis
0	gi|9628601|ref|NP_043466.1|	337	1154895458	WP_078801779	340	70.71	239	506	8e-177	747	site-specific integrase [Pasteurella multocida]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida
0	gi|9628601|ref|NP_043466.1|	337	737719764	WP_035688609	339	73.13	245	506	9e-177	728	site-specific integrase [Avibacterium paragallinarum]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Avibacterium	Avibacterium paragallinarum
0	gi|9628601|ref|NP_043466.1|	337	506514706	WP_015981969	340	70.12	237	505	2e-176	747	integrase [Pasteurella multocida]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida
0	gi|9628601|ref|NP_043466.1|	337	516417722	WP_017807120	339	72.84	244	503	8e-176	728	integrase [Avibacterium paragallinarum]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Avibacterium	Avibacterium paragallinarum
0	gi|9628601|ref|NP_043466.1|	337	805419313	WP_046098282	339	72.84	244	503	1e-175	728	integrase [Avibacterium paragallinarum]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Avibacterium	Avibacterium paragallinarum
