qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|109522085|ref|YP_655762.1|	151	1123782732	WP_074337827	152	72.97	108	222	5e-71	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109522085|ref|YP_655762.1|	151	1160733295	WP_079592410	152	72.97	108	221	3e-70	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109522085|ref|YP_655762.1|	151	1123628855	WP_074319406	152	72.97	108	220	5e-70	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109522085|ref|YP_655762.1|	151	1160758665	WP_079615284	152	72.97	108	220	5e-70	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109522085|ref|YP_655762.1|	151	491256029	WP_005114206	152	72.3	107	218	3e-69	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109522085|ref|YP_655762.1|	151	1123842137	WP_074380025	152	72.3	107	217	7e-69	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109522085|ref|YP_655762.1|	151	1123568160	WP_074270080	152	71.62	106	216	2e-68	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109522085|ref|YP_655762.1|	151	1285221073	WP_100525367	152	72.3	107	215	3e-68	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109522085|ref|YP_655762.1|	151	1055128257	WP_066876100	152	74.17	112	214	1e-67	1834075	hypothetical protein [Mycobacterium sp. 1245801.1]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. 1245801.1
0	gi|109522085|ref|YP_655762.1|	151	1055483178	WP_067143153	153	68.67	103	207	4e-65	1856860	hypothetical protein [Mycobacterium sp. 1245852.3]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. 1245852.3
0	gi|109522085|ref|YP_655762.1|	151	1178565965	WP_083082344	150	67.33	101	206	8e-65	354243	hypothetical protein [Mycobacterium kumamotonense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium kumamotonense
0	gi|109522085|ref|YP_655762.1|	151	1152416470	WP_078279380	95	78.95	75	151	7e-44	948102	hypothetical protein [Mycobacterium franklinii]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium franklinii
0	gi|109522085|ref|YP_655762.1|	151	1173747590	WP_081392710	97	78.72	74	148	1e-42	1766	hypothetical protein [Mycobacterium fortuitum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium fortuitum
