qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|358356532|ref|YP_004934283.1|	261	500142899	WP_011818902	318	41.51	88	162	8e-44	1219	PhoH family protein [Prochlorococcus marinus]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
0	gi|358356532|ref|YP_004934283.1|	261	493677379	WP_006627629	307	41.12	88	159	7e-43	118748	PhoH family protein [Bulleidia extructa]	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia extructa
0	gi|358356532|ref|YP_004934283.1|	261	499445454	WP_011132918	318	40.38	86	159	9e-43	1219	PhoH family protein [Prochlorococcus marinus]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
0	gi|358356532|ref|YP_004934283.1|	261	1200051559	WP_087499041	258	39.91	85	157	2e-42	244366	phosphate starvation-inducible protein PhoH [Klebsiella variicola]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella variicola
0	gi|358356532|ref|YP_004934283.1|	261	499696192	WP_011376926	318	39.44	84	158	3e-42	1219	PhoH family protein [Prochlorococcus marinus]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
0	gi|358356532|ref|YP_004934283.1|	261	1159749279	WP_079297205	318	39.91	85	157	3e-42	1961092	PhoH family protein [Prochlorococcus sp. HOT208_60m_813L03]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus sp. HOT208_60m_813L03
0	gi|358356532|ref|YP_004934283.1|	261	1194616029	WP_085948307	325	39.29	88	158	3e-42	1736	PhoH family protein [Eubacterium limosum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium limosum
0	gi|358356532|ref|YP_004934283.1|	261	503341103	WP_013575764	262	34.07	93	156	3e-42	34037	MULTISPECIES: phosphate starvation-inducible protein PhoH [Rahnella]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Rahnella	
0	gi|358356532|ref|YP_004934283.1|	261	1159794084	WP_079336994	318	39.91	85	157	3e-42	1961087	PhoH family protein [Prochlorococcus sp. HOT208_60m_810P02]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus sp. HOT208_60m_810P02
0	gi|358356532|ref|YP_004934283.1|	261	1215346551	WP_089045588	255	39.42	82	155	4e-42	1449788	PhoH family protein [Sinorhizobium sp. LM21]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium sp. LM21
0	gi|358356532|ref|YP_004934283.1|	261	1177398770	WP_082669243	333	39.29	88	158	4e-42	1736	PhoH family protein [Eubacterium limosum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium limosum
0	gi|358356532|ref|YP_004934283.1|	261	917722874	WP_052237165	325	39.29	88	157	4e-42	1736	PhoH family protein [Eubacterium limosum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium limosum
0	gi|358356532|ref|YP_004934283.1|	261	1069456570	WP_069682812	257	38.79	83	155	4e-42	28141	phosphate starvation-inducible protein PhoH [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|358356532|ref|YP_004934283.1|	261	1179497018	WP_083337077	333	39.29	88	157	4e-42	1730	MULTISPECIES: PhoH family protein [Eubacterium]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	
0	gi|358356532|ref|YP_004934283.1|	261	1222361651	WP_090414298	333	39.29	88	157	4e-42	53442	PhoH family protein [Eubacterium callanderi]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium callanderi
0	gi|358356532|ref|YP_004934283.1|	261	503146486	WP_013381147	333	39.29	88	157	5e-42	186802	MULTISPECIES: PhoH family protein [Clostridiales]	Bacteria	Firmicutes	Clostridia	Clostridiales			
0	gi|358356532|ref|YP_004934283.1|	261	1159743760	WP_079292650	318	39.44	84	157	5e-42	1218	MULTISPECIES: PhoH family protein [Prochlorococcus]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	
0	gi|358356532|ref|YP_004934283.1|	261	1119296358	WP_072274514	281	39.91	85	156	5e-42	573	phosphate starvation-inducible protein PhoH [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|358356532|ref|YP_004934283.1|	261	1328062992	WP_102179900	258	39.44	84	155	5e-42	573	phosphate starvation-inducible protein PhoH [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|358356532|ref|YP_004934283.1|	261	1110735812	WP_071961432	281	39.53	85	156	6e-42	570	MULTISPECIES: phosphate starvation-inducible protein PhoH [Klebsiella]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	
0	gi|358356532|ref|YP_004934283.1|	261	1123440774	WP_074187466	217	39.44	84	154	6e-42	573	phosphate starvation-inducible protein PhoH [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|358356532|ref|YP_004934283.1|	261	491519971	WP_005377602	322	37.4	95	157	6e-42	39777	phosphate starvation-inducible protein PhoH [Veillonella atypica]	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella atypica
0	gi|358356532|ref|YP_004934283.1|	261	985514015	WP_060807362	322	37.4	95	157	6e-42	39777	phosphate starvation-inducible protein PhoH [Veillonella atypica]	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella atypica
0	gi|358356532|ref|YP_004934283.1|	261	512692209	WP_016475634	322	37.4	95	157	7e-42	1203593	phosphate starvation-inducible protein PhoH [Veillonella sp. HPA0037]	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella sp. HPA0037
0	gi|358356532|ref|YP_004934283.1|	261	695328989	WP_032527214	318	39.44	84	157	7e-42	1219	PhoH family protein [Prochlorococcus marinus]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
0	gi|358356532|ref|YP_004934283.1|	261	1231369900	WP_094313841	257	39.91	85	155	7e-42	573	phosphate starvation-inducible protein PhoH [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|358356532|ref|YP_004934283.1|	261	491522339	WP_005379967	322	37.4	95	157	7e-42	29465	MULTISPECIES: phosphate starvation-inducible protein PhoH [Veillonella]	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	
0	gi|358356532|ref|YP_004934283.1|	261	980928925	WP_059362723	322	37.4	95	157	7e-42	1110546	phosphate starvation-inducible protein PhoH [Veillonella tobetsuensis]	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella tobetsuensis
0	gi|358356532|ref|YP_004934283.1|	261	1160998383	WP_079824835	257	40.38	86	155	8e-42	28901	phosphate starvation-inducible protein PhoH [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|358356532|ref|YP_004934283.1|	261	694096024	WP_032440524	258	39.44	84	155	8e-42	573	phosphate starvation-inducible protein PhoH [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|358356532|ref|YP_004934283.1|	261	852283497	WP_048331520	258	39.44	84	155	9e-42	244366	phosphate starvation-inducible protein PhoH [Klebsiella variicola]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella variicola
0	gi|358356532|ref|YP_004934283.1|	261	1197268663	WP_086512506	258	39.44	84	155	9e-42	570	MULTISPECIES: phosphate starvation-inducible protein PhoH [Klebsiella]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	
0	gi|358356532|ref|YP_004934283.1|	261	500144746	WP_011820749	318	39.91	85	156	9e-42	1219	PhoH family protein [Prochlorococcus marinus]	Bacteria	Cyanobacteria		Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus
0	gi|358356532|ref|YP_004934283.1|	261	1124099334	WP_074447296	263	39.44	84	155	9e-42	573	phosphate starvation-inducible protein PhoH [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|358356532|ref|YP_004934283.1|	261	1055837328	WP_067425154	321	41.35	86	156	1e-41	1768196	PhoH family protein [Erysipelotrichaceae bacterium MTC7]	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae		Erysipelotrichaceae bacterium MTC7
0	gi|358356532|ref|YP_004934283.1|	261	1057168074	WP_068551713	324	41.74	91	156	1e-41	1588751	PhoH family protein [Tissierellia bacterium KA00581]	Bacteria	Firmicutes	Tissierellia				Tissierellia bacterium KA00581
0	gi|358356532|ref|YP_004934283.1|	261	555236439	WP_023221842	257	40.38	86	154	1e-41	28901	phosphate starvation-inducible protein PhoH [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
