qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|115334611|ref|YP_764457.1|	321	765525164	WP_044737260	321	93.46	300	616	0	1462	hypothetical protein [Geobacillus kaustophilus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus kaustophilus
0	gi|115334611|ref|YP_764457.1|	321	1172487110	WP_080859441	319	93.4	297	611	0	1895648	hypothetical protein [Anoxybacillus sp. UARK-01]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	Anoxybacillus sp. UARK-01
0	gi|115334611|ref|YP_764457.1|	321	765536205	WP_044743219	319	92.45	294	604	0	150247	MULTISPECIES: hypothetical protein [Anoxybacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	
0	gi|115334611|ref|YP_764457.1|	321	1043647243	WP_065410772	311	58.01	181	378	6e-127	1743143	hypothetical protein [Bacillus wudalianchiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus wudalianchiensis
0	gi|115334611|ref|YP_764457.1|	321	1054223368	WP_066192265	311	58.01	181	377	8e-127	1386	MULTISPECIES: hypothetical protein [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|115334611|ref|YP_764457.1|	321	1149154223	WP_077719095	313	59.81	186	376	3e-126	1471761	hypothetical protein [Novibacillus thermophilus]	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Novibacillus	Novibacillus thermophilus
0	gi|115334611|ref|YP_764457.1|	321	1173299143	WP_081157565	311	61.54	192	376	4e-126	1963026	hypothetical protein [Geobacillus sp. 47C-IIb]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus sp. 47C-IIb
0	gi|115334611|ref|YP_764457.1|	321	651948891	WP_026678188	300	61.46	185	375	5e-126	225985	hypothetical protein [Fictibacillus gelatini]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Fictibacillus	Fictibacillus gelatini
0	gi|115334611|ref|YP_764457.1|	321	736637846	WP_034645700	300	60.47	182	374	7e-126	1471	hypothetical protein [Bacillus methanolicus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus methanolicus
0	gi|115334611|ref|YP_764457.1|	321	751647555	WP_041114516	311	57.37	179	374	3e-125	1455	hypothetical protein [Bacillus badius]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus badius
0	gi|115334611|ref|YP_764457.1|	321	1057362517	WP_068722706	311	59.94	187	373	5e-125	1413211	hypothetical protein [Tepidibacillus decaturensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Tepidibacillus	Tepidibacillus decaturensis
0	gi|115334611|ref|YP_764457.1|	321	1198985681	WP_087095263	311	58.65	183	370	5e-124	580165	hypothetical protein [Bacillus cytotoxicus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cytotoxicus
0	gi|115334611|ref|YP_764457.1|	321	1267379168	WP_098209956	311	58.65	183	370	6e-124	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|115334611|ref|YP_764457.1|	321	751632392	WP_041100198	311	57.05	178	370	7e-124	1455	hypothetical protein [Bacillus badius]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus badius
0	gi|115334611|ref|YP_764457.1|	321	517535582	WP_018705790	310	56.27	175	369	1e-123	254759	hypothetical protein [Bacillus fordii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus fordii
0	gi|115334611|ref|YP_764457.1|	321	1293369752	WP_100660702	311	60.9	190	369	1e-123	33940	hypothetical protein [Geobacillus thermodenitrificans]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus thermodenitrificans
0	gi|115334611|ref|YP_764457.1|	321	1198989514	WP_087099036	311	58.33	182	369	1e-123	580165	hypothetical protein [Bacillus cytotoxicus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cytotoxicus
0	gi|115334611|ref|YP_764457.1|	321	1264410038	WP_098015783	311	58.97	184	369	1e-123	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|115334611|ref|YP_764457.1|	321	1207700304	WP_088058626	311	58.01	181	369	1e-123	1405	hypothetical protein [Bacillus mycoides]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mycoides
0	gi|115334611|ref|YP_764457.1|	321	447070916	WP_001148172	311	58.33	182	369	2e-123	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|115334611|ref|YP_764457.1|	321	1209240350	WP_088293641	311	60.26	188	368	3e-123	1405	hypothetical protein [Bacillus mycoides]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mycoides
0	gi|115334611|ref|YP_764457.1|	321	1267298936	WP_098147809	311	57.69	180	368	3e-123	1890302	hypothetical protein [Bacillus wiedmannii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus wiedmannii
