qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|109521841|ref|YP_655278.1|	230	1160829890	WP_079676010	222	47.66	102	194	1e-57	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	1123537527	WP_074248205	222	47.66	102	193	2e-57	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	1285130662	WP_100459432	222	48.6	104	192	3e-57	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	1160762008	WP_079618413	222	48.13	103	192	8e-57	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	1123633108	WP_074321766	222	47.2	101	191	1e-56	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	1285189912	WP_100506988	222	46.73	100	190	3e-56	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	515402267	WP_016891431	222	46.73	100	190	4e-56	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	1123635037	WP_074322325	222	47.66	102	189	7e-56	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	1285218468	WP_100523226	222	46.26	99	189	8e-56	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	491226862	WP_005085146	222	46.26	99	189	8e-56	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	1160829891	WP_079676011	223	45.98	103	188	2e-55	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	1160762010	WP_079618415	224	45.22	104	188	3e-55	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	1123633109	WP_074321767	224	45.81	104	187	3e-55	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	918723261	WP_052586001	222	46.48	99	187	6e-55	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	1123537525	WP_074248203	223	45.54	102	185	4e-54	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	1160758228	WP_079614871	224	44.49	101	184	1e-53	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	1285130663	WP_100459433	224	45.16	98	181	1e-52	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	491226864	WP_005085148	221	45.41	99	181	1e-52	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	1123635036	WP_074322324	223	44.93	102	180	2e-52	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	748286462	WP_039828120	192	50.48	105	179	3e-52	248551	hypothetical protein [Nocardia testacea]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia testacea
0	gi|109521841|ref|YP_655278.1|	230	1285189910	WP_100506986	220	45.07	96	176	1e-50	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|109521841|ref|YP_655278.1|	230	515402265	WP_016891429	220	45.12	97	176	1e-50	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
