qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|29566738|ref|NP_818302.1|	264	1285157428	WP_100483272	134	53.49	69	133	8e-35	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566738|ref|NP_818302.1|	264	1016093854	WP_062937322	124	63.92	62	131	4e-34	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|29566738|ref|NP_818302.1|	264	1160771491	WP_079626767	134	52.71	68	131	5e-34	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566738|ref|NP_818302.1|	264	657262947	WP_029366741	132	60.64	57	123	6e-31	1370121	hypothetical protein [Mycobacterium sp. UM_WWY]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. UM_WWY
0	gi|29566738|ref|NP_818302.1|	264	738472184	WP_036422549	123	57.14	60	121	2e-30	1370121	hypothetical protein [Mycobacterium sp. UM_WWY]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. UM_WWY
0	gi|29566738|ref|NP_818302.1|	264	1123639357	WP_074323446	124	58.95	56	119	1e-29	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566738|ref|NP_818302.1|	264	1160771490	WP_079626766	124	55.14	59	118	3e-29	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566738|ref|NP_818302.1|	264	491229064	WP_005087337	123	57.89	55	117	5e-29	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566738|ref|NP_818302.1|	264	1160760439	WP_079616960	123	56.84	54	115	4e-28	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566738|ref|NP_818302.1|	264	1160771943	WP_079627077	125	58.51	55	114	7e-28	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
