qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|640884453|ref|YP_009031791.1|	134	1053142441	WP_065958080	252	50.81	63	124	1e-31	930	DUF2493 domain-containing protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|640884453|ref|YP_009031791.1|	134	1172324478	WP_080707757	252	50.81	63	123	2e-31	930	DUF2493 domain-containing protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|640884453|ref|YP_009031791.1|	134	1046260753	WP_065627155	128	46.72	57	118	1e-30	456327	hypothetical protein [Xanthomonas euvesicatoria]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas euvesicatoria
0	gi|640884453|ref|YP_009031791.1|	134	1048173574	WP_065784083	116	53.1	60	115	1e-29	106591	MULTISPECIES: hypothetical protein [Ensifer]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	
0	gi|640884453|ref|YP_009031791.1|	134	926272126	WP_053610120	121	53.98	61	112	9e-29	68259	hypothetical protein [Streptomyces purpurogeneiscleroticus]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces purpurogeneiscleroticus
0	gi|640884453|ref|YP_009031791.1|	134	1057323497	WP_068684676	136	49.14	57	113	1e-28	34072	MULTISPECIES: hypothetical protein [Variovorax]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	
0	gi|640884453|ref|YP_009031791.1|	134	736175777	WP_034294109	124	49.15	58	111	3e-28	153491	hypothetical protein [Alysiella crassa]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Alysiella	Alysiella crassa
0	gi|640884453|ref|YP_009031791.1|	134	916355700	WP_051080013	349	51.26	61	116	4e-28	243063	DUF4326 domain-containing protein [Thioalkalivibrio thiocyanodenitrificans]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio thiocyanodenitrificans
0	gi|640884453|ref|YP_009031791.1|	134	1223406338	WP_091444356	126	48.31	57	110	1e-27	177413	hypothetical protein [Ancylobacter rudongensis]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Ancylobacter	Ancylobacter rudongensis
0	gi|640884453|ref|YP_009031791.1|	134	1133526344	WP_076004864	134	43.7	52	110	1e-27	1839801	hypothetical protein [Dehalogenimonas formicexedens]	Bacteria	Chloroflexi	Dehalococcoidia			Dehalogenimonas	Dehalogenimonas formicexedens
0	gi|640884453|ref|YP_009031791.1|	134	835693080	WP_047619450	120	49.56	56	109	2e-27	398	hypothetical protein [Rhizobium tropici]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium tropici
0	gi|640884453|ref|YP_009031791.1|	134	1175146176	WP_081694099	330	48.72	57	114	2e-27	1266909	DUF4326 domain-containing protein [Thioalkalivibrio sp. ALE19]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio sp. ALE19
