qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|9630711|ref|NP_047257.1|	276	501490006	WP_012498463	276	100	276	541	0	2111	DNA replication protein [Mycoplasma arthritidis]	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma arthritidis
0	gi|9630711|ref|NP_047257.1|	276	1177552024	WP_082698274	314	51.48	139	238	6e-73	2094	hypothetical protein [Mycoplasma arginini]	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma arginini
0	gi|9630711|ref|NP_047257.1|	276	916979485	WP_051586197	289	48.71	132	228	1e-69	114884	hypothetical protein [Mycoplasma lipofaciens]	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma lipofaciens
0	gi|9630711|ref|NP_047257.1|	276	916992745	WP_051599457	276	49.44	132	224	4e-68	29559	hypothetical protein [Mycoplasma hyosynoviae]	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma hyosynoviae
0	gi|9630711|ref|NP_047257.1|	276	652844461	WP_027122799	291	45.93	124	223	3e-67	92406	hypothetical protein [Mycoplasma spumans]	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma spumans
0	gi|9630711|ref|NP_047257.1|	276	503292269	WP_013526930	284	38.8	97	148	1e-38	2115	repb [Mycoplasma fermentans]	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma fermentans
0	gi|9630711|ref|NP_047257.1|	276	896404926	WP_049342361	300	37.09	102	148	1e-38	2098	hypothetical protein [Mycoplasma hominis]	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma hominis
0	gi|9630711|ref|NP_047257.1|	276	917432332	WP_052039044	300	37.09	102	147	2e-38	2098	hypothetical protein [Mycoplasma hominis]	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma hominis
0	gi|9630711|ref|NP_047257.1|	276	518846693	WP_020002583	300	37.09	102	147	2e-38	2098	hypothetical protein [Mycoplasma hominis]	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma hominis
0	gi|9630711|ref|NP_047257.1|	276	916992754	WP_051599466	303	37.28	107	147	3e-38	29559	hypothetical protein [Mycoplasma hyosynoviae]	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma hyosynoviae
0	gi|9630711|ref|NP_047257.1|	276	916992733	WP_051599445	305	37.45	97	143	9e-37	29559	hypothetical protein [Mycoplasma hyosynoviae]	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma hyosynoviae
0	gi|9630711|ref|NP_047257.1|	276	652846383	WP_027123902	461	35.98	95	145	2e-36	2122	replicative DNA helicase [Mycoplasma pirum]	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma pirum
0	gi|9630711|ref|NP_047257.1|	276	697347424	WP_033178937	270	39.58	95	140	6e-36	92400	hypothetical protein [Mycoplasma anseris]	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma anseris
0	gi|9630711|ref|NP_047257.1|	276	697091697	WP_033160094	456	36.26	99	142	2e-35	78580	replicative DNA helicase [Mycoplasma alvi]	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma alvi
0	gi|9630711|ref|NP_047257.1|	276	491491608	WP_005349341	449	35.13	98	140	1e-34	39488	replicative DNA helicase [[Eubacterium] hallii]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	[Eubacterium] hallii
0	gi|9630711|ref|NP_047257.1|	276	546987390	WP_021908352	449	35.13	98	140	2e-34	39488	replicative DNA helicase [[Eubacterium] hallii]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	[Eubacterium] hallii
0	gi|9630711|ref|NP_047257.1|	276	1199578091	WP_087313148	449	35.84	100	139	2e-34	1965542	replicative DNA helicase [Eubacterium sp. An11]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. An11
0	gi|9630711|ref|NP_047257.1|	276	1199541156	WP_087277624	449	35.84	100	139	2e-34	1965628	replicative DNA helicase [Eubacterium sp. An3]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. An3
