qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|509141261|ref|YP_008060133.1|	185	491294368	WP_005152383	183	53.72	101	184	3e-55	1217707	hypothetical protein [Acinetobacter sp. ANC 3929]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. ANC 3929
0	gi|509141261|ref|YP_008060133.1|	185	491435594	WP_005293387	183	52.66	99	180	2e-53	1217708	hypothetical protein [Acinetobacter sp. NIPH 2100]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. NIPH 2100
0	gi|509141261|ref|YP_008060133.1|	185	497197379	WP_009511641	182	51.35	95	179	5e-53	903918	hypothetical protein [Acinetobacter sp. WC-323]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. WC-323
0	gi|509141261|ref|YP_008060133.1|	185	514348274	WP_016540415	183	52.72	97	179	5e-53	134534	hypothetical protein [Acinetobacter gyllenbergii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter gyllenbergii
0	gi|509141261|ref|YP_008060133.1|	185	1043080938	WP_065342762	183	52.72	97	179	5e-53	134534	hypothetical protein [Acinetobacter gyllenbergii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter gyllenbergii
0	gi|509141261|ref|YP_008060133.1|	185	1015864696	WP_062846950	176	50.27	94	177	1e-52	1785092	hypothetical protein [Acinetobacter sp. NRRL B-65365]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. NRRL B-65365
0	gi|509141261|ref|YP_008060133.1|	185	491427480	WP_005285275	182	51.35	95	177	1e-52	1217698	hypothetical protein [Acinetobacter sp. NIPH 3623]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. NIPH 3623
0	gi|509141261|ref|YP_008060133.1|	185	696293312	WP_032868945	182	50.81	94	177	1e-52	470	chitinase [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|509141261|ref|YP_008060133.1|	185	491345229	WP_005203166	183	52.66	99	177	3e-52	469	MULTISPECIES: hypothetical protein [Acinetobacter]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
0	gi|509141261|ref|YP_008060133.1|	185	491331320	WP_005189281	183	52.66	99	177	4e-52	1217703	hypothetical protein [Acinetobacter sp. ANC 4105]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. ANC 4105
0	gi|509141261|ref|YP_008060133.1|	185	696638337	WP_033133303	183	52.66	99	176	4e-52	1513354	chitinase [Acinetobacter sp. MN12]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. MN12
0	gi|509141261|ref|YP_008060133.1|	185	490945873	WP_004807704	183	52.66	99	176	6e-52	1144672	hypothetical protein [Acinetobacter sp. CIP 56.2]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. CIP 56.2
0	gi|509141261|ref|YP_008060133.1|	185	491458309	WP_005316087	183	52.13	98	176	6e-52	1217701	hypothetical protein [Acinetobacter sp. ANC 3880]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. ANC 3880
0	gi|509141261|ref|YP_008060133.1|	185	696296643	WP_032872209	182	50.81	94	176	7e-52	470	chitinase [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|509141261|ref|YP_008060133.1|	185	763093106	WP_043973761	183	51.63	95	176	1e-51	469	MULTISPECIES: chitinase [Acinetobacter]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
0	gi|509141261|ref|YP_008060133.1|	185	491372059	WP_005229955	182	50.81	94	175	1e-51	1217697	hypothetical protein [Acinetobacter sp. NIPH 1847]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. NIPH 1847
0	gi|509141261|ref|YP_008060133.1|	185	491383206	WP_005241087	183	51.63	95	175	1e-51	1217694	hypothetical protein [Acinetobacter sp. CIP 64.2]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. CIP 64.2
0	gi|509141261|ref|YP_008060133.1|	185	491413222	WP_005271025	183	51.09	94	175	1e-51	1217695	hypothetical protein [Acinetobacter sp. NIPH 1859]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. NIPH 1859
0	gi|509141261|ref|YP_008060133.1|	185	740515144	WP_038344345	181	51.09	94	174	4e-51	1561217	chitinase [Acinetobacter sp. A47]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. A47
0	gi|509141261|ref|YP_008060133.1|	185	507092745	WP_016163445	182	52.94	99	174	4e-51	1217699	hypothetical protein [Acinetobacter sp. CIP 110321]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. CIP 110321
