qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|331027907|ref|YP_004421457.1|	377	1149993771	WP_077920440	430	37.6	141	252	1e-75	1955701	hypothetical protein [Spirosoma sp. 209]	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma	Spirosoma sp. 209
0	gi|331027907|ref|YP_004421457.1|	377	1242677029	WP_095801776	416	37.74	137	210	9e-60	422271	hypothetical protein [Mesorhizobium sp. WSM3866]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. WSM3866
0	gi|331027907|ref|YP_004421457.1|	377	563481635	WP_023705264	412	36.11	130	189	9e-52	1287313	hypothetical protein [Mesorhizobium sp. LSJC255A00]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. LSJC255A00
0	gi|331027907|ref|YP_004421457.1|	377	1221632276	WP_089761316	478	33.61	82	155	5e-39	321763	hypothetical protein [Halarsenatibacter silvermanii]	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	Halarsenatibacter	Halarsenatibacter silvermanii
0	gi|331027907|ref|YP_004421457.1|	377	654423221	WP_027894471	485	32.52	93	154	3e-38	52023	hypothetical protein [Meiothermus chliarophilus]	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Meiothermus	Meiothermus chliarophilus
0	gi|331027907|ref|YP_004421457.1|	377	1160375405	WP_079420254	427	30.1	90	140	9e-34	1469647	hypothetical protein [Paenibacillus ferrarius]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus ferrarius
0	gi|331027907|ref|YP_004421457.1|	377	1160786757	WP_079638663	387	32.15	100	138	3e-33	1507287	LysR family transcriptional regulator [Sphingopyxis flava]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis flava
0	gi|331027907|ref|YP_004421457.1|	377	517126177	WP_018314995	389	30.65	95	134	7e-32	1080187	LysR family transcriptional regulator [Cupriavidus sp. UYPR2.512]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus sp. UYPR2.512
0	gi|331027907|ref|YP_004421457.1|	377	1207072307	WP_087916740	439	30.36	75	132	7e-31	414771	hypothetical protein [Paenibacillus donghaensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus donghaensis
0	gi|331027907|ref|YP_004421457.1|	377	1150791891	WP_077985957	373	30.03	91	130	2e-30	648995	hypothetical protein [Rhizobium pusense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium pusense
0	gi|331027907|ref|YP_004421457.1|	377	1208938643	WP_088202160	403	31.95	77	128	1e-29	382	PucR family transcriptional regulator [Sinorhizobium meliloti]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti
0	gi|331027907|ref|YP_004421457.1|	377	1208938500	WP_088202017	403	31.95	77	128	1e-29	382	PucR family transcriptional regulator [Sinorhizobium meliloti]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti
0	gi|331027907|ref|YP_004421457.1|	377	1239368749	WP_095434649	344	37.34	87	127	2e-29	2028343	hypothetical protein [Rhizobium sp. 10195]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. 10195
0	gi|331027907|ref|YP_004421457.1|	377	1275666044	WP_099749478	492	32.27	81	128	3e-29	1704277	phosphohydrolase [Deinococcus sp. UR1]	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus sp. UR1
0	gi|331027907|ref|YP_004421457.1|	377	657721396	WP_029518057	428	31.1	93	127	3e-29	1406	hypothetical protein [Paenibacillus polymyxa]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus polymyxa
0	gi|331027907|ref|YP_004421457.1|	377	1150861798	WP_078054303	364	29.37	89	124	2e-28	1923829	hypothetical protein [Agrobacterium sp. YIC 4121]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium sp. YIC 4121
0	gi|331027907|ref|YP_004421457.1|	377	1180009777	WP_083532131	366	29.37	89	124	3e-28	648995	hypothetical protein [Rhizobium pusense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium pusense
0	gi|331027907|ref|YP_004421457.1|	377	545305680	WP_021584954	319	31.86	94	121	9e-28	1390361	hypothetical protein [Ochrobactrum sp. EGD-AQ16]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	Ochrobactrum sp. EGD-AQ16
0	gi|331027907|ref|YP_004421457.1|	377	1258183412	WP_097523832	372	28.57	88	122	1e-27	2035455	hypothetical protein [Sinorhizobium sp. BJ1]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium sp. BJ1
0	gi|331027907|ref|YP_004421457.1|	377	1124484754	WP_074769985	382	29.87	92	121	2e-27	134537	LysR family transcriptional regulator [Paraburkholderia fungorum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia fungorum
0	gi|331027907|ref|YP_004421457.1|	377	918451924	WP_052503005	374	27.4	80	120	3e-27	529	hypothetical protein [Ochrobactrum anthropi]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	Ochrobactrum anthropi
0	gi|331027907|ref|YP_004421457.1|	377	1293260279	WP_100648446	402	31.76	94	120	6e-27	528	MULTISPECIES: hypothetical protein [Ochrobactrum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	
0	gi|331027907|ref|YP_004421457.1|	377	501124196	WP_012173312	467	30.38	79	120	1e-26	68909	hypothetical protein [Deinococcus geothermalis]	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus geothermalis
0	gi|331027907|ref|YP_004421457.1|	377	779995231	WP_045429816	379	29.61	90	119	1e-26	150396	hypothetical protein [Pseudomonas sp. MT-1]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. MT-1
0	gi|331027907|ref|YP_004421457.1|	377	918445547	WP_052496723	365	30.95	78	119	1e-26	358	hypothetical protein [Agrobacterium tumefaciens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens
0	gi|331027907|ref|YP_004421457.1|	377	916369036	WP_051091623	416	29.93	91	119	1e-26	401562	PucR family transcriptional regulator [Aureimonas ureilytica]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aureimonas	Aureimonas ureilytica
0	gi|331027907|ref|YP_004421457.1|	377	1176799453	WP_082572732	365	29.04	88	118	2e-26	1736577	hypothetical protein [Rhizobium sp. Root651]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. Root651
0	gi|331027907|ref|YP_004421457.1|	377	981999579	WP_060176645	387	29.26	91	119	2e-26	1503055	hypothetical protein [Burkholderia territorii]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia territorii
0	gi|331027907|ref|YP_004421457.1|	377	1180180307	WP_083699659	373	27.05	79	118	2e-26	1844051	hypothetical protein [Brucella sp. 09RB8910]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella sp. 09RB8910
0	gi|331027907|ref|YP_004421457.1|	377	916758463	WP_051365519	365	28.84	92	118	2e-26	358	hypothetical protein [Agrobacterium tumefaciens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens
0	gi|331027907|ref|YP_004421457.1|	377	1056974637	WP_068386885	406	30.28	86	117	5e-26	1841653	hypothetical protein [Rhizobium sp. AC27/96]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. AC27/96
0	gi|331027907|ref|YP_004421457.1|	377	985611972	WP_060851467	374	31.16	86	117	5e-26	270351	hypothetical protein [Methylobacterium aquaticum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium aquaticum
0	gi|331027907|ref|YP_004421457.1|	377	1172495224	WP_080866598	366	30.56	77	117	6e-26	358	hypothetical protein [Agrobacterium tumefaciens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens
0	gi|331027907|ref|YP_004421457.1|	377	1129420394	WP_075381953	362	31.47	79	117	7e-26	418223	hypothetical protein [Methylobacterium phyllosphaerae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium phyllosphaerae
0	gi|331027907|ref|YP_004421457.1|	377	516091383	WP_017521963	377	28.61	101	116	8e-26	46680	hypothetical protein [Pseudomonas nitroreducens]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas nitroreducens
0	gi|331027907|ref|YP_004421457.1|	377	1214884647	WP_088895689	404	31.99	87	116	1e-25	382	PucR family transcriptional regulator [Sinorhizobium meliloti]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti
0	gi|331027907|ref|YP_004421457.1|	377	951181546	WP_057659297	326	27.48	86	115	1e-25	344882	hypothetical protein [Pseudoxanthomonas dokdonensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Pseudoxanthomonas dokdonensis
0	gi|331027907|ref|YP_004421457.1|	377	1223923276	WP_091955129	455	31.47	79	116	2e-25	418223	hypothetical protein [Methylobacterium phyllosphaerae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium phyllosphaerae
0	gi|331027907|ref|YP_004421457.1|	377	736858919	WP_034858757	406	31.25	85	114	6e-25	716925	hypothetical protein [Ensifer sojae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer sojae
0	gi|331027907|ref|YP_004421457.1|	377	1207086737	WP_087930983	377	28.02	102	113	1e-24	287	oxidoreductase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|331027907|ref|YP_004421457.1|	377	730728593	WP_034084209	378	27.75	101	113	1e-24	287	oxidoreductase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|331027907|ref|YP_004421457.1|	377	959946726	WP_058199629	381	27.75	101	113	2e-24	287	oxidoreductase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|331027907|ref|YP_004421457.1|	377	553779037	WP_023110758	378	27.75	101	112	2e-24	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|331027907|ref|YP_004421457.1|	377	959845327	WP_058132124	377	28.02	102	112	2e-24	287	oxidoreductase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|331027907|ref|YP_004421457.1|	377	730640603	WP_034061093	377	27.75	101	112	2e-24	287	oxidoreductase [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
