qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|157738588|ref|YP_001491526.1|	100	1071362999	WP_069796211	152	38.1	32	65.5	5e-11	1288	hypothetical protein [Staphylococcus xylosus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus
0	gi|157738589|ref|YP_001491527.1|	78	686296462	WP_031863601	63	77.78	49	102	2e-26	1280	hypothetical protein, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|157738590|ref|YP_001491528.1|	122	686296463	WP_031863602	122	90.98	111	200	3e-63	1280	hypothetical protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|157738590|ref|YP_001491528.1|	122	1071363001	WP_069796213	133	46.85	52	101	3e-24	1288	hypothetical protein, partial [Staphylococcus xylosus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus
0	gi|157738592|ref|YP_001491530.1|	137	686296464	WP_031863603	140	68.53	98	160	4e-47	1280	hypothetical protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|157738594|ref|YP_001491532.1|	152	1151973312	WP_078099151	152	96.05	146	299	4e-101	1280	hypothetical protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|157738595|ref|YP_001491533.1|	378	1151973311	WP_078099150	415	91.01	344	693	0	1280	encapsidation protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|157738596|ref|YP_001491534.1|	761	913459679	WP_050439087	541	95.56	517	1065	0	1280	DNA polymerase, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|157738597|ref|YP_001491535.1|	478	686296473	WP_031863610	477	96.65	462	940	0	1280	CHAP domain-containing protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|157738597|ref|YP_001491535.1|	478	1173646587	WP_081330592	379	59.9	121	239	5e-70	246432	hypothetical protein [Staphylococcus equorum]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus equorum
0	gi|157738597|ref|YP_001491535.1|	478	1071428936	WP_069854275	483	60	105	230	2e-65	246432	hypothetical protein [Staphylococcus equorum]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus equorum
0	gi|157738597|ref|YP_001491535.1|	478	1221266754	WP_089558020	253	55.78	111	219	8e-64	1280	CHAP domain-containing protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|157738597|ref|YP_001491535.1|	478	918096367	WP_052329330	496	60.69	105	222	2e-62	1280	CHAP domain-containing protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|157738597|ref|YP_001491535.1|	478	1173682560	WP_081364634	246	54.95	111	214	4e-62	985002	CHAP domain-containing protein [Staphylococcus argenteus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus argenteus
0	gi|157738597|ref|YP_001491535.1|	478	1152254497	WP_078156576	436	54.73	110	216	1e-60	1280	CHAP domain-containing protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
