qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|148734478|ref|YP_001285495.1|	188	1122786932	WP_074146712	155	61.49	99	170	8e-50	1496	hypothetical protein, partial [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|148734479|ref|YP_001285496.1|	104	1122786939	WP_074146716	72	94.44	68	140	1e-40	1496	hypothetical protein, partial [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|148734481|ref|YP_001285498.1|	187	829934304	WP_047366673	173	44.97	76	133	2e-35	1659713	hypothetical protein [Enterobacter cloacae complex sp. GN02548]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae complex sp. GN02548
0	gi|148734481|ref|YP_001285498.1|	187	1100920404	WP_071444882	146	37.24	54	102	1e-23	546	hypothetical protein [Citrobacter freundii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii
0	gi|148734481|ref|YP_001285498.1|	187	1022683981	WP_063439210	146	37.59	53	100	4e-23	61645	hypothetical protein [Enterobacter asburiae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae
0	gi|148734481|ref|YP_001285498.1|	187	557818509	WP_023447862	146	36.73	54	87.8	3e-18	1282361	hypothetical protein [Asticcacaulis sp. AC402]	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Asticcacaulis sp. AC402
0	gi|148734481|ref|YP_001285498.1|	187	671569118	WP_031549239	141	37.76	54	84.3	5e-17	1247963	hypothetical protein [Parvularcula oceani]	Bacteria	Proteobacteria	Alphaproteobacteria	Parvularculales	Parvularculaceae	Parvularcula	Parvularcula oceani
0	gi|148734481|ref|YP_001285498.1|	187	920787468	WP_053061758	146	45	45	84.3	6e-17	320778	hypothetical protein [Photobacterium ganghwense]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium ganghwense
0	gi|148734481|ref|YP_001285498.1|	187	1124547151	WP_074830508	144	32.39	46	83.2	1e-16	722472	hypothetical protein [Bradyrhizobium lablabi]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium lablabi
0	gi|148734481|ref|YP_001285498.1|	187	1221407994	WP_089589716	168	38.75	62	83.2	2e-16	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	746394418	WP_039437062	145	33.09	46	82.4	3e-16	29495	hypothetical protein [Vibrio navarrensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio navarrensis
0	gi|148734481|ref|YP_001285498.1|	187	917379459	WP_051986171	153	38.36	56	82.4	3e-16	435908	hypothetical protein [Idiomarina salinarum]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	Idiomarina salinarum
0	gi|148734481|ref|YP_001285498.1|	187	1245791016	WP_096099270	168	38.12	61	82.4	4e-16	624	3'-phosphatase [Shigella sonnei]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella sonnei
0	gi|148734481|ref|YP_001285498.1|	187	585338928	WP_024220560	168	37.5	60	82.4	5e-16	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	1056894753	WP_068309259	142	39.16	56	81.6	5e-16	637679	hypothetical protein [Kordiimonas lacus]	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	Kordiimonas	Kordiimonas lacus
0	gi|148734481|ref|YP_001285498.1|	187	585363999	WP_024245587	168	37.5	60	82.4	5e-16	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	445943915	WP_000021770	168	37.5	60	82	5e-16	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	556506413	WP_023351462	168	37.5	60	82	5e-16	543	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|148734481|ref|YP_001285498.1|	187	1246115626	WP_096309051	168	38.12	61	82	6e-16	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	1172476290	WP_080849536	168	37.5	60	81.6	7e-16	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	928845470	WP_053896066	168	37.5	60	81.6	7e-16	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	445943898	WP_000021753	168	38.12	61	81.6	8e-16	543	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|148734481|ref|YP_001285498.1|	187	1209197250	WP_088255576	308	36.36	56	83.2	8e-16	1908690	hypothetical protein [Fimbriiglobus ruber]	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Gemmataceae	Fimbriiglobus	Fimbriiglobus ruber
0	gi|148734481|ref|YP_001285498.1|	187	1209196889	WP_088255215	308	36.36	56	83.2	8e-16	1908690	hypothetical protein [Fimbriiglobus ruber]	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Gemmataceae	Fimbriiglobus	Fimbriiglobus ruber
0	gi|148734481|ref|YP_001285498.1|	187	1255351813	WP_097425050	168	38.12	61	81.6	8e-16	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	693029254	WP_032205122	171	38.12	61	81.6	9e-16	562	3'-phosphatase 5'-polynucleotide kinase phage-associated protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	1246117802	WP_096310742	168	38.12	61	81.3	1e-15	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	554003418	WP_023157130	168	38.46	60	81.3	1e-15	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	1036100295	WP_064669533	168	37.5	60	81.3	1e-15	543	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|148734481|ref|YP_001285498.1|	187	852041913	WP_048266575	167	37.5	60	81.3	1e-15	562	3'-phosphatase, 5'-polynucleotide kinase,phage-associated protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	1277352519	WP_100031232	168	38.12	61	81.3	1e-15	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	974664712	WP_059249236	168	36.88	59	81.3	1e-15	208962	hypothetical protein [Escherichia albertii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia albertii
0	gi|148734481|ref|YP_001285498.1|	187	1129002750	WP_075326440	168	37.5	60	81.3	1e-15	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	445943897	WP_000021752	168	38.12	61	81.3	1e-15	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	919566726	WP_052870172	168	37.5	60	80.9	1e-15	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	1277293116	WP_100005498	167	38.12	61	80.9	1e-15	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	556506480	WP_023351523	168	37.5	60	80.9	1e-15	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	820817731	WP_046770376	159	35	49	80.9	1e-15	419479	nucleotidase [Jiangella alkaliphila]	Bacteria	Actinobacteria	Actinobacteria	Jiangellales	Jiangellaceae	Jiangella	Jiangella alkaliphila
0	gi|148734481|ref|YP_001285498.1|	187	1231361277	WP_094307768	168	37.5	60	80.9	1e-15	621	3'-phosphatase [Shigella boydii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella boydii
0	gi|148734481|ref|YP_001285498.1|	187	972401291	WP_059039674	168	37.5	60	80.9	1e-15	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	1246138401	WP_096322541	161	37.82	59	80.9	1e-15	562	3'-phosphatase, partial [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	1167930823	WP_080201619	168	37.5	60	80.9	1e-15	28901	3'-phosphatase [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|148734481|ref|YP_001285498.1|	187	1253925246	WP_096967029	168	37.5	60	80.9	2e-15	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	506506813	WP_015974272	168	38.12	61	80.9	2e-15	562	Pap [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	1253907068	WP_096959980	168	37.5	60	80.9	2e-15	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	1143078303	WP_077070051	168	37.5	60	80.9	2e-15	543	MULTISPECIES: 3'-phosphatase [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|148734481|ref|YP_001285498.1|	187	935644565	WP_054486470	168	38.12	61	80.9	2e-15	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	1063302167	WP_069383077	168	37.11	59	80.5	2e-15	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	1246066216	WP_096267460	168	37.5	60	80.5	2e-15	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	1221153974	WP_089540077	168	37.5	60	80.5	2e-15	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	970287726	WP_058664399	168	38.46	60	80.5	2e-15	543	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|148734481|ref|YP_001285498.1|	187	643436665	WP_025210458	168	37.5	60	80.5	2e-15	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	487493530	WP_001702247	168	37.5	60	80.5	2e-15	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	1245972646	WP_096200087	168	37.5	60	80.5	2e-15	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	445943913	WP_000021768	168	37.5	60	80.5	2e-15	543	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|148734481|ref|YP_001285498.1|	187	970561945	WP_058820839	168	37.5	60	80.5	2e-15	543	MULTISPECIES: 3'-phosphatase [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|148734481|ref|YP_001285498.1|	187	1279524815	WP_100110381	165	34.48	50	80.5	2e-15	1950	hypothetical protein [Streptomyces peucetius]	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces peucetius
0	gi|148734481|ref|YP_001285498.1|	187	928834946	WP_053890983	168	37.5	60	80.5	2e-15	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	487690256	WP_001774488	168	37.5	60	80.5	2e-15	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|148734481|ref|YP_001285498.1|	187	974635340	WP_059222011	168	37.5	60	80.5	2e-15	208962	hypothetical protein [Escherichia albertii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia albertii
0	gi|148734481|ref|YP_001285498.1|	187	1189274136	WP_085695748	168	37.5	60	80.5	2e-15	562	3'-phosphatase [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
