qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|56692569|ref|YP_164037.1|	120	506507953	WP_015975359	120	100	120	242	7e-80	286	MULTISPECIES: transcriptional regulator [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|56692569|ref|YP_164037.1|	120	553756600	WP_023089282	120	99.17	119	241	3e-79	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692569|ref|YP_164037.1|	120	1183698992	WP_084929401	127	94.49	120	235	5e-77	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692569|ref|YP_164037.1|	120	730653993	WP_034064731	119	85.83	103	210	5e-67	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692569|ref|YP_164037.1|	120	489184750	WP_003094179	119	85	102	209	7e-67	286	MULTISPECIES: hypothetical protein [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|56692569|ref|YP_164037.1|	120	1196681305	WP_086250867	119	84.87	101	207	3e-66	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692569|ref|YP_164037.1|	120	727811061	WP_033894987	120	76.67	92	194	5e-61	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692569|ref|YP_164037.1|	120	759529036	WP_043249116	122	65.29	79	167	3e-50	65741	hypothetical protein [Pseudomonas knackmussii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas knackmussii
0	gi|56692569|ref|YP_164037.1|	120	1208261525	WP_088132746	150	72.38	76	162	9e-48	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692569|ref|YP_164037.1|	120	1159855258	WP_079387211	156	72.38	76	162	1e-47	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692569|ref|YP_164037.1|	120	1180035490	WP_083557075	150	72.38	76	161	1e-47	287	hypothetical protein [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692569|ref|YP_164037.1|	120	959914777	WP_058177627	92	80.65	75	158	4e-47	287	hypothetical protein, partial [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692569|ref|YP_164037.1|	120	835620813	WP_047587986	121	64.46	78	155	1e-45	300	hypothetical protein [Pseudomonas mendocina]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mendocina
0	gi|56692569|ref|YP_164037.1|	120	959840659	WP_058128959	89	80	72	152	8e-45	287	hypothetical protein, partial [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692569|ref|YP_164037.1|	120	1124631937	WP_074912857	122	61.54	64	147	2e-42	554344	hypothetical protein [Pseudomonas toyotomiensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas toyotomiensis
0	gi|56692569|ref|YP_164037.1|	120	1071436365	WP_069861385	122	59.43	63	138	7e-39	1826671	hypothetical protein [Pseudomonas sp. CCA 1]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. CCA 1
0	gi|56692570|ref|YP_164038.1|	187	489184752	WP_003094181	187	100	187	374	1e-129	287	regulatory protein GemA [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692570|ref|YP_164038.1|	187	685889320	WP_031630708	187	99.47	186	373	2e-129	287	regulatory protein GemA [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692570|ref|YP_164038.1|	187	553786636	WP_023118005	187	99.47	186	372	5e-129	287	regulatory protein GemA [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692570|ref|YP_164038.1|	187	927321527	WP_053814049	187	99.47	186	372	9e-129	287	regulatory protein GemA [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692570|ref|YP_164038.1|	187	759859637	WP_043550428	187	99.47	186	372	9e-129	287	regulatory protein GemA [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692570|ref|YP_164038.1|	187	562750176	WP_023657063	187	99.47	186	371	2e-128	287	regulatory protein GemA [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692570|ref|YP_164038.1|	187	1121420382	WP_073674804	187	99.47	186	371	2e-128	287	regulatory protein GemA [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692570|ref|YP_164038.1|	187	685901636	WP_031642110	187	98.93	185	370	4e-128	287	regulatory protein GemA [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692570|ref|YP_164038.1|	187	685897655	WP_031638311	187	98.93	185	370	5e-128	287	regulatory protein GemA [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692570|ref|YP_164038.1|	187	959910213	WP_058173811	187	98.93	185	370	6e-128	287	regulatory protein GemA [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692570|ref|YP_164038.1|	187	727761360	WP_033866782	187	98.93	185	369	1e-127	287	regulatory protein GemA [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692570|ref|YP_164038.1|	187	1102031275	WP_071576306	187	98.4	184	369	1e-127	287	regulatory protein GemA [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692570|ref|YP_164038.1|	187	763405158	WP_044261913	187	98.4	184	367	5e-127	287	regulatory protein GemA [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692570|ref|YP_164038.1|	187	553756601	WP_023089283	187	98.4	184	367	6e-127	286	MULTISPECIES: regulatory protein GemA [Pseudomonas]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
0	gi|56692570|ref|YP_164038.1|	187	730499287	WP_034030185	188	97.86	183	367	7e-127	287	regulatory protein GemA [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692570|ref|YP_164038.1|	187	544781576	WP_021204962	187	97.86	183	366	1e-126	287	regulatory protein GemA [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692570|ref|YP_164038.1|	187	1208261526	WP_088132747	188	97.86	183	366	2e-126	287	regulatory protein GemA [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692570|ref|YP_164038.1|	187	553801720	WP_023132015	187	97.86	183	366	2e-126	287	regulatory protein GemA [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
0	gi|56692570|ref|YP_164038.1|	187	562750729	WP_023657608	187	97.33	182	365	4e-126	287	regulatory protein GemA [Pseudomonas aeruginosa]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
