qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|712912162|ref|YP_009097880.1|	141	1199578541	WP_087313598	250	65.93	60	132	5e-35	1965542	DNA methylase [Eubacterium sp. An11]	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. An11
0	gi|712912162|ref|YP_009097880.1|	141	1094032376	WP_071028249	199	66.28	57	126	4e-33	1776387	hypothetical protein [Peptoniphilus sp. KHD4]	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus sp. KHD4
0	gi|712912162|ref|YP_009097880.1|	141	1189808959	WP_085840485	177	61.36	54	125	8e-33	1852391	chromosome partitioning protein ParB [Clostridiales bacterium Marseille-P2986]	Bacteria	Firmicutes	Clostridia	Clostridiales			Clostridiales bacterium Marseille-P2986
0	gi|712912162|ref|YP_009097880.1|	141	738841842	WP_036731435	419	72.09	62	128	3e-32	1465756	lactate dehydrogenase [Peptoniphilus grossensis]	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus grossensis
0	gi|712912162|ref|YP_009097880.1|	141	1105269843	WP_071838028	176	50.41	61	123	3e-32	187328	hypothetical protein [Veillonella montpellierensis]	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella montpellierensis
0	gi|712912162|ref|YP_009097880.1|	141	917470376	WP_052076793	176	49.59	60	123	4e-32	187328	hypothetical protein [Veillonella montpellierensis]	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella montpellierensis
0	gi|712912162|ref|YP_009097880.1|	141	1032579312	WP_064212048	403	67.44	58	127	9e-32	2148	lactate dehydrogenase [Acholeplasma laidlawii]	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma laidlawii
0	gi|712912162|ref|YP_009097880.1|	141	1233244919	WP_094586432	403	67.44	58	127	9e-32	2148	DNA modification methylase [Acholeplasma laidlawii]	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma laidlawii
0	gi|712912162|ref|YP_009097880.1|	141	495813435	WP_008538014	481	64.71	55	127	1e-31	437897	chromosome partitioning protein ParB [Megamonas funiformis]	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	Megamonas funiformis
0	gi|712912162|ref|YP_009097880.1|	141	1229214896	WP_094205133	398	69.05	58	124	1e-30	1260	DNA modification methylase [Finegoldia magna]	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
