qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|691326852|ref|YP_009067079.1|	886	971837652	WP_058907201	886	100	886	1808	0	305	type VI secretion system tip protein VgrG [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|691326852|ref|YP_009067079.1|	886	1102971482	WP_071615546	886	98.65	874	1781	0	305	type VI secretion system tip protein VgrG [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|691326852|ref|YP_009067079.1|	886	762205836	WP_043876622	886	98.31	871	1777	0	305	type VI secretion system tip protein VgrG [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|691326852|ref|YP_009067079.1|	886	742507035	WP_038961963	880	97.98	873	1766	0	305	type VI secretion system tip protein VgrG [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|691326852|ref|YP_009067079.1|	886	1217745291	WP_089190748	884	96.15	848	1729	0	305	type VI secretion system tip protein VgrG [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|691326852|ref|YP_009067079.1|	886	502973458	WP_013208434	886	84.54	749	1540	0	305;859656	type VI secretion system tip protein VgrG [Ralstonia solanacearum]	NA	NA	NA	NA	NA	NA	NA
0	gi|691326852|ref|YP_009067079.1|	886	1217745504	WP_089190961	886	84.2	746	1535	0	305	type VI secretion system tip protein VgrG [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|691326852|ref|YP_009067079.1|	886	746523603	WP_039558842	886	83.75	742	1526	0	305	type VI secretion system tip protein VgrG [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|691326852|ref|YP_009067079.1|	886	1199723477	WP_087452940	885	84.42	748	1525	0	305	type VI secretion system tip protein VgrG [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|691326852|ref|YP_009067079.1|	886	746513492	WP_039550100	886	83.86	743	1524	0	305	type VI secretion system tip protein VgrG [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
