qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|9626512|ref|NP_040809.1|	591	918737799	WP_052591216	718	24.18	74	81.3	1e-12	61635	hypothetical protein [Acholeplasma brassicae]	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma brassicae
0	gi|9626514|ref|NP_040811.1|	312	662022761	WP_030004606	316	30.48	96	131	7e-32	61635	hypothetical protein [Acholeplasma brassicae]	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma brassicae
0	gi|9626514|ref|NP_040811.1|	312	737388641	WP_035370109	313	29.81	93	128	2e-30	264636	hypothetical protein [Acholeplasma hippikon]	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma hippikon
0	gi|9626514|ref|NP_040811.1|	312	786114772	WP_045749181	307	29.28	65	99.8	1e-20	35623	ATP-binding protein [Acholeplasma oculi]	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma oculi
0	gi|9626514|ref|NP_040811.1|	312	786115532	WP_045749505	307	29.25	74	97.4	8e-20	35623	ATP-binding protein [Acholeplasma oculi]	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma oculi
0	gi|9626514|ref|NP_040811.1|	312	651906463	WP_026659004	307	27.97	73	91.7	7e-18	38986	hypothetical protein [Acholeplasma palmae]	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma palmae
0	gi|9626514|ref|NP_040811.1|	312	786113730	WP_045748788	317	27.65	86	74.3	9e-12	35623	hypothetical protein [Acholeplasma oculi]	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma oculi
0	gi|9626516|ref|NP_040813.1|	289	786114764	WP_045749177	288	73.96	213	434	5e-150	35623	integrase [Acholeplasma oculi]	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma oculi
0	gi|9626516|ref|NP_040813.1|	289	651906499	WP_026659022	291	32.81	83	148	1e-38	38986	site-specific integrase [Acholeplasma palmae]	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma palmae
0	gi|9626516|ref|NP_040813.1|	289	1180750647	WP_084232970	309	33.2	83	116	1e-26	61635	phage integrase family protein [Acholeplasma brassicae]	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma brassicae
0	gi|9626516|ref|NP_040813.1|	289	651257583	WP_026390985	294	28.57	78	107	2e-23	29552	integrase [Acholeplasma axanthum]	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma axanthum
0	gi|9626516|ref|NP_040813.1|	289	917052214	WP_051658926	288	29.31	68	101	3e-21	264636	phage integrase family protein [Acholeplasma hippikon]	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma hippikon
0	gi|9626516|ref|NP_040813.1|	289	786115525	WP_045749502	297	24.8	63	97.8	4e-20	35623	site-specific integrase [Acholeplasma oculi]	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma oculi
0	gi|9626516|ref|NP_040813.1|	289	515147176	WP_016775852	296	26.89	57	94.4	5e-19	177400	hypothetical protein [Anaerophaga thermohalophila]	Bacteria	Bacteroidetes	Bacteroidia	Marinilabiliales	Marinilabiliaceae	Anaerophaga	Anaerophaga thermohalophila
0	gi|9626516|ref|NP_040813.1|	289	498349579	WP_010663735	292	28.3	60	94.4	6e-19	989	integrase [Marinilabilia salmonicolor]	Bacteria	Bacteroidetes	Bacteroidia	Marinilabiliales	Marinilabiliaceae	Marinilabilia	Marinilabilia salmonicolor
0	gi|9626516|ref|NP_040813.1|	289	497295696	WP_009609913	306	30.14	85	90.5	1e-17	911092	integrase [Caldanaerobacter subterraneus]	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter	Caldanaerobacter subterraneus
0	gi|9626516|ref|NP_040813.1|	289	662022759	WP_030004604	285	32.7	52	89.7	2e-17	61635	tyrosine recombinase XerC [Acholeplasma brassicae]	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma brassicae
0	gi|9626516|ref|NP_040813.1|	289	938153376	WP_054608184	303	30.2	61	89.7	2e-17	148814	tyrosine recombinase XerC [Lactobacillus kunkeei]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus kunkeei
0	gi|9626516|ref|NP_040813.1|	289	927269248	WP_053796617	303	30.2	61	89.7	2e-17	148814	tyrosine recombinase XerC [Lactobacillus kunkeei]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus kunkeei
