qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|388570771|ref|YP_006383754.1|	61	447215008	WP_001292264	61	96.72	59	122	3e-34	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570771|ref|YP_006383754.1|	61	949721716	WP_057065460	61	96.72	59	121	7e-34	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570771|ref|YP_006383754.1|	61	947819453	WP_056480795	61	93.44	57	117	2e-32	1736269	hypothetical protein [Acinetobacter sp. Leaf130]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. Leaf130
0	gi|388570773|ref|YP_006383756.1|	110	951242851	WP_057691591	110	85.71	90	190	1e-59	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	691099013	WP_032025385	115	65.22	75	131	2e-36	469	MULTISPECIES: hypothetical protein [Acinetobacter]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
0	gi|388570773|ref|YP_006383756.1|	110	1196878298	WP_086321560	125	92.54	62	129	2e-35	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	740522006	WP_038349505	108	62.5	70	128	2e-35	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	740522323	WP_038349714	126	82.05	64	126	2e-34	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	1196970973	WP_086393270	125	57.36	74	126	2e-34	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	802096826	WP_046023884	109	65.77	73	125	3e-34	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	516427244	WP_017816606	126	60.94	78	125	4e-34	909768	MULTISPECIES: hypothetical protein [Acinetobacter calcoaceticus/baumannii complex]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
0	gi|388570773|ref|YP_006383756.1|	110	817698597	WP_046661242	125	83.1	59	125	8e-34	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	1196945765	WP_086374865	126	60.16	77	125	8e-34	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	691112255	WP_032033179	123	58.4	73	124	1e-33	1310711	hypothetical protein [Acinetobacter sp. 723929]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp. 723929
0	gi|388570773|ref|YP_006383756.1|	110	949721718	WP_057065461	125	86.57	58	124	1e-33	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	691134986	WP_032049394	121	57.14	72	124	1e-33	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	645915102	WP_025469087	110	64.91	74	123	3e-33	1530123	hypothetical protein [Acinetobacter seifertii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter seifertii
0	gi|388570773|ref|YP_006383756.1|	110	446052935	WP_000130790	126	56.92	74	123	4e-33	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	734870917	WP_034120617	125	57.36	74	123	4e-33	106654	hypothetical protein [Acinetobacter nosocomialis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter nosocomialis
0	gi|388570773|ref|YP_006383756.1|	110	690971191	WP_031946019	126	83.78	62	123	5e-33	48296	hypothetical protein [Acinetobacter pittii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii
0	gi|388570773|ref|YP_006383756.1|	110	446052932	WP_000130787	126	58.59	75	122	6e-33	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	523534963	WP_020753293	126	57.03	73	122	1e-32	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	1040079047	WP_065087243	120	56	70	120	3e-32	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	488086169	WP_002157566	126	56.25	72	120	6e-32	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	1032326789	WP_064194830	76	74.36	58	118	9e-32	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	1132212917	WP_075884408	92	74.36	58	118	9e-32	470	hypothetical protein, partial [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	446052933	WP_000130788	126	57.03	73	119	9e-32	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	951251801	WP_057693772	123	57.38	70	119	1e-31	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	1159841023	WP_079376968	93	74.36	58	118	1e-31	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	446382108	WP_000459963	126	78.38	58	118	3e-31	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	1053284798	WP_066029338	116	58.54	72	117	5e-31	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	446052934	WP_000130789	126	55.47	71	115	3e-30	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	924492838	WP_053502682	108	61.7	58	114	5e-30	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
0	gi|388570773|ref|YP_006383756.1|	110	1053237754	WP_066011863	124	57.02	69	114	1e-29	470	hypothetical protein [Acinetobacter baumannii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
