qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|431811058|ref|YP_007238118.1|	484	1183856597	WP_085047160	484	98.76	478	982	0	28141	hypothetical protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431811058|ref|YP_007238118.1|	484	1172405210	WP_080782503	484	98.76	478	981	0	28141	hypothetical protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431811058|ref|YP_007238118.1|	484	1186140610	WP_085345306	484	98.35	476	978	0	28141	hypothetical protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431811058|ref|YP_007238118.1|	484	1140882483	WP_076734952	484	97.93	474	975	0	28141	hypothetical protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431811058|ref|YP_007238118.1|	484	1186193562	WP_085391921	484	97.93	474	974	0	28141	hypothetical protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431811058|ref|YP_007238118.1|	484	924860978	WP_053541499	485	97.93	474	973	0	28141	hypothetical protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431811058|ref|YP_007238118.1|	484	742397819	WP_038876944	484	97.93	474	972	0	28141	hypothetical protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431811058|ref|YP_007238118.1|	484	505199470	WP_015386572	484	97.73	473	971	0	28141	hypothetical protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431811058|ref|YP_007238118.1|	484	1069459509	WP_069684149	484	97.31	471	971	0	28141	hypothetical protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431811058|ref|YP_007238118.1|	484	657886187	WP_029590384	475	98.11	466	957	0	28141	hypothetical protein, partial [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431811058|ref|YP_007238118.1|	484	1186140995	WP_085345578	401	97.76	392	808	0	28141	hypothetical protein, partial [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431811058|ref|YP_007238118.1|	484	754512795	WP_041923458	483	81.2	393	798	0	413502	hypothetical protein [Cronobacter turicensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter turicensis
0	gi|431811058|ref|YP_007238118.1|	484	1126548189	WP_075184521	483	80.58	390	796	0	413503	hypothetical protein [Cronobacter malonaticus]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter malonaticus
0	gi|431811058|ref|YP_007238118.1|	484	1126547322	WP_075183733	485	79.09	382	786	0	28141	hypothetical protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431811058|ref|YP_007238118.1|	484	1118566565	WP_072186343	231	97.39	112	222	4e-65	28141	hypothetical protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431811058|ref|YP_007238118.1|	484	1172494458	WP_080865878	445	80.29	110	225	6e-64	28141	hypothetical protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431811058|ref|YP_007238118.1|	484	1172403572	WP_080781336	445	86.72	111	225	7e-64	28141	hypothetical protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431811058|ref|YP_007238118.1|	484	1183817446	WP_085016874	432	81.02	111	224	9e-64	28141	hypothetical protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431811058|ref|YP_007238118.1|	484	1172403308	WP_080781072	432	80.29	110	223	4e-63	28141	hypothetical protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431811058|ref|YP_007238118.1|	484	1258247581	WP_097570068	432	80.29	110	222	8e-63	28141	phage tail protein [Cronobacter sakazakii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter sakazakii
0	gi|431811058|ref|YP_007238118.1|	484	696408964	WP_032980077	436	77.22	122	218	4e-61	413503	hypothetical protein [Cronobacter malonaticus]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter malonaticus
0	gi|431811058|ref|YP_007238118.1|	484	1205118064	WP_087822382	469	34.59	174	208	2e-57	61645	hypothetical protein [Enterobacter asburiae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae
