qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|431810902|ref|YP_007237979.1|	90	447172616	WP_001249872	88	80	72	134	4e-38	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	1159753874	WP_079300765	91	82.22	74	132	2e-37	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	1159792913	WP_079335926	92	85.54	71	132	3e-37	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	1159819243	WP_079358530	89	81.11	73	130	9e-37	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	1152421074	WP_078283371	91	81.11	73	129	2e-36	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	1306800100	WP_100983388	90	80.68	71	129	2e-36	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	756412838	WP_042632276	91	83.33	70	127	2e-35	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	727029045	WP_033596296	86	82.02	73	127	2e-35	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	727305879	WP_033762636	88	77.78	70	127	2e-35	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	915570573	WP_050851186	88	78.02	71	126	3e-35	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	1246945415	WP_096528185	88	76.92	70	126	3e-35	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	1261109029	WP_097696368	88	78.65	70	126	4e-35	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	447172614	WP_001249870	89	78.89	71	125	7e-35	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	727320716	WP_033776024	86	80.9	72	125	1e-34	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	447172613	WP_001249869	89	78.89	71	125	2e-34	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	1246946306	WP_096529074	88	75.82	69	124	2e-34	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	1159789276	WP_079333077	90	80.22	73	124	2e-34	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	1159783317	WP_079327767	90	80.22	73	124	3e-34	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	983282961	WP_060475009	92	79.12	72	123	5e-34	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	1159814433	WP_079354137	88	77.53	69	123	6e-34	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	447172617	WP_001249873	88	77.53	69	123	7e-34	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	915496363	WP_050825290	88	76.4	68	122	1e-33	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	447172618	WP_001249874	88	74.44	67	122	1e-33	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	657258781	WP_029364338	91	79.31	69	120	6e-33	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	727312454	WP_033768393	86	78.65	70	120	6e-33	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	1306795181	WP_100978718	86	76.4	68	119	1e-32	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	544749099	WP_021176808	91	75.58	65	119	2e-32	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	544890101	WP_021301940	90	76.4	68	118	5e-32	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
0	gi|431810902|ref|YP_007237979.1|	90	640513641	WP_024949142	91	78.16	68	118	6e-32	210	hypothetical protein [Helicobacter pylori]	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
