qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|589287215|ref|YP_009009299.1|	147	1056944039	WP_068357457	144	30.56	44	72.4	5e-13	1689867	hypothetical protein [Rhodobacteraceae bacterium SB2]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		Rhodobacteraceae bacterium SB2
0	gi|589287220|ref|YP_009009304.1|	130	1143081570	WP_077073053	355	45	36	75.9	1e-13	1903261	peptide chain release factor 1 [Mailhella massiliensis]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Mailhella	Mailhella massiliensis
0	gi|589287220|ref|YP_009009304.1|	130	497413151	WP_009727349	362	45.24	38	75.1	3e-13	999151	peptide chain release factor 1 [Methylophaga lonarensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Methylophaga	Methylophaga lonarensis
0	gi|589287220|ref|YP_009009304.1|	130	496399939	WP_009108929	357	48.19	40	74.3	5e-13	596152	peptide chain release factor 1 [Desulfovibrio sp. U5L]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio sp. U5L
0	gi|589287220|ref|YP_009009304.1|	130	640216207	WP_024825315	357	48.19	40	74.3	5e-13	184917	peptide chain release factor 1 [Desulfovibrio magneticus]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio magneticus
0	gi|589287220|ref|YP_009009304.1|	130	517833298	WP_019003506	363	41.86	36	74.3	6e-13	83769	peptide chain release factor 1 [Succinimonas amylolytica]	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinimonas	Succinimonas amylolytica
0	gi|589287220|ref|YP_009009304.1|	130	1155018506	WP_078923826	359	44.58	37	73.9	6e-13	92487	peptide chain release factor 1 [Thiothrix eikelboomii]	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix	Thiothrix eikelboomii
0	gi|589287220|ref|YP_009009304.1|	130	657656352	WP_029460777	357	48.19	40	73.9	7e-13	81406	peptide chain release factor 1 [Desulfovibrio alcoholivorans]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio alcoholivorans
0	gi|589287220|ref|YP_009009304.1|	130	504264192	WP_014451294	349	48.65	36	73.6	9e-13	93466	peptide chain release factor 1 [Fervidobacterium pennivorans]	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Fervidobacterium	Fervidobacterium pennivorans
0	gi|589287220|ref|YP_009009304.1|	130	740200624	WP_038042580	349	48.65	36	73.6	1e-12	2421	peptide chain release factor 1 [Thermosipho africanus]	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Thermosipho	Thermosipho africanus
0	gi|589287220|ref|YP_009009304.1|	130	503215764	WP_013450425	356	45.78	38	73.6	1e-12	477976	peptide chain release factor 1 [Calditerrivibrio nitroreducens]	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Calditerrivibrio	Calditerrivibrio nitroreducens
0	gi|589287220|ref|YP_009009304.1|	130	496470905	WP_009179750	357	46.99	39	73.6	1e-12	644968	peptide chain release factor 1 [Desulfovibrio sp. FW1012B]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio sp. FW1012B
0	gi|589287220|ref|YP_009009304.1|	130	492841160	WP_005995114	357	48.19	40	73.2	1e-12	878	peptide chain release factor 1 [Desulfovibrio fructosivorans]	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio fructosivorans
0	gi|589287220|ref|YP_009009304.1|	130	640237702	WP_024832942	359	45.33	34	72.8	2e-12	1499	peptide chain release factor 1 [[Clostridium] josui]	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	[Clostridium] josui
0	gi|589287220|ref|YP_009009304.1|	130	491516389	WP_005374022	361	46.15	36	72.8	2e-12	39773	MULTISPECIES: peptide chain release factor 1 [Methylomicrobium]	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomicrobium	
0	gi|589287220|ref|YP_009009304.1|	130	643885968	WP_025266854	360	46.58	34	72.4	2e-12	47735	peptide chain release factor 1 [Bibersteinia trehalosi]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Bibersteinia	Bibersteinia trehalosi
0	gi|589287220|ref|YP_009009304.1|	130	505245945	WP_015433047	360	46.58	34	72.4	2e-12	47735	peptide chain release factor 1 [Bibersteinia trehalosi]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Bibersteinia	Bibersteinia trehalosi
0	gi|589287220|ref|YP_009009304.1|	130	544681630	WP_021113682	360	44.58	37	72.4	2e-12	738	peptide chain release factor 1 [[Haemophilus] parasuis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	[Haemophilus] parasuis
