qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|712916053|ref|YP_009103818.1|	574	844781599	WP_047937734	574	53.82	310	625	0	1352	terminase large subunit [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916053|ref|YP_009103818.1|	574	1239378699	WP_095444005	574	53.23	305	619	0	53345	terminase large subunit [Enterococcus durans]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus durans
0	gi|712916053|ref|YP_009103818.1|	574	985491577	WP_060789820	574	53.23	305	617	0	53345	terminase large subunit [Enterococcus durans]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus durans
0	gi|712916053|ref|YP_009103818.1|	574	498418046	WP_010726214	574	52.78	304	613	0	1352	terminase large subunit [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916053|ref|YP_009103818.1|	574	498417825	WP_010726033	574	52.95	305	613	0	1352	terminase large subunit [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916053|ref|YP_009103818.1|	574	498416501	WP_010725039	574	52.78	304	613	0	1350	MULTISPECIES: terminase large subunit [Enterococcus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
0	gi|712916053|ref|YP_009103818.1|	574	1119614526	WP_072538761	574	52.78	304	612	0	1350	MULTISPECIES: terminase large subunit [Enterococcus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
0	gi|712916053|ref|YP_009103818.1|	574	488272301	WP_002343509	574	52.78	304	612	0	1352	terminase large subunit [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916053|ref|YP_009103818.1|	574	488276727	WP_002347935	574	52.95	305	612	0	1352	terminase large subunit [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916053|ref|YP_009103818.1|	574	488261235	WP_002332443	574	52.78	304	612	0	1352	terminase large subunit [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916053|ref|YP_009103818.1|	574	488262435	WP_002333643	574	52.78	304	611	0	1352	terminase large subunit [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916053|ref|YP_009103818.1|	574	1214145106	WP_088775391	573	52.71	302	610	0	1354	terminase large subunit [Enterococcus hirae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus hirae
0	gi|712916053|ref|YP_009103818.1|	574	1120950449	WP_073463477	574	52.78	304	608	0	1352	terminase large subunit [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916053|ref|YP_009103818.1|	574	1106651435	WP_071858751	574	53.05	304	608	0	249189	terminase large subunit [Enterococcus hermanniensis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus hermanniensis
0	gi|712916053|ref|YP_009103818.1|	574	1214101350	WP_088745678	574	52.6	303	608	0	1354	terminase large subunit [Enterococcus hirae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus hirae
0	gi|712916053|ref|YP_009103818.1|	574	657684263	WP_029485260	574	52.6	303	608	0	1352	terminase large subunit [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916053|ref|YP_009103818.1|	574	510802882	WP_016177656	574	51.66	296	599	0	53345	terminase large subunit [Enterococcus durans]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus durans
0	gi|712916053|ref|YP_009103818.1|	574	488264642	WP_002335850	574	53.12	306	592	0	1352	terminase large subunit [Enterococcus faecium]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
0	gi|712916053|ref|YP_009103818.1|	574	1060733946	WP_069129193	574	48.43	277	559	0	2756	terminase large subunit [Brochothrix thermosphacta]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix thermosphacta
0	gi|712916053|ref|YP_009103818.1|	574	498481170	WP_010784294	577	49.39	285	545	0	1351	terminase large subunit [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|712916053|ref|YP_009103818.1|	574	727114256	WP_033625453	577	49.05	283	541	0	1351	terminase large subunit [Enterococcus faecalis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
0	gi|712916053|ref|YP_009103818.1|	574	736866320	WP_034866142	577	49.04	281	540	0	1350	MULTISPECIES: terminase large subunit [Enterococcus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	
0	gi|712916053|ref|YP_009103818.1|	574	1196839040	WP_086285131	577	48.7	280	540	0	1987383	terminase large subunit [Enterococcus sp. 10A9_DIV0425]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp. 10A9_DIV0425
0	gi|712916053|ref|YP_009103818.1|	574	647281547	WP_025726777	571	45.27	249	502	6e-168	363870	terminase [Bacillus ginsengihumi]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus ginsengihumi
0	gi|712916053|ref|YP_009103818.1|	574	745779326	WP_039073093	577	44.54	249	481	7e-160	1071069	terminase large subunit [Bacillus sp. MSP5.4]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. MSP5.4
0	gi|712916053|ref|YP_009103818.1|	574	1120947139	WP_073461353	577	44.54	249	481	9e-160	1402	terminase large subunit [Bacillus licheniformis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
0	gi|712916053|ref|YP_009103818.1|	574	736241777	WP_034325006	575	44.32	242	469	5e-155	1178540	terminase large subunit [Bacillus zhangzhouensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus zhangzhouensis
0	gi|712916053|ref|YP_009103818.1|	574	489330141	WP_003237411	577	43.96	240	468	1e-154	1423	terminase large subunit [Bacillus subtilis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
0	gi|712916053|ref|YP_009103818.1|	574	1071414174	WP_069839641	577	43.96	240	468	2e-154	1581850	terminase large subunit [Bacillus sp. F56]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. F56
0	gi|712916053|ref|YP_009103818.1|	574	1241789116	WP_095714667	577	43.77	239	467	3e-154	2028568	terminase large subunit [Bacillus sp. 7705b]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. 7705b
0	gi|712916053|ref|YP_009103818.1|	574	1120342196	WP_073206612	575	44.14	241	467	3e-154	561879	terminase large subunit [Bacillus safensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis
0	gi|712916053|ref|YP_009103818.1|	574	1140997127	WP_076840366	575	44.32	242	466	5e-154	1857572	terminase large subunit [Bacillus sp. I-2]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. I-2
0	gi|712916053|ref|YP_009103818.1|	574	1008206173	WP_061861537	577	43.41	237	464	4e-153	1390	terminase large subunit [Bacillus amyloliquefaciens]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus amyloliquefaciens
0	gi|712916053|ref|YP_009103818.1|	574	844773384	WP_047936182	577	43.41	237	464	4e-153	1938374	MULTISPECIES: terminase large subunit [Bacillus amyloliquefaciens group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|712916053|ref|YP_009103818.1|	574	1213966109	WP_088679130	577	43.41	237	462	2e-152	1423	terminase large subunit [Bacillus subtilis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
0	gi|712916053|ref|YP_009103818.1|	574	1184624414	WP_085185850	577	43.59	238	462	2e-152	1386	MULTISPECIES: terminase large subunit [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|712916053|ref|YP_009103818.1|	574	1002967631	WP_061418888	575	43.85	239	462	2e-152	1408	terminase large subunit [Bacillus pumilus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pumilus
0	gi|712916053|ref|YP_009103818.1|	574	1209279961	WP_088327457	577	43.22	236	462	2e-152	1423	terminase large subunit [Bacillus subtilis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
0	gi|712916053|ref|YP_009103818.1|	574	806801152	WP_046160697	577	43.41	237	461	6e-152	1385719	terminase large subunit [Bacillus sp. CMAA 1185]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. CMAA 1185
0	gi|712916053|ref|YP_009103818.1|	574	504292764	WP_014479866	577	43.41	237	461	1e-151	1423	terminase large subunit [Bacillus subtilis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
0	gi|712916053|ref|YP_009103818.1|	574	503118826	WP_013353509	577	42.86	234	457	2e-150	1390	terminase large subunit [Bacillus amyloliquefaciens]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus amyloliquefaciens
0	gi|712916053|ref|YP_009103818.1|	574	1045805614	WP_065521133	568	43.66	241	452	2e-148	1390	terminase large subunit [Bacillus amyloliquefaciens]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus amyloliquefaciens
0	gi|712916053|ref|YP_009103818.1|	574	1238565982	WP_095267134	579	43.37	242	448	7e-147	361277	terminase large subunit [Terribacillus saccharophilus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus saccharophilus
0	gi|712916053|ref|YP_009103818.1|	574	1325912195	WP_101785648	571	43.85	239	440	6e-144	28037	amino acid transporter [Streptococcus mitis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis
0	gi|712916053|ref|YP_009103818.1|	574	1183626974	WP_084861503	571	44.87	236	438	4e-143	28037	terminase large subunit [Streptococcus mitis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis
0	gi|712916053|ref|YP_009103818.1|	574	640591788	WP_025020737	566	40.99	232	436	4e-142	137357	terminase large subunit [Lactobacillus equi]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus equi
0	gi|712916053|ref|YP_009103818.1|	574	757664546	WP_042902593	584	43.22	239	433	7e-141	1303	terminase large subunit [Streptococcus oralis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis
0	gi|712916053|ref|YP_009103818.1|	574	1326063002	WP_101898105	568	40.28	230	431	2e-140	1624	amino acid transporter [Lactobacillus salivarius]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus salivarius
0	gi|712916053|ref|YP_009103818.1|	574	971849519	WP_058918429	571	41.61	228	431	3e-140	1564681	terminase large subunit [Carnobacterium sp. CP1]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	Carnobacterium sp. CP1
0	gi|712916053|ref|YP_009103818.1|	574	1242614389	WP_095758515	569	40.11	229	428	3e-139	1624	terminase large subunit [Lactobacillus salivarius]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus salivarius
0	gi|712916053|ref|YP_009103818.1|	574	949527287	WP_056966330	569	39.71	220	428	4e-139	28038	terminase large subunit [Lactobacillus curvatus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus curvatus
