qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|38640277|ref|NP_943747.1|	58	445962771	WP_000040626	58	100	58	114	3e-31	1386	MULTISPECIES: helix-turn-helix domain-containing protein [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|38640277|ref|NP_943747.1|	58	506509371	WP_015976754	58	98.28	57	114	4e-31	86661	MULTISPECIES: helix-turn-helix domain-containing protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|38640277|ref|NP_943747.1|	58	1293233225	WP_100632322	58	93.1	54	109	2e-29	1396	DNA-binding protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|38640278|ref|NP_943748.1|	167	446352249	WP_000430104	167	100	167	340	9e-117	1386	MULTISPECIES: hypothetical protein [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|38640278|ref|NP_943748.1|	167	1196983797	WP_086403561	166	86.23	144	294	1e-98	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|38640278|ref|NP_943748.1|	167	872659879	WP_048538924	166	85.63	143	293	2e-98	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|38640278|ref|NP_943748.1|	167	1173284588	WP_081143358	166	85.63	143	292	7e-98	86661	MULTISPECIES: hypothetical protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|38640278|ref|NP_943748.1|	167	506509372	WP_015976755	166	85.03	142	291	9e-98	86661	MULTISPECIES: hypothetical protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|38640278|ref|NP_943748.1|	167	1062536160	WP_069297327	166	84.43	141	289	9e-97	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|38640278|ref|NP_943748.1|	167	545601963	WP_021729027	166	83.83	140	288	2e-96	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|38640278|ref|NP_943748.1|	167	446107888	WP_000185743	165	86.59	142	286	8e-96	1396;226900	hypothetical protein [Bacillus cereus]	NA	NA	NA	NA	NA	NA	NA
0	gi|38640278|ref|NP_943748.1|	167	1207707207	WP_088065229	162	85.63	143	279	9e-93	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|38640278|ref|NP_943748.1|	167	507053070	WP_016124038	162	85.63	143	278	1e-92	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|38640278|ref|NP_943748.1|	167	1264350535	WP_097963213	166	82.04	137	277	3e-92	64104	hypothetical protein [Bacillus pseudomycoides]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pseudomycoides
0	gi|38640278|ref|NP_943748.1|	167	912666922	WP_050224774	171	87.16	129	265	4e-87	1313	hypothetical protein [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
