qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|157311015|ref|YP_001469010.1|	471	763133626	WP_044013309	641	24.63	100	113	2e-23	1539298	DNA ligase (NAD(+)) LigA [Treponema sp. OMZ 838]	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema sp. OMZ 838
0	gi|157311015|ref|YP_001469010.1|	471	639098356	WP_024470252	643	26.58	105	112	4e-23	409322	DNA ligase (NAD(+)) LigA [Treponema pedis]	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema pedis
0	gi|157311015|ref|YP_001469010.1|	471	657355372	WP_029410894	643	26.58	105	112	6e-23	409322	DNA ligase (NAD(+)) LigA [Treponema pedis]	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema pedis
0	gi|157311015|ref|YP_001469010.1|	471	530896552	WP_020965653	643	26.52	105	110	2e-22	409322	DNA ligase (NAD(+)) LigA [Treponema pedis]	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema pedis
0	gi|157311015|ref|YP_001469010.1|	471	639086643	WP_024467118	643	26.33	104	110	3e-22	409322	DNA ligase (NAD(+)) LigA [Treponema pedis]	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema pedis
0	gi|157311015|ref|YP_001469010.1|	471	493200679	WP_006189667	641	24.94	104	106	4e-21	69710	DNA ligase (NAD(+)) LigA [Treponema vincentii]	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema vincentii
0	gi|157311015|ref|YP_001469010.1|	471	513856903	WP_016518392	641	24.94	104	106	5e-21	69710	DNA ligase (NAD(+)) LigA [Treponema vincentii]	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema vincentii
0	gi|157311015|ref|YP_001469010.1|	471	750577241	WP_040859110	641	25.12	101	102	9e-20	58231	DNA ligase (NAD(+)) LigA [Treponema medium]	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema medium
0	gi|157311015|ref|YP_001469010.1|	471	517349855	WP_018525347	642	26.04	100	100	3e-19	46356	DNA ligase (NAD(+)) LigA [Alkalispirochaeta alkalica]	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Alkalispirochaeta	Alkalispirochaeta alkalica
0	gi|157311015|ref|YP_001469010.1|	471	1197852310	WP_086782100	663	26.33	114	100	6e-19	130796	NAD-dependent DNA ligase LigA [Crossiella equi]	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Crossiella	Crossiella equi
