qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|658607811|ref|YP_009044802.1|	99	1079813832	WP_070216530	118	98.99	98	194	4e-61	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	685909298	WP_031647174	118	97.98	97	194	4e-61	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1092872578	WP_070782699	118	97.98	97	194	4e-61	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	502716530	WP_012951543	118	97.98	97	194	4e-61	1637	MULTISPECIES: hypothetical protein [Listeria]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	
0	gi|658607811|ref|YP_009044802.1|	99	746343538	WP_039388557	118	96.97	96	192	1e-60	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1000372061	WP_061114246	118	96.97	96	192	1e-60	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1000360820	WP_061107851	118	96.97	96	192	1e-60	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	504742440	WP_014929542	118	96.97	96	192	1e-60	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	644855476	WP_025370582	118	96.97	96	192	2e-60	1637	MULTISPECIES: hypothetical protein [Listeria]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	
0	gi|658607811|ref|YP_009044802.1|	99	1148703464	WP_077441627	118	96.97	96	191	3e-60	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	983403949	WP_060571518	118	96.97	96	191	3e-60	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1000361917	WP_061108367	118	96.97	96	191	4e-60	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1000359126	WP_061106651	118	96.97	96	191	4e-60	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1254410496	WP_097296463	118	96.97	96	191	5e-60	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1252965544	WP_096873679	118	96.97	96	191	7e-60	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	685935966	WP_031668694	118	95.96	95	190	8e-60	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1184775611	WP_085321234	118	95.96	95	190	8e-60	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1079810661	WP_070213498	118	95.96	95	190	1e-59	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1005596797	WP_061684144	118	95.96	95	190	1e-59	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	685936904	WP_031669128	118	95.96	95	190	1e-59	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1092865045	WP_070776300	118	95.96	95	190	1e-59	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1035822179	WP_064616259	118	95.96	95	190	1e-59	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1079868192	WP_070266862	118	94.95	94	189	2e-59	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1160354240	WP_079399994	118	95.96	95	189	2e-59	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1148597328	WP_077343544	118	94.95	94	188	5e-59	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	685907300	WP_031646261	118	94.95	94	188	7e-59	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	652350897	WP_026747159	118	94.95	94	188	7e-59	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1000360239	WP_061107421	118	93.94	93	188	7e-59	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1000363333	WP_061109198	118	94.95	94	188	9e-59	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1258427787	WP_097638463	118	94.95	94	187	1e-58	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1254704677	WP_097347872	118	93.94	93	187	1e-58	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	647734552	WP_025981612	118	93.94	93	187	1e-58	1637	MULTISPECIES: hypothetical protein [Listeria]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	
0	gi|658607811|ref|YP_009044802.1|	99	1100218023	WP_071358953	118	93.94	93	187	1e-58	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1252955917	WP_096865921	118	93.94	93	187	1e-58	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1258197500	WP_097532652	106	93.94	93	186	2e-58	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1252853369	WP_096811752	118	93.94	93	186	4e-58	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1257297378	WP_097517208	109	94.44	85	171	2e-52	1639	hypothetical protein, partial [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	738173397	WP_036130143	99	81.82	81	168	2e-51	1497679	hypothetical protein [Listeriaceae bacterium FSL A5-0209]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae		Listeriaceae bacterium FSL A5-0209
0	gi|658607811|ref|YP_009044802.1|	99	501577122	WP_012581462	99	82.83	82	167	6e-51	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1258190933	WP_097528994	110	87.88	87	166	2e-50	1639	hypothetical protein [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1257266211	WP_097515388	104	94.12	80	160	2e-48	1639	hypothetical protein, partial [Listeria monocytogenes]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes
0	gi|658607811|ref|YP_009044802.1|	99	1214452602	WP_088838983	99	75.76	75	151	1e-44	1649188	hypothetical protein [Listeria sp. ILCC801]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria sp. ILCC801
0	gi|658607811|ref|YP_009044802.1|	99	1133771928	WP_076152774	98	72.16	70	146	1e-42	59843	hypothetical protein [Paenibacillus glucanolyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus glucanolyticus
0	gi|658607811|ref|YP_009044802.1|	99	889528299	WP_048825872	100	73.96	71	145	2e-42	1476857	hypothetical protein [Bacillus sp. B-jedd]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. B-jedd
0	gi|658607811|ref|YP_009044802.1|	99	498477373	WP_010781689	100	69	69	138	1e-39	160453	hypothetical protein [Enterococcus gilvus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus gilvus
0	gi|658607811|ref|YP_009044802.1|	99	1248200656	WP_096699473	84	50.6	42	94.4	1e-22	2756	hypothetical protein [Brochothrix thermosphacta]	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix thermosphacta
0	gi|658607811|ref|YP_009044802.1|	99	1277298614	WP_100006922	99	56.79	46	94	3e-22	283734	terminase [Staphylococcus pseudintermedius]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus pseudintermedius
0	gi|658607811|ref|YP_009044802.1|	99	1274390145	WP_099576853	97	59.04	49	93.6	5e-22	1891097	terminase [Macrococcus sp. CCM 4927]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus	Macrococcus sp. CCM 4927
0	gi|658607811|ref|YP_009044802.1|	99	1149132994	WP_077704973	100	48	48	92.4	1e-21	84406	MULTISPECIES: terminase [Virgibacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Virgibacillus	
0	gi|658607811|ref|YP_009044802.1|	99	1326101474	WP_101932322	100	48	48	92.4	2e-21	1473	terminase [Virgibacillus pantothenticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus pantothenticus
0	gi|658607811|ref|YP_009044802.1|	99	1025826029	WP_063559915	104	45.36	44	92	2e-21	79883	terminase [Bacillus horikoshii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus horikoshii
0	gi|658607811|ref|YP_009044802.1|	99	1248148983	WP_096649622	99	55.56	45	91.7	3e-21	53344	terminase [Staphylococcus delphini]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus delphini
0	gi|658607811|ref|YP_009044802.1|	99	651568807	WP_026572491	100	47	47	90.5	7e-21	1340434	terminase [Bacillus sp. UNC438CL73TsuS30]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. UNC438CL73TsuS30
0	gi|658607811|ref|YP_009044802.1|	99	1057282508	WP_068646095	109	49.5	50	90.1	1e-20	253703	terminase [Paenibacillus antarcticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus antarcticus
0	gi|658607811|ref|YP_009044802.1|	99	505961552	WP_015729198	99	54.32	44	89.4	2e-20	283734	hypothetical protein [Staphylococcus pseudintermedius]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus pseudintermedius
0	gi|658607811|ref|YP_009044802.1|	99	1071429179	WP_069854518	100	53.01	44	89.4	2e-20	246432	terminase [Staphylococcus equorum]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus equorum
0	gi|658607811|ref|YP_009044802.1|	99	1092695008	WP_070626902	100	53.01	44	88.6	4e-20	1279	MULTISPECIES: terminase [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|658607811|ref|YP_009044802.1|	99	651585858	WP_026581029	106	44.94	40	87.8	9e-20	935836	hypothetical protein [Bacillus sp. J33]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. J33
0	gi|658607811|ref|YP_009044802.1|	99	1325676013	WP_101579450	101	47.06	40	87.4	1e-19	1403243	terminase [Bacillus canaveralius]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus canaveralius
0	gi|658607811|ref|YP_009044802.1|	99	992324730	WP_061046341	100	53.01	44	87	2e-19	29385	terminase [Staphylococcus saprophyticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus saprophyticus
0	gi|658607811|ref|YP_009044802.1|	99	1268092016	WP_098659832	105	50.62	41	87	2e-19	1428	terminase [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|658607811|ref|YP_009044802.1|	99	1268659339	WP_098955423	105	50.62	41	86.7	3e-19	155322	terminase [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|658607811|ref|YP_009044802.1|	99	949506974	WP_056948234	105	46.75	36	86.3	3e-19	1599	terminase [Lactobacillus sakei]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sakei
0	gi|658607811|ref|YP_009044802.1|	99	1093523809	WP_070867138	119	51.25	41	86.3	5e-19	1608889	hypothetical protein [Staphylococcus sp. HMSC65H10]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. HMSC65H10
0	gi|658607811|ref|YP_009044802.1|	99	1207631368	WP_087995984	105	49.38	40	85.9	6e-19	1428	terminase [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|658607811|ref|YP_009044802.1|	99	1264370739	WP_097981711	105	49.38	40	85.5	6e-19	1386	MULTISPECIES: terminase [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|658607811|ref|YP_009044802.1|	99	1267385259	WP_098214345	105	49.38	40	85.5	6e-19	1396	terminase [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
