qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|568191128|ref|YP_008770716.1|	81	763280344	WP_044141754	101	55.56	45	89.7	8e-21	1408	hypothetical protein [Bacillus pumilus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pumilus
0	gi|568191128|ref|YP_008770716.1|	81	637176941	WP_024428219	101	55.56	45	89.4	1e-20	1408	hypothetical protein [Bacillus pumilus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pumilus
0	gi|568191128|ref|YP_008770716.1|	81	1120340990	WP_073205406	88	51.76	44	86.7	8e-20	561879	hypothetical protein [Bacillus safensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis
0	gi|568191129|ref|YP_008770717.1|	75	1209274152	WP_088322558	74	69.33	52	110	2e-29	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|568191129|ref|YP_008770717.1|	75	507054105	WP_016125060	74	72.06	49	108	1e-28	86661	MULTISPECIES: hypothetical protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|568191129|ref|YP_008770717.1|	75	1267674340	WP_098436823	74	72.06	49	108	2e-28	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|568191129|ref|YP_008770717.1|	75	1268715890	WP_099000818	74	72.06	49	107	3e-28	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|568191129|ref|YP_008770717.1|	75	881002393	WP_048723682	74	70.59	48	107	3e-28	580165	hypothetical protein [Bacillus cytotoxicus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cytotoxicus
0	gi|568191129|ref|YP_008770717.1|	75	1267951112	WP_098605120	74	70.59	48	107	5e-28	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|568191129|ref|YP_008770717.1|	75	1268012244	WP_098648743	74	70.59	48	107	5e-28	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|568191129|ref|YP_008770717.1|	75	1212731328	WP_088608312	70	70	49	105	2e-27	2014743	hypothetical protein [Bacillus sp. K2I17]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. K2I17
0	gi|568191129|ref|YP_008770717.1|	75	1330017914	WP_102271343	73	70.59	48	104	6e-27	1871011	hypothetical protein [Bacillus massiliogabonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus massiliogabonensis
0	gi|568191129|ref|YP_008770717.1|	75	1296598335	WP_100772298	70	68.12	47	100	2e-25	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|568191129|ref|YP_008770717.1|	75	1065012083	WP_069473272	70	68.12	47	97.8	2e-24	492670	hypothetical protein [Bacillus velezensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis
0	gi|568191129|ref|YP_008770717.1|	75	545132091	WP_021493466	70	68.12	47	97.4	3e-24	1390	hypothetical protein [Bacillus amyloliquefaciens]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus amyloliquefaciens
0	gi|568191129|ref|YP_008770717.1|	75	489305390	WP_003212830	70	64.71	44	93.2	1e-22	1408	hypothetical protein [Bacillus pumilus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pumilus
0	gi|568191129|ref|YP_008770717.1|	75	1122357781	WP_074041827	70	64.71	44	93.2	2e-22	1408	hypothetical protein [Bacillus pumilus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pumilus
0	gi|568191129|ref|YP_008770717.1|	75	498183558	WP_010497714	77	59.21	45	82.8	2e-18	189691	hypothetical protein [Paenibacillus elgii]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus elgii
0	gi|568191135|ref|YP_008770723.1|	125	751647704	WP_041114655	127	35.2	44	66.6	3e-11	1455	hypothetical protein [Bacillus badius]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus badius
0	gi|568191135|ref|YP_008770723.1|	125	738209942	WP_036165685	123	37.4	46	65.1	1e-10	1421	hypothetical protein [Lysinibacillus sphaericus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus sphaericus
0	gi|568191136|ref|YP_008770724.1|	117	1325687280	WP_101590381	112	42.06	45	89	7e-20	2054166	hypothetical protein [Bacillus sp. M6-12]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. M6-12
0	gi|568191136|ref|YP_008770724.1|	117	927335521	WP_053818748	114	37.04	40	81.3	7e-17	1509	hypothetical protein [Clostridium sporogenes]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sporogenes
0	gi|568191136|ref|YP_008770724.1|	117	544674416	WP_021107271	114	37.04	40	77.8	1e-15	1491	hypothetical protein [Clostridium botulinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
0	gi|568191136|ref|YP_008770724.1|	117	501257953	WP_012300971	114	36.11	39	76.3	5e-15	1491	hypothetical protein [Clostridium botulinum]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
0	gi|568191138|ref|YP_008770726.1|	65	1005271256	WP_061567267	65	56.25	36	79.7	2e-17	1422	hypothetical protein [Geobacillus stearothermophilus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus stearothermophilus
0	gi|568191138|ref|YP_008770726.1|	65	1173246750	WP_081107444	70	54.69	35	79	3e-17	1422	hypothetical protein [Geobacillus stearothermophilus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus stearothermophilus
0	gi|568191138|ref|YP_008770726.1|	65	696482257	WP_033021461	65	54.69	35	77.8	9e-17	1430331	hypothetical protein [Geobacillus icigianus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus icigianus
0	gi|568191138|ref|YP_008770726.1|	65	1240921435	WP_095691611	65	49.23	32	77.4	1e-16	86661	MULTISPECIES: hypothetical protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|568191138|ref|YP_008770726.1|	65	1267387716	WP_098216481	65	47.69	31	75.9	4e-16	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|568191138|ref|YP_008770726.1|	65	1046640848	WP_065705755	65	47.69	31	75.1	7e-16	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|568191138|ref|YP_008770726.1|	65	1141046913	WP_076872694	65	47.69	31	75.1	9e-16	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|568191138|ref|YP_008770726.1|	65	488090426	WP_002161823	65	47.69	31	74.7	1e-15	86661	MULTISPECIES: hypothetical protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|568191138|ref|YP_008770726.1|	65	1267325951	WP_098169448	65	47.69	31	74.7	1e-15	86661	MULTISPECIES: hypothetical protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
