qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|311992993|ref|YP_004009859.1|	737	1208946742	WP_088209800	725	35.82	264	443	1e-140	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|311992993|ref|YP_004009859.1|	737	1167889684	WP_080181602	725	35.96	265	441	8e-140	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|311992993|ref|YP_004009859.1|	737	1296597415	WP_100771378	725	35.55	262	440	1e-139	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|311992993|ref|YP_004009859.1|	737	1122786325	WP_074146350	725	35.82	264	437	2e-138	1496	hypothetical protein [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|311992993|ref|YP_004009859.1|	737	640401610	WP_024892447	762	34.74	115	177	2e-43	930	ATP-binding protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|311992993|ref|YP_004009859.1|	737	517045616	WP_018234434	825	41.6	99	166	2e-39	243063	hypothetical protein [Thioalkalivibrio thiocyanodenitrificans]	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio thiocyanodenitrificans
0	gi|311992993|ref|YP_004009859.1|	737	1224477396	WP_092498558	786	32.7	103	152	5e-35	1855383	hypothetical protein [bacterium A52C2]	Bacteria						bacterium A52C2
0	gi|311992993|ref|YP_004009859.1|	737	1215346504	WP_089045541	802	33.33	100	151	2e-34	1449788	hypothetical protein [Sinorhizobium sp. LM21]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium sp. LM21
0	gi|311992993|ref|YP_004009859.1|	737	1119688789	WP_072607579	662	32.17	101	145	8e-33	1670800	hypothetical protein [Mesorhizobium sp. B7]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium sp. B7
0	gi|311992993|ref|YP_004009859.1|	737	739644786	WP_037500606	712	30.61	120	142	9e-32	392409	ATP-binding protein [Sphingomonas jaspsi]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas jaspsi
