qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|31072014|ref|NP_852012.1|	408	1151973311	WP_078099150	415	36.44	133	225	6e-65	1280	encapsidation protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|31072015|ref|NP_852013.1|	784	913459679	WP_050439087	541	42.12	227	374	7e-116	1280	DNA polymerase, partial [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|31072018|ref|NP_852016.1|	105	1267561376	WP_098358365	142	39.18	38	73.9	4e-14	1396	hypothetical protein, partial [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|31072018|ref|NP_852016.1|	105	446929738	WP_001006994	176	41.18	35	74.3	5e-14	1311	endodeoxyribonuclease [Streptococcus agalactiae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae
0	gi|31072018|ref|NP_852016.1|	105	446929737	WP_001006993	176	41.18	35	74.3	6e-14	1301;208435	MULTISPECIES: endonuclease [Streptococcus]	NA	NA	NA	NA	NA	NA	NA
0	gi|31072018|ref|NP_852016.1|	105	1186221397	WP_085414741	206	43.16	41	74.3	8e-14	1834519	hypothetical protein [Fibrella sp. ES10-3-2-2]	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Fibrella	Fibrella sp. ES10-3-2-2
0	gi|31072018|ref|NP_852016.1|	105	1267574290	WP_098368116	166	39.18	38	73.6	9e-14	1396	HNH endonuclease [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|31072018|ref|NP_852016.1|	105	1267376471	WP_098208010	166	39.18	38	73.6	9e-14	1396	HNH endonuclease [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|31072018|ref|NP_852016.1|	105	1268577490	WP_098890456	166	39.18	38	73.6	9e-14	1396	HNH endonuclease [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|31072018|ref|NP_852016.1|	105	1268276565	WP_098774103	166	39.18	38	73.6	1e-13	1396	HNH endonuclease [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|31072018|ref|NP_852016.1|	105	1267646530	WP_098413247	195	39.18	38	73.6	1e-13	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|31072018|ref|NP_852016.1|	105	1222907250	WP_090950195	170	44.33	43	72.8	2e-13	186116	endonuclease [Parageobacillus thermantarcticus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Parageobacillus	Parageobacillus thermantarcticus
0	gi|31072018|ref|NP_852016.1|	105	1047401980	WP_065736180	176	40	34	72.8	2e-13	1311	endonuclease [Streptococcus agalactiae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae
0	gi|31072018|ref|NP_852016.1|	105	1133554303	WP_076030700	189	36.67	44	72.8	2e-13	104087	hypothetical protein [Pseudomonas frederiksbergensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas frederiksbergensis
0	gi|31072018|ref|NP_852016.1|	105	657289485	WP_029376937	181	42.45	45	72.4	3e-13	1288	hypothetical protein [Staphylococcus xylosus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus
0	gi|31072018|ref|NP_852016.1|	105	1092518379	WP_070503129	181	42.45	45	72	3e-13	1279	MULTISPECIES: hypothetical protein [Staphylococcus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
0	gi|31072018|ref|NP_852016.1|	105	1071429190	WP_069854529	181	42.45	45	72	4e-13	246432	hypothetical protein [Staphylococcus equorum]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus equorum
0	gi|31072018|ref|NP_852016.1|	105	1268123777	WP_098682889	195	41.67	35	72	5e-13	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|31072018|ref|NP_852016.1|	105	737196076	WP_035181601	177	36.84	42	71.2	6e-13	390841	HNH endonuclease [Lactobacillus farraginis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus farraginis
0	gi|31072018|ref|NP_852016.1|	105	1180672377	WP_084157558	228	46.25	37	71.2	1e-12	586413	hypothetical protein [Oceanobacillus manasiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus manasiensis
0	gi|31072018|ref|NP_852016.1|	105	1188374716	WP_085495984	191	44.55	49	70.9	1e-12	1852522	hypothetical protein [Paenibacillus aquistagni]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus aquistagni
0	gi|31072018|ref|NP_852016.1|	105	1123442606	WP_074189291	157	55.93	33	70.1	1e-12	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|31072018|ref|NP_852016.1|	105	1236098278	WP_094900552	180	44.71	38	70.5	1e-12	1280483	hypothetical protein [Tissierella sp. P1]	Bacteria	Firmicutes	Tissierellia	Tissierellales	Tissierellaceae	Tissierella	Tissierella sp. P1
0	gi|31072018|ref|NP_852016.1|	105	497136422	WP_009483859	157	55.93	33	70.1	1e-12	570	MULTISPECIES: HNH endonuclease domain protein [Klebsiella]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	
0	gi|31072018|ref|NP_852016.1|	105	1151119165	WP_078091105	188	43.33	39	70.5	2e-12	1280	hypothetical protein [Staphylococcus aureus]	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
0	gi|31072018|ref|NP_852016.1|	105	1327613363	WP_102024936	170	55.93	33	70.1	2e-12	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|31072018|ref|NP_852016.1|	105	1327562914	WP_101999535	157	55.93	33	70.1	2e-12	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|31072018|ref|NP_852016.1|	105	1123903564	WP_074425352	170	55.93	33	70.1	2e-12	573	hypothetical protein [Klebsiella pneumoniae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
0	gi|31072018|ref|NP_852016.1|	105	1167010343	WP_079987953	191	41.84	41	70.1	2e-12	1720200	hypothetical protein [Anaerotruncus rubiinfantis]	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus rubiinfantis
0	gi|31072018|ref|NP_852016.1|	105	492753361	WP_005951512	121	47.25	43	68.9	2e-12	53443	hypothetical protein [Blautia hydrogenotrophica]	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia hydrogenotrophica
0	gi|31072018|ref|NP_852016.1|	105	498441864	WP_010747501	192	41.67	40	70.1	2e-12	37734	hypothetical protein [Enterococcus casseliflavus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus casseliflavus
