qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|440789270|ref|YP_007348980.1|	936	1296597415	WP_100771378	725	26.36	102	118	6e-24	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|440789270|ref|YP_007348980.1|	936	1167889684	WP_080181602	725	26.36	102	118	7e-24	28901	hypothetical protein [Salmonella enterica]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
0	gi|440789270|ref|YP_007348980.1|	936	1208946742	WP_088209800	725	26.42	102	118	9e-24	562	hypothetical protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|440789270|ref|YP_007348980.1|	936	1122786325	WP_074146350	725	26.36	102	118	1e-23	1496	hypothetical protein [Clostridioides difficile]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
0	gi|440789270|ref|YP_007348980.1|	936	1160786814	WP_079638720	656	25.33	96	103	2e-19	1507287	hypothetical protein [Sphingopyxis flava]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis flava
0	gi|440789270|ref|YP_007348980.1|	936	1222655058	WP_090702921	716	31.82	77	87	5e-14	1882748	ATP-binding protein [Beijerinckia sp. 28-YEA-48]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia sp. 28-YEA-48
0	gi|440789270|ref|YP_007348980.1|	936	640401610	WP_024892447	762	28.89	78	85.1	2e-13	930	ATP-binding protein [Acidithiobacillus thiooxidans]	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
0	gi|440789270|ref|YP_007348980.1|	936	984669110	WP_060772554	763	29.76	75	78.6	2e-11	925818	ATP-binding protein [Methylobacterium sp. AMS5]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. AMS5
0	gi|440789274|ref|YP_007348984.1|	182	1057312761	WP_068673987	196	38.07	67	121	2e-30	34072	MULTISPECIES: hypothetical protein [Variovorax]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	
0	gi|440789274|ref|YP_007348984.1|	182	1070093384	WP_069707968	187	39.86	57	118	2e-29	158500	hypothetical protein [Novosphingobium resinovorum]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium resinovorum
0	gi|440789274|ref|YP_007348984.1|	182	740289730	WP_038128719	178	32.76	57	112	2e-27	662	MULTISPECIES: hypothetical protein [Vibrio]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
0	gi|440789274|ref|YP_007348984.1|	182	982017308	WP_060192679	193	34.52	58	112	3e-27	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|440789274|ref|YP_007348984.1|	182	1311100790	WP_101106579	155	39.87	61	111	3e-27	2058089	hypothetical protein [Psychromonas sp. psych-6C06]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Psychromonadaceae	Psychromonas	Psychromonas sp. psych-6C06
0	gi|440789274|ref|YP_007348984.1|	182	545124620	WP_021486083	178	32.76	57	112	3e-27	662	MULTISPECIES: hypothetical protein [Vibrio]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
0	gi|440789274|ref|YP_007348984.1|	182	981636848	WP_059835967	190	35.44	56	108	9e-26	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|440789274|ref|YP_007348984.1|	182	983584097	WP_060733955	155	38.36	56	103	5e-24	95486	hypothetical protein [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
0	gi|440789274|ref|YP_007348984.1|	182	518269268	WP_019439476	180	30.41	52	95.5	8e-21	90736	hypothetical protein [Moritella marina]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Moritellaceae	Moritella	Moritella marina
0	gi|440789274|ref|YP_007348984.1|	182	493690463	WP_006640497	185	31.91	60	68.6	3e-11	119858	hypothetical protein [Bacillus sonorensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sonorensis
0	gi|440789275|ref|YP_007348985.1|	209	520911176	WP_020330886	369	35.24	74	137	6e-35	676	hypothetical protein [Vibrio fluvialis]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio fluvialis
0	gi|440789275|ref|YP_007348985.1|	209	919141886	WP_052697518	369	35.24	74	137	8e-35	672	hypothetical protein [Vibrio vulnificus]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio vulnificus
0	gi|440789275|ref|YP_007348985.1|	209	1189703752	WP_085762118	369	35.24	74	136	2e-34	672	hypothetical protein [Vibrio vulnificus]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio vulnificus
0	gi|440789275|ref|YP_007348985.1|	209	1228032187	WP_094133563	369	35.24	74	135	4e-34	662	MULTISPECIES: hypothetical protein [Vibrio]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
0	gi|440789275|ref|YP_007348985.1|	209	518458614	WP_019628821	369	40.59	69	122	3e-29	90736	hypothetical protein [Moritella marina]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Moritellaceae	Moritella	Moritella marina
0	gi|440789275|ref|YP_007348985.1|	209	983584098	WP_060733956	362	34.24	63	104	8e-23	95486	hypothetical protein [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
0	gi|440789275|ref|YP_007348985.1|	209	1057312759	WP_068673985	376	35.48	66	102	4e-22	34072	MULTISPECIES: hypothetical protein [Variovorax]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	
0	gi|440789275|ref|YP_007348985.1|	209	1311100791	WP_101106580	400	33.33	60	94	4e-19	2058089	hypothetical protein [Psychromonas sp. psych-6C06]	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Psychromonadaceae	Psychromonas	Psychromonas sp. psych-6C06
0	gi|440789275|ref|YP_007348985.1|	209	981636847	WP_059835966	356	36.07	66	92.8	7e-19	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|440789275|ref|YP_007348985.1|	209	1178896207	WP_083274620	338	36.57	64	90.5	5e-18	158500	hypothetical protein [Novosphingobium resinovorum]	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium resinovorum
0	gi|440789275|ref|YP_007348985.1|	209	981878294	WP_060064896	372	33.86	64	89.7	9e-18	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|440789275|ref|YP_007348985.1|	209	982017307	WP_060192678	365	33.83	68	88.6	3e-17	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
