qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|418488961|ref|YP_007002873.1|	317	1170088881	WP_080520494	299	31.43	99	122	1e-28	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|418488961|ref|YP_007002873.1|	317	1174848485	WP_081528178	296	24.85	81	86.7	3e-16	536	hypothetical protein [Chromobacterium violaceum]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum
0	gi|418488961|ref|YP_007002873.1|	317	1246099917	WP_096296852	289	32	64	83.6	4e-15	2006110	DNA ligase [Luteimonas sp. 100111]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Luteimonas sp. 100111
0	gi|418488961|ref|YP_007002873.1|	317	1175602476	WP_082132360	297	31.86	65	83.6	4e-15	1547516	DNA ligase [Luteimonas sp. FCS-9]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Luteimonas sp. FCS-9
0	gi|418488961|ref|YP_007002873.1|	317	1174867128	WP_081544387	301	34.92	44	79.7	9e-14	394935	hypothetical protein [Chromobacterium haemolyticum]	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium haemolyticum
0	gi|418488961|ref|YP_007002873.1|	317	1152517310	WP_078363786	298	29.67	54	79	2e-13	28066	DNA ligase [Rhodoferax fermentans]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax fermentans
0	gi|418488961|ref|YP_007002873.1|	317	1328137653	WP_102245744	283	33.7	61	78.2	3e-13	2067960	DNA ligase [Azoarcus sp. SY39]	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus	Azoarcus sp. SY39
0	gi|418488961|ref|YP_007002873.1|	317	654859035	WP_028311363	303	33.54	54	78.6	3e-13	203699	DNA ligase [Derxia gummosa]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Derxia	Derxia gummosa
0	gi|418488961|ref|YP_007002873.1|	317	1222082024	WP_090138723	272	30.6	56	77.8	3e-13	1597955	DNA ligase [Limnohabitans sp. DM1]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	Limnohabitans sp. DM1
0	gi|418488961|ref|YP_007002873.1|	317	951160018	WP_057639835	287	30.88	63	77.8	4e-13	659018	DNA ligase [Stenotrophomonas daejeonensis]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas daejeonensis
0	gi|418488961|ref|YP_007002873.1|	317	1243465266	WP_096007944	301	30.22	55	77.4	8e-13	2032565	DNA ligase [Xanthomonadaceae bacterium NML93-0399]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae		Xanthomonadaceae bacterium NML93-0399
0	gi|418488961|ref|YP_007002873.1|	317	1179968711	WP_083491065	278	30.43	56	76.6	1e-12	405446	DNA ligase [Stenotrophomonas terrae]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas terrae
0	gi|418488961|ref|YP_007002873.1|	317	1245981405	WP_096207704	295	32.78	59	77	1e-12	57609	MULTISPECIES: DNA ligase [unclassified Xanthomonadaceae (miscellaneous)]	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae		
