qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|460041935|ref|YP_007517391.1|	224	490209503	WP_004107907	224	99.11	222	463	2e-163	2702	hypothetical protein [Gardnerella vaginalis]	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
0	gi|460041935|ref|YP_007517391.1|	224	1267714822	WP_098472869	221	52.45	107	218	3e-67	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|460041935|ref|YP_007517391.1|	224	1267620911	WP_098392480	221	51.96	106	217	7e-67	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|460041935|ref|YP_007517391.1|	224	507053168	WP_016124135	222	50.24	103	209	7e-64	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|460041935|ref|YP_007517391.1|	224	1267325721	WP_098169218	225	49.51	101	201	1e-60	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|460041935|ref|YP_007517391.1|	224	1267228948	WP_098087953	225	49.02	100	197	3e-59	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|460041935|ref|YP_007517391.1|	224	1268100142	WP_098663795	225	49.02	100	197	7e-59	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|460041935|ref|YP_007517391.1|	224	488059285	WP_002130682	218	48.78	100	184	8e-54	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|460041935|ref|YP_007517391.1|	224	1268171798	WP_098718552	225	49.22	95	181	7e-53	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|460041935|ref|YP_007517391.1|	224	1267260969	WP_098115351	225	45.5	96	179	3e-52	1890302	hypothetical protein [Bacillus wiedmannii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus wiedmannii
0	gi|460041935|ref|YP_007517391.1|	224	1268364936	WP_098832970	221	45.32	92	176	1e-50	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
