qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|56693050|ref|YP_164637.1|	104	780200161	WP_045513849	109	32.11	35	65.1	4e-11	1390	hypothetical protein [Bacillus amyloliquefaciens]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus amyloliquefaciens
0	gi|56693050|ref|YP_164637.1|	104	760328123	WP_043859070	112	32.41	35	64.7	7e-11	1390	hypothetical protein [Bacillus amyloliquefaciens]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus amyloliquefaciens
0	gi|56693057|ref|YP_164644.1|	144	1119646598	WP_072566898	148	70.95	105	212	3e-67	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	921974882	WP_053267115	148	64.38	94	187	1e-57	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	1275660747	WP_099745901	141	65.75	96	172	1e-51	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	850273644	WP_047999397	153	50.34	75	153	7e-44	1670446	hypothetical protein [Lactobacillus herbarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus herbarum
0	gi|56693057|ref|YP_164644.1|	144	1140774887	WP_076637233	149	53.06	78	150	5e-43	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	1024265620	WP_063489303	148	51.68	77	149	1e-42	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	1119608785	WP_072534540	154	51.92	81	149	2e-42	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	951356509	WP_057733330	147	51.02	75	147	1e-41	267633	DUF1642 domain-containing protein [Lactobacillus hammesii]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus hammesii
0	gi|56693057|ref|YP_164644.1|	144	639445876	WP_024624390	83	84.81	67	144	2e-41	483011	hypothetical protein [Lactobacillus fabifermentans]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus fabifermentans
0	gi|56693057|ref|YP_164644.1|	144	1027816189	WP_063722557	145	55.1	81	146	2e-41	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	1205143844	WP_087842781	151	51.68	77	145	6e-41	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	935445604	WP_054399360	164	49.69	80	144	2e-40	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	1140773650	WP_076636241	162	53.75	86	142	1e-39	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	935445605	WP_054399361	147	50.34	74	140	4e-39	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	1168822978	WP_080392746	149	49.66	73	138	2e-38	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	1140798129	WP_076657671	149	49.32	73	137	6e-38	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	1119609852	WP_072535438	149	50.34	74	137	6e-38	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	1008821388	WP_061871576	139	52.35	78	136	1e-37	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	654308972	WP_027822434	141	51.97	79	133	3e-36	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	1027832623	WP_063730065	151	48.39	75	132	5e-36	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	1024261893	WP_063487882	160	50.62	81	132	7e-36	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	1103701394	WP_071665359	169	47.31	79	132	8e-36	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	639185836	WP_024525117	136	53.06	78	130	2e-35	1580	DUF1642 domain-containing protein [Lactobacillus brevis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus brevis
0	gi|56693057|ref|YP_164644.1|	144	1027818147	WP_063724412	137	50	72	130	3e-35	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	1186562814	WP_085439478	150	50	76	127	4e-34	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	545606039	WP_021732017	132	49.67	75	125	3e-33	1578	MULTISPECIES: hypothetical protein, partial [Lactobacillus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
0	gi|56693057|ref|YP_164644.1|	144	1077872630	WP_070083719	130	51.03	74	124	8e-33	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	1275661016	WP_099746031	124	85.07	57	123	9e-33	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	1258230128	WP_097558136	130	47.65	71	122	4e-32	1590	hypothetical protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	1334984673	WP_103127358	130	48.99	73	120	1e-31	60520	hypothetical protein, partial [Lactobacillus paraplantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paraplantarum
0	gi|56693057|ref|YP_164644.1|	144	1169126960	WP_080468981	154	49.02	75	121	1e-31	1590	hypothetical protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	779860629	WP_045351759	144	47.68	72	120	2e-31	1590	DUF1642 domain-containing protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|56693057|ref|YP_164644.1|	144	1245804597	WP_096109867	151	47.37	72	120	2e-31	1580	DUF1642 domain-containing protein [Lactobacillus brevis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus brevis
0	gi|56693057|ref|YP_164644.1|	144	922315173	WP_053338942	142	48.99	73	120	3e-31	1590	hypothetical protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
