qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|418489789|ref|YP_007003541.1|	261	1140811882	WP_076669781	261	99.23	259	538	0	1590	ATP-binding protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|418489789|ref|YP_007003541.1|	261	922315177	WP_053338946	261	99.23	259	538	0	1590	ATP-binding protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|418489789|ref|YP_007003541.1|	261	1024261199	WP_063487246	261	99.23	259	537	0	1590	ATP-binding protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|418489789|ref|YP_007003541.1|	261	1024261898	WP_063487887	261	99.23	259	537	0	1590	ATP-binding protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|418489789|ref|YP_007003541.1|	261	1205143917	WP_087842849	261	99.23	259	536	0	1590	ATP-binding protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|418489789|ref|YP_007003541.1|	261	1027836261	WP_063733627	261	98.85	258	536	0	1590	ATP-binding protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|418489789|ref|YP_007003541.1|	261	506305564	WP_015825339	261	98.85	258	536	0	1590	ATP-binding protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|418489789|ref|YP_007003541.1|	261	1334984638	WP_103127323	261	98.47	257	535	0	60520	DNA replication protein [Lactobacillus paraplantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paraplantarum
0	gi|418489789|ref|YP_007003541.1|	261	505453423	WP_015640525	261	98.47	257	534	0	1590	ATP-binding protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|418489789|ref|YP_007003541.1|	261	912993270	WP_050339966	261	98.47	257	534	0	1589	ATP-binding protein [Lactobacillus pentosus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus pentosus
0	gi|418489789|ref|YP_007003541.1|	261	1140773655	WP_076636244	261	98.47	257	533	0	1590	ATP-binding protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|418489789|ref|YP_007003541.1|	261	1140770368	WP_076633695	261	98.47	257	533	0	1590	ATP-binding protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|418489789|ref|YP_007003541.1|	261	1122808013	WP_074161634	261	98.47	257	533	0	1590	ATP-binding protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|418489789|ref|YP_007003541.1|	261	1024256931	WP_063485450	261	98.08	256	533	0	1590	ATP-binding protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
0	gi|418489789|ref|YP_007003541.1|	261	513802393	WP_016511008	261	98.47	257	533	0	1590	ATP-binding protein [Lactobacillus plantarum]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum
