qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|21234370|ref|NP_640280.1|	661	738269572	WP_036224262	881	26.5	137	136	6e-30	1495039	DNA polymerase I [Mesoaciditoga lauensis]	Bacteria	Thermotogae	Thermotogae	Mesoaciditogales	Mesoaciditogaceae	Mesoaciditoga	Mesoaciditoga lauensis
0	gi|21234370|ref|NP_640280.1|	661	504543660	WP_014730762	896	24.42	138	135	1e-29	1184387	DNA polymerase I [Mesotoga prima]	Bacteria	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae	Mesotoga	Mesotoga prima
0	gi|21234370|ref|NP_640280.1|	661	1275697103	WP_099772240	896	24.77	136	135	2e-29	1421003	DNA polymerase I [Mesotoga sp. H07.pep.5.3]	Bacteria	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae	Mesotoga	Mesotoga sp. H07.pep.5.3
0	gi|21234370|ref|NP_640280.1|	661	966444831	WP_058485057	892	25.3	148	130	5e-28	1473580	DNA polymerase I [Defluviitalea phaphyphila]	Bacteria	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	Defluviitalea	Defluviitalea phaphyphila
0	gi|21234370|ref|NP_640280.1|	661	1231833356	WP_094384756	921	26.71	137	128	3e-27	2024224	DNA polymerase I [Prevotella sp. P2-180]	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. P2-180
0	gi|21234370|ref|NP_640280.1|	661	502757300	WP_012992284	575	25.74	148	126	5e-27	136094	bifunctional 3'-5' exonuclease/DNA polymerase [Thermocrinis albus]	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Thermocrinis	Thermocrinis albus
0	gi|21234370|ref|NP_640280.1|	661	1194663033	WP_085991717	879	25.79	139	127	6e-27	1936063	DNA polymerase I [Oceanobacillus senegalensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus senegalensis
0	gi|21234370|ref|NP_640280.1|	661	1325739501	WP_101640360	876	26.11	141	127	7e-27	673318	DNA polymerase I [Bacillus deserti]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus deserti
0	gi|21234370|ref|NP_640280.1|	661	765347436	WP_044665451	874	26.03	139	127	8e-27	499207	DNA polymerase I [Syntrophaceticus schinkii]	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Syntrophaceticus	Syntrophaceticus schinkii
0	gi|21234370|ref|NP_640280.1|	661	1020093059	WP_063229194	882	25.58	132	126	1e-26	54914	DNA polymerase I [Brevibacillus parabrevis]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus parabrevis
