qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|392972711|ref|YP_006488671.1|	167	446155533	WP_000233388	167	100	167	342	1e-117	1386	MULTISPECIES: phage terminase small subunit P27 family [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|392972711|ref|YP_006488671.1|	167	446155535	WP_000233390	167	99.4	166	341	3e-117	86661	MULTISPECIES: phage terminase small subunit P27 family [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|392972711|ref|YP_006488671.1|	167	506986195	WP_016077621	167	99.4	166	341	3e-117	1386	MULTISPECIES: phage terminase small subunit P27 family [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|392972711|ref|YP_006488671.1|	167	1267384306	WP_098213592	167	98.8	165	340	4e-117	1396	phage terminase small subunit P27 family [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|392972711|ref|YP_006488671.1|	167	1268680240	WP_098974149	167	98.8	165	340	6e-117	1428	phage terminase small subunit P27 family [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|392972711|ref|YP_006488671.1|	167	1196983241	WP_086403180	167	99.4	166	340	9e-117	1428	phage terminase small subunit P27 family [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|392972711|ref|YP_006488671.1|	167	507037942	WP_016109624	167	98.8	165	339	2e-116	1396	phage terminase small subunit P27 family [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|392972711|ref|YP_006488671.1|	167	1012075684	WP_062804420	167	99.4	166	339	2e-116	1428	phage terminase small subunit P27 family [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|392972711|ref|YP_006488671.1|	167	1268089823	WP_098658250	167	98.8	165	339	2e-116	1428	phage terminase small subunit P27 family [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|392972711|ref|YP_006488671.1|	167	1173229594	WP_081097549	167	99.4	166	339	2e-116	86661	MULTISPECIES: phage terminase small subunit P27 family [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|392972711|ref|YP_006488671.1|	167	506990878	WP_016081472	167	99.4	166	338	2e-116	1396	phage terminase small subunit P27 family [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|392972711|ref|YP_006488671.1|	167	1267275865	WP_098128134	167	98.8	165	338	2e-116	1396	phage terminase small subunit P27 family [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|392972711|ref|YP_006488671.1|	167	446862869	WP_000940125	167	98.2	164	338	3e-116	1386	MULTISPECIES: phage terminase small subunit P27 family [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|392972711|ref|YP_006488671.1|	167	446173785	WP_000251640	167	98.8	165	338	4e-116	1386	MULTISPECIES: phage terminase small subunit P27 family [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|392972711|ref|YP_006488671.1|	167	1264374096	WP_097984970	167	98.8	165	337	1e-115	1428	phage terminase small subunit P27 family [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|392972711|ref|YP_006488671.1|	167	1062993541	WP_069354990	167	98.2	164	337	1e-115	1428	phage terminase small subunit P27 family [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|392972711|ref|YP_006488671.1|	167	1268158180	WP_098709979	167	98.8	165	337	1e-115	155322	phage terminase small subunit P27 family [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|392972711|ref|YP_006488671.1|	167	1196964403	WP_086387673	167	98.2	164	337	1e-115	1428	phage terminase small subunit P27 family [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|392972711|ref|YP_006488671.1|	167	1104415471	WP_071740170	167	98.8	165	337	1e-115	1396	phage terminase small subunit P27 family [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|392972711|ref|YP_006488671.1|	167	662056144	WP_030022321	167	98.2	164	337	2e-115	1428	phage terminase small subunit P27 family [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|392972711|ref|YP_006488671.1|	167	1197007478	WP_086423950	167	98.8	165	336	2e-115	1428	phage terminase small subunit P27 family [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|392972711|ref|YP_006488671.1|	167	558693983	WP_023523400	167	97.6	163	336	2e-115	1428	phage terminase small subunit P27 family [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|392972711|ref|YP_006488671.1|	167	1197742173	WP_086691942	167	98.8	165	336	3e-115	1396	phage terminase small subunit P27 family [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|392972711|ref|YP_006488671.1|	167	1205191890	WP_087875745	167	98.2	164	336	4e-115	1428	phage terminase small subunit P27 family [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|392972711|ref|YP_006488671.1|	167	1267659918	WP_098425417	167	98.2	164	335	4e-115	1428	phage terminase small subunit P27 family [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|392972711|ref|YP_006488671.1|	167	1177680329	WP_082769931	167	97.6	163	335	5e-115	1759556	phage terminase small subunit P27 family [Bacillus sp. JH7]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. JH7
0	gi|392972711|ref|YP_006488671.1|	167	1012056066	WP_062804311	167	98.2	164	335	5e-115	1428	phage terminase small subunit P27 family [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|392972711|ref|YP_006488671.1|	167	1172926805	WP_080990785	167	98.2	164	335	5e-115	1386	MULTISPECIES: phage terminase small subunit P27 family [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|392972711|ref|YP_006488671.1|	167	446165075	WP_000242930	167	98.2	164	335	7e-115	1396	phage terminase small subunit P27 family [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|392972711|ref|YP_006488671.1|	167	1268402766	WP_098856401	167	97.6	163	335	8e-115	1428	phage terminase small subunit P27 family [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|392972711|ref|YP_006488671.1|	167	1196967312	WP_086390380	167	97.6	163	335	8e-115	1428	phage terminase small subunit P27 family [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
