qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|712912355|ref|YP_009099266.1|	131	506583674	WP_016049874	127	100	127	265	3e-88	86661	MULTISPECIES: hypothetical protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|712912355|ref|YP_009099266.1|	131	1267804583	WP_098545812	141	82.4	103	216	7e-69	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|712912355|ref|YP_009099266.1|	131	507038139	WP_016109821	124	73.81	93	188	3e-58	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|712912355|ref|YP_009099266.1|	131	1264300271	WP_097919582	130	68.55	85	176	3e-53	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|712912355|ref|YP_009099266.1|	131	1268289247	WP_098782733	127	74.55	82	172	8e-52	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|712912355|ref|YP_009099266.1|	131	985612105	WP_060851590	118	42.52	54	88.2	2e-19	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|712912356|ref|YP_009099267.1|	109	506583673	WP_016049873	106	100	106	220	2e-71	86661	MULTISPECIES: hypothetical protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|712912356|ref|YP_009099267.1|	109	1333396989	WP_102957299	94	100	94	197	2e-62	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|712912356|ref|YP_009099267.1|	109	763055262	WP_043937567	106	92.47	86	181	3e-56	1386	MULTISPECIES: hypothetical protein [Bacillus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|712912356|ref|YP_009099267.1|	109	446652959	WP_000730305	106	89.25	83	177	1e-54	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|712912356|ref|YP_009099267.1|	109	1267994905	WP_098638290	102	74.53	79	159	2e-47	1392	hypothetical protein [Bacillus anthracis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis
0	gi|712912356|ref|YP_009099267.1|	109	1020086467	WP_063223222	106	79.57	74	152	7e-45	86661	MULTISPECIES: hypothetical protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|712912356|ref|YP_009099267.1|	109	1261287138	WP_097815008	106	78.49	73	150	5e-44	1890302	hypothetical protein [Bacillus wiedmannii]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus wiedmannii
0	gi|712912356|ref|YP_009099267.1|	109	1267929870	WP_098588875	106	59.05	62	130	3e-36	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|712912356|ref|YP_009099267.1|	109	1261281046	WP_097809756	106	59.05	62	130	5e-36	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|712912356|ref|YP_009099267.1|	109	1268109667	WP_098672025	95	65.96	62	127	2e-35	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|712912356|ref|YP_009099267.1|	109	1124244551	WP_074544077	95	63.83	60	126	9e-35	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|712912356|ref|YP_009099267.1|	109	446746883	WP_000824139	106	54.72	58	120	4e-32	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|712912356|ref|YP_009099267.1|	109	446746884	WP_000824140	106	58.51	55	115	3e-30	1428	hypothetical protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|712912356|ref|YP_009099267.1|	109	1267518836	WP_098322810	88	58.51	55	103	6e-26	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|712912356|ref|YP_009099267.1|	109	1209240333	WP_088293624	90	58.51	55	103	6e-26	1405	hypothetical protein [Bacillus mycoides]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mycoides
0	gi|712912356|ref|YP_009099267.1|	109	1268334692	WP_098810680	90	55.91	52	101	4e-25	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|712912356|ref|YP_009099267.1|	109	446652957	WP_000730303	90	57.45	54	99.8	2e-24	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|712912356|ref|YP_009099267.1|	109	1268636150	WP_098935289	90	56.38	53	98.2	9e-24	155322	hypothetical protein [Bacillus toyonensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus toyonensis
0	gi|712912356|ref|YP_009099267.1|	109	446652958	WP_000730304	88	52.69	49	91.3	4e-21	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|712912357|ref|YP_009099268.1|	87	506583672	WP_016049872	87	100	87	176	9e-55	86661	MULTISPECIES: DUF2829 domain-containing protein [Bacillus cereus group]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
0	gi|712912357|ref|YP_009099268.1|	87	568211705	WP_024086069	86	95.4	83	164	3e-50	1428;529121	DUF2829 domain-containing protein [Bacillus thuringiensis]	NA	NA	NA	NA	NA	NA	NA
0	gi|712912357|ref|YP_009099268.1|	87	1184765379	WP_085313204	85	82.56	71	145	2e-42	1405	DUF2829 domain-containing protein [Bacillus mycoides]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mycoides
0	gi|712912357|ref|YP_009099268.1|	87	1268180959	WP_098723691	86	82.56	71	144	2e-42	64104	hypothetical protein [Bacillus pseudomycoides]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pseudomycoides
0	gi|712912357|ref|YP_009099268.1|	87	1267430110	WP_098252809	85	83.72	72	144	3e-42	1396	hypothetical protein [Bacillus cereus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
0	gi|712912357|ref|YP_009099268.1|	87	545602017	WP_021729068	85	81.4	70	142	2e-41	1428	DUF2829 domain-containing protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|712912357|ref|YP_009099268.1|	87	1079457933	WP_070179827	85	80.23	69	141	4e-41	1428	DUF2829 domain-containing protein [Bacillus thuringiensis]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis
0	gi|712912357|ref|YP_009099268.1|	87	1267490189	WP_098303007	85	77.91	67	135	1e-38	2033492	hypothetical protein [Bacillus sp. AFS023182]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. AFS023182
