qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|126011063|ref|YP_001039888.1|	398	499326858	WP_011017350	398	98.99	394	819	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|126011063|ref|YP_001039888.1|	398	694121378	WP_032462594	398	98.74	393	817	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|126011063|ref|YP_001039888.1|	398	1053283395	WP_066028338	398	98.74	393	816	0	1334	site-specific integrase [Streptococcus dysgalactiae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus dysgalactiae
0	gi|126011063|ref|YP_001039888.1|	398	1053139083	WP_065956786	398	96.98	386	807	0	1334	site-specific integrase [Streptococcus dysgalactiae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus dysgalactiae
0	gi|126011063|ref|YP_001039888.1|	398	658518974	WP_029713988	398	96.73	385	807	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|126011063|ref|YP_001039888.1|	398	852264471	WP_048327218	398	96.23	383	802	0	1334	site-specific integrase [Streptococcus dysgalactiae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus dysgalactiae
0	gi|126011063|ref|YP_001039888.1|	398	1115997374	WP_072136018	375	98.67	370	769	0	1314	site-specific integrase [Streptococcus pyogenes]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
0	gi|126011063|ref|YP_001039888.1|	398	1093458443	WP_070836150	393	67.86	266	552	0	1715113	integrase [Streptococcus sp. HMSC034B03]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. HMSC034B03
0	gi|126011063|ref|YP_001039888.1|	398	757479998	WP_042754143	393	67.86	266	551	0	1301	MULTISPECIES: integrase [Streptococcus]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
0	gi|126011063|ref|YP_001039888.1|	398	1225647342	WP_093650021	382	64.19	242	506	3e-175	1608583	site-specific integrase [Streptococcus varani]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus varani
0	gi|126011063|ref|YP_001039888.1|	398	446800736	WP_000877992	382	63.4	239	501	6e-173	1311	site-specific integrase [Streptococcus agalactiae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae
0	gi|126011063|ref|YP_001039888.1|	398	757664939	WP_042902984	382	61.54	232	493	4e-170	1303	site-specific integrase [Streptococcus oralis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis
0	gi|126011063|ref|YP_001039888.1|	398	912648618	WP_050215377	382	61.54	232	489	2e-168	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	912627515	WP_050201997	382	61.54	232	488	6e-168	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	1127348843	WP_075229579	382	61.01	230	488	6e-168	1739491	integrase [Streptococcus sp. HMSC067H01]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. HMSC067H01
0	gi|126011063|ref|YP_001039888.1|	398	727225278	WP_033686193	382	61.54	232	488	7e-168	28037	site-specific integrase [Streptococcus mitis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis
0	gi|126011063|ref|YP_001039888.1|	398	896665905	WP_049543945	382	60.48	228	488	9e-168	257758	site-specific integrase [Streptococcus pseudopneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pseudopneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	1328099560	WP_102211024	382	61.01	230	487	9e-168	2069308	site-specific integrase [Streptococcus sp. UMB0029]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. UMB0029
0	gi|126011063|ref|YP_001039888.1|	398	1127347226	WP_075228007	382	60.74	229	487	1e-167	1739299	integrase [Streptococcus sp. HMSC056C01]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. HMSC056C01
0	gi|126011063|ref|YP_001039888.1|	398	935208023	WP_054367777	382	61.27	231	487	1e-167	1313	integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	1183649065	WP_084881542	382	60.21	227	487	1e-167	1303	site-specific integrase [Streptococcus oralis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis
0	gi|126011063|ref|YP_001039888.1|	398	912857758	WP_050295056	382	61.27	231	487	1e-167	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	1093459573	WP_070837098	382	60.74	229	486	4e-167	1715134	integrase [Streptococcus sp. HMSC066F01]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. HMSC066F01
0	gi|126011063|ref|YP_001039888.1|	398	1183727940	WP_084953654	382	60.74	229	484	1e-166	28037	integrase [Streptococcus mitis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis
0	gi|126011063|ref|YP_001039888.1|	398	942450880	WP_055314763	382	59.68	225	482	1e-165	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	446799478	WP_000876734	382	60.21	227	481	2e-165	1303	site-specific integrase [Streptococcus oralis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis
0	gi|126011063|ref|YP_001039888.1|	398	1183634169	WP_084867814	382	59.42	224	481	4e-165	1303	site-specific integrase [Streptococcus oralis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis
0	gi|126011063|ref|YP_001039888.1|	398	896624046	WP_049505479	382	59.42	224	478	4e-164	1303	site-specific integrase [Streptococcus oralis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis
0	gi|126011063|ref|YP_001039888.1|	398	726980886	WP_033585575	382	61.54	232	478	5e-164	1161416	site-specific integrase [Streptococcus sp. SR1]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. SR1
0	gi|126011063|ref|YP_001039888.1|	398	1092492693	WP_070480047	382	61.54	232	476	2e-163	1715092	site-specific integrase [Streptococcus sp. HMSC070B10]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. HMSC070B10
0	gi|126011063|ref|YP_001039888.1|	398	1092753003	WP_070678509	382	61.27	231	476	3e-163	1739461	site-specific integrase [Streptococcus sp. HMSC062D07]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. HMSC062D07
0	gi|126011063|ref|YP_001039888.1|	398	1002967707	WP_061418928	382	60.37	230	476	3e-163	1303	site-specific integrase [Streptococcus oralis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis
0	gi|126011063|ref|YP_001039888.1|	398	1183679660	WP_084911225	382	61.01	230	476	4e-163	1303	site-specific integrase [Streptococcus oralis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis
0	gi|126011063|ref|YP_001039888.1|	398	912660586	WP_050221731	382	60.48	228	469	2e-160	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	446799469	WP_000876725	382	60.74	229	468	3e-160	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	1214394980	WP_088794954	382	59.58	227	468	5e-160	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	912747167	WP_050257848	382	60.21	227	468	5e-160	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	1005518262	WP_061648522	382	60.48	228	467	7e-160	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	446799466	WP_000876722	382	60.48	228	467	7e-160	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	446799475	WP_000876731	382	59.95	226	467	8e-160	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	1006346647	WP_061756618	382	60.48	228	467	8e-160	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	916186361	WP_050965230	382	59.32	226	467	9e-160	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	446799474	WP_000876730	382	59.95	226	467	9e-160	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	950867681	WP_057530031	382	59.95	226	467	1e-159	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	1214395401	WP_088795130	382	60.48	228	467	1e-159	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	742267339	WP_038804351	382	59.95	226	467	1e-159	1303	site-specific integrase [Streptococcus oralis]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis
0	gi|126011063|ref|YP_001039888.1|	398	935216041	WP_054368487	382	59.32	226	466	2e-159	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	912624135	WP_050199954	382	59.95	226	466	2e-159	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	1181255876	WP_084568813	382	60.21	227	466	2e-159	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	1006368751	WP_061760614	382	59.95	226	466	2e-159	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	935197210	WP_054366821	382	59.95	226	466	2e-159	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	446799479	WP_000876735	382	60.21	227	466	2e-159	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	1128882040	WP_075275251	379	59.95	226	466	2e-159	1313	site-specific integrase, partial [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	912632489	WP_050205148	382	59.95	226	466	3e-159	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	1005484637	WP_061644161	382	59.95	226	466	3e-159	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	912809707	WP_050277969	382	59.32	226	466	3e-159	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	912646453	WP_050213885	382	59.95	226	466	3e-159	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
0	gi|126011063|ref|YP_001039888.1|	398	912650226	WP_050216447	382	59.95	226	466	3e-159	1313	site-specific integrase [Streptococcus pneumoniae]	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
