qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|326804390|ref|YP_004327194.1|	506	953271444	WP_057961133	490	69.65	335	698	0	294	hypothetical protein [Pseudomonas fluorescens]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens
0	gi|326804390|ref|YP_004327194.1|	506	917073303	WP_051680015	469	39.96	181	329	6e-103	1496690	terminase [Rhizobium marinum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium marinum
0	gi|326804390|ref|YP_004327194.1|	506	496254920	WP_008968305	483	39.83	186	324	6e-101	551947	hypothetical protein [Bradyrhizobium sp. STM 3843]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. STM 3843
0	gi|326804390|ref|YP_004327194.1|	506	1032631063	WP_064253685	462	38.99	177	322	1e-100	194963	terminase [Sinorhizobium americanum]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium americanum
0	gi|326804390|ref|YP_004327194.1|	506	916833647	WP_051440703	485	39.56	180	321	8e-100	1708715	terminase [Ensifer aridi]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer aridi
0	gi|326804390|ref|YP_004327194.1|	506	1258203896	WP_097538387	465	38.95	178	319	3e-99	1538174	terminase [Sinorhizobium sp. NG07B]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium sp. NG07B
0	gi|326804390|ref|YP_004327194.1|	506	1208939735	WP_088203219	470	38.01	176	318	5e-99	382	terminase [Sinorhizobium meliloti]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti
0	gi|326804390|ref|YP_004327194.1|	506	1046624733	WP_065693766	463	39.38	178	318	8e-99	1841654	terminase [Rhizobium sp. AC44/96]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp. AC44/96
0	gi|326804390|ref|YP_004327194.1|	506	1168754395	WP_080325657	453	39.61	183	317	2e-98	82374	terminase [Anaerovibrio lipolyticus]	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Anaerovibrio	Anaerovibrio lipolyticus
0	gi|326804390|ref|YP_004327194.1|	506	1148775299	WP_077505700	461	37.83	171	315	8e-98	1945861	terminase [Sinorhizobium sp. A49]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium sp. A49
0	gi|326804390|ref|YP_004327194.1|	506	1150767351	WP_077961653	466	38.9	177	314	2e-97	106592	terminase [Ensifer adhaerens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer adhaerens
0	gi|326804390|ref|YP_004327194.1|	506	1181523535	WP_084815109	461	37.83	171	314	2e-97	1911585	terminase [Ensifer sp. 1H6]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer sp. 1H6
0	gi|326804390|ref|YP_004327194.1|	506	950207069	WP_057252486	466	38.68	176	314	2e-97	1736509	terminase [Ensifer sp. Root278]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer sp. Root278
0	gi|326804390|ref|YP_004327194.1|	506	950175063	WP_057222750	461	37.83	171	313	5e-97	1736461	terminase [Ensifer sp. Root142]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer sp. Root142
0	gi|326804390|ref|YP_004327194.1|	506	515104973	WP_016734118	466	39.17	179	313	8e-97	396	terminase [Rhizobium phaseoli]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium phaseoli
0	gi|326804390|ref|YP_004327194.1|	506	504820289	WP_015007391	470	37.58	171	313	8e-97	382	hypothetical protein [Sinorhizobium meliloti]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti
0	gi|326804390|ref|YP_004327194.1|	506	960516638	WP_058320139	466	38.9	177	312	1e-96	1358418	terminase [Sinorhizobium sp. GL28]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium sp. GL28
0	gi|326804390|ref|YP_004327194.1|	506	515844194	WP_017274947	470	37.8	172	312	1e-96	382	terminase [Sinorhizobium meliloti]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti
0	gi|326804390|ref|YP_004327194.1|	506	914887388	WP_050746747	466	38.68	176	309	2e-95	323620	MULTISPECIES: terminase [Shinella]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella	
0	gi|326804390|ref|YP_004327194.1|	506	645055656	WP_025426937	460	37.61	170	307	8e-95	106592	hypothetical protein [Ensifer adhaerens]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer adhaerens
0	gi|326804390|ref|YP_004327194.1|	506	1222376952	WP_090429228	466	38.24	174	308	8e-95	1855293	terminase [Ensifer sp. OV372]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Ensifer sp. OV372
0	gi|326804390|ref|YP_004327194.1|	506	654536585	WP_028004603	466	38.24	174	306	2e-94	382	hypothetical protein [Sinorhizobium meliloti]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti
0	gi|326804390|ref|YP_004327194.1|	506	1208955224	WP_088217694	465	37.83	171	305	1e-93	382	terminase [Sinorhizobium meliloti]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti
