qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|12657855|ref|NP_075268.1|	98	1055158407	WP_066904585	97	70.79	63	119	4e-32	146021	HNH endonuclease [Mycobacterium houstonense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium houstonense
0	gi|12657855|ref|NP_075268.1|	98	1123763550	WP_074334782	97	54.08	53	106	6e-27	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|12657855|ref|NP_075268.1|	98	1152469215	WP_078323610	97	55.21	53	102	1e-25	404941	HNH endonuclease [Mycobacterium salmoniphilum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium salmoniphilum
0	gi|12657855|ref|NP_075268.1|	98	759884961	WP_043571622	99	47.87	45	92.4	1e-21	414996	HNH endonuclease [Actinopolyspora erythraea]	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales	Actinopolysporaceae	Actinopolyspora	Actinopolyspora erythraea
0	gi|12657855|ref|NP_075268.1|	98	1123824891	WP_074367871	98	48.45	47	90.9	4e-21	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|12657855|ref|NP_075268.1|	98	494734546	WP_007470357	101	52.63	50	90.1	9e-21	286804	HNH endonuclease [Segniliparus rugosus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Segniliparaceae	Segniliparus	Segniliparus rugosus
0	gi|12657855|ref|NP_075268.1|	98	662144342	WP_030095301	96	50	47	88.2	5e-20	670516	MULTISPECIES: HNH endonuclease [Mycobacterium chelonae group]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
0	gi|12657855|ref|NP_075268.1|	98	1160774518	WP_079629049	98	48.45	47	87.8	8e-20	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|12657855|ref|NP_075268.1|	98	1123796523	WP_074344887	98	47.42	46	87.4	1e-19	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|12657855|ref|NP_075268.1|	98	1285198892	WP_100514448	98	48.45	47	87.4	1e-19	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|12657855|ref|NP_075268.1|	98	1176857519	WP_082614298	98	50.51	50	86.7	2e-19	1736504	HNH endonuclease [Mycobacterium sp. Root265]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. Root265
0	gi|12657855|ref|NP_075268.1|	98	1175905354	WP_082164352	97	50	49	86.7	2e-19	1807	HNH endonuclease [Mycobacterium obuense]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium obuense
0	gi|12657855|ref|NP_075268.1|	98	1123612283	WP_074303890	98	47.42	46	86.3	2e-19	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|12657855|ref|NP_075268.1|	98	1285185073	WP_100502407	98	47.42	46	85.9	4e-19	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|12657855|ref|NP_075268.1|	98	1285180711	WP_100498714	98	47.42	46	85.9	5e-19	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|12657855|ref|NP_075268.1|	98	1181180914	WP_084528423	98	47.92	46	85.5	5e-19	53428	HNH endonuclease [Nocardia crassostreae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia crassostreae
0	gi|12657855|ref|NP_075268.1|	98	1123835001	WP_074376435	98	47.42	46	85.5	5e-19	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|12657855|ref|NP_075268.1|	98	1123825389	WP_074368251	96	47.96	47	85.1	8e-19	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|12657855|ref|NP_075268.1|	98	1160826942	WP_079674033	98	47.42	46	85.1	8e-19	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|12657855|ref|NP_075268.1|	98	1123615180	WP_074305785	98	46.39	45	84.7	1e-18	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|12657855|ref|NP_075268.1|	98	1285221033	WP_100525327	98	47.42	46	84.7	1e-18	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|12657855|ref|NP_075268.1|	98	1159730053	WP_079281454	99	47.92	46	84.7	1e-18	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|12657855|ref|NP_075268.1|	98	1160782766	WP_079635177	99	47.92	46	84	2e-18	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|12657855|ref|NP_075268.1|	98	1152494437	WP_078344890	97	45.92	45	84	2e-18	1774	HNH endonuclease [Mycobacterium chelonae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chelonae
0	gi|12657855|ref|NP_075268.1|	98	648215217	WP_025997004	98	45.36	44	83.6	3e-18	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|12657855|ref|NP_075268.1|	98	1173661960	WP_081344319	97	45.92	45	83.2	4e-18	1774	HNH endonuclease [Mycobacterium chelonae]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chelonae
0	gi|12657855|ref|NP_075268.1|	98	1123758813	WP_074334362	99	46.88	45	83.2	5e-18	36809	HNH endonuclease [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
