qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|225626325|ref|YP_002727821.1|	179	1170088894	WP_080520507	175	49.26	67	143	4e-39	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|225626325|ref|YP_002727821.1|	179	1170089122	WP_080520735	159	43.88	61	104	2e-24	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|225626325|ref|YP_002727821.1|	179	981272976	WP_059491520	159	40.91	54	97.1	1e-21	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|225626325|ref|YP_002727821.1|	179	492895971	WP_006026377	159	40.91	54	96.7	1e-21	32008	MULTISPECIES: hypothetical protein [Burkholderia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|225626325|ref|YP_002727821.1|	179	981804424	WP_059994634	159	40.15	53	93.2	3e-20	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|225626325|ref|YP_002727821.1|	179	981643428	WP_059842369	158	37.12	49	88.6	2e-18	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|225626325|ref|YP_002727821.1|	179	981366081	WP_059580595	158	37.12	49	87.8	3e-18	111527	MULTISPECIES: hypothetical protein [pseudomallei group]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|225626325|ref|YP_002727821.1|	179	982122214	WP_060289690	155	38.1	48	87.4	4e-18	101571	hypothetical protein [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|225626325|ref|YP_002727821.1|	179	981253935	WP_059473392	182	33.73	56	87.8	4e-18	1385590	hypothetical protein [Burkholderia sp. BDU5]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. BDU5
0	gi|225626325|ref|YP_002727821.1|	179	919473069	WP_052832935	180	31.85	50	77.8	2e-14	1619232	hypothetical protein [Bradyrhizobium sp. LTSP885]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. LTSP885
0	gi|225626325|ref|YP_002727821.1|	179	951473831	WP_057845389	170	36.28	41	73.9	4e-13	1300035	hypothetical protein [Bradyrhizobium retamae]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium retamae
0	gi|225626325|ref|YP_002727821.1|	179	1186148981	WP_085352842	178	35.65	41	71.6	3e-12	255045	hypothetical protein [Bradyrhizobium canariense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium canariense
0	gi|225626325|ref|YP_002727821.1|	179	1223945867	WP_091977238	201	34.68	43	70.5	8e-12	931866	hypothetical protein [Bradyrhizobium ottawaense]	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium ottawaense
0	gi|225626334|ref|YP_002727830.1|	138	1170088886	WP_080520499	135	47.22	51	84.7	1e-17	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|225626339|ref|YP_002727835.1|	274	1170088883	WP_080520496	278	50.76	133	240	2e-74	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|225626339|ref|YP_002727835.1|	274	704402582	WP_033463157	268	28.93	81	73.2	8e-12	518	hypothetical protein [Bordetella bronchiseptica]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica
0	gi|225626339|ref|YP_002727835.1|	274	1177581507	WP_082717634	268	27.8	77	71.2	4e-11	111527	MULTISPECIES: hypothetical protein [pseudomallei group]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
0	gi|225626340|ref|YP_002727836.1|	396	1170089180	WP_080520793	401	55	220	441	2e-149	29442	hypothetical protein [Pseudomonas tolaasii]	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii
0	gi|225626340|ref|YP_002727836.1|	396	920134224	WP_052954289	412	42.24	166	288	2e-89	1659713	hypothetical protein [Enterobacter cloacae complex sp. GN02548]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae complex sp. GN02548
0	gi|225626340|ref|YP_002727836.1|	396	515095742	WP_016724955	431	34.85	138	199	5e-55	305	heavy metal transporter [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|225626340|ref|YP_002727836.1|	396	704402577	WP_033463155	422	36.29	131	196	3e-54	518	hypothetical protein [Bordetella bronchiseptica]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica
0	gi|225626340|ref|YP_002727836.1|	396	1235702781	WP_094848687	422	35.13	124	196	3e-54	1416803	hypothetical protein [Bordetella genomosp. 9]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella genomosp. 9
0	gi|225626340|ref|YP_002727836.1|	396	981545662	WP_059748687	431	33.7	123	189	3e-51	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|225626340|ref|YP_002727836.1|	396	755832412	WP_042589651	431	34.09	136	189	3e-51	305	helicase DnaB [Ralstonia solanacearum]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
0	gi|225626340|ref|YP_002727836.1|	396	981863518	WP_060050870	431	33.79	123	186	2e-50	292	helicase DnaB [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
0	gi|225626340|ref|YP_002727836.1|	396	981773280	WP_059965243	431	33.79	123	186	2e-50	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|225626340|ref|YP_002727836.1|	396	981699319	WP_059895111	412	33.52	117	186	3e-50	60552	helicase DnaB [Burkholderia vietnamiensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia vietnamiensis
0	gi|225626340|ref|YP_002727836.1|	396	981886265	WP_060072203	431	33.97	124	182	1e-48	101571	helicase DnaB [Burkholderia ubonensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis
0	gi|225626340|ref|YP_002727836.1|	396	981486932	WP_059693954	431	33.97	124	182	1e-48	292	helicase DnaB [Burkholderia cepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
0	gi|225626340|ref|YP_002727836.1|	396	981246763	WP_059466473	431	33.7	123	181	1e-48	488732	helicase DnaB [Burkholderia diffusa]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia diffusa
0	gi|225626340|ref|YP_002727836.1|	396	1142810670	WP_077056194	431	33.7	123	181	2e-48	95486	helicase DnaB [Burkholderia cenocepacia]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
