qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|658311236|ref|YP_009043940.1|	201	1196536536	WP_086186118	196	60	87	178	3e-52	562	nuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|658311236|ref|YP_009043940.1|	201	1254635095	WP_097342452	196	60	87	177	6e-52	562	nuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|658311236|ref|YP_009043940.1|	201	889542153	WP_048828119	196	59.31	86	176	2e-51	562	nuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|658311236|ref|YP_009043940.1|	201	983467737	WP_060626344	196	59.31	86	176	2e-51	543	MULTISPECIES: nuclease [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|658311236|ref|YP_009043940.1|	201	910186135	WP_050015662	196	59.31	86	176	2e-51	562	nuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|658311236|ref|YP_009043940.1|	201	1243947419	WP_096040785	196	59.31	86	176	2e-51	562	nuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|658311236|ref|YP_009043940.1|	201	447108173	WP_001185429	196	59.31	86	176	2e-51	543	MULTISPECIES: nuclease [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|658311236|ref|YP_009043940.1|	201	974666657	WP_059251068	196	59.31	86	176	3e-51	208962	nuclease [Escherichia albertii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia albertii
0	gi|658311236|ref|YP_009043940.1|	201	545246402	WP_021544973	196	59.31	86	175	3e-51	562	phage protein [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|658311236|ref|YP_009043940.1|	201	1255339064	WP_097418543	196	62.41	83	175	4e-51	562	nuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|658311236|ref|YP_009043940.1|	201	447108172	WP_001185428	196	58.62	85	173	2e-50	543	MULTISPECIES: nuclease [Enterobacteriaceae]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0	gi|658311236|ref|YP_009043940.1|	201	1267632580	WP_098401658	196	58.62	85	173	2e-50	208962	nuclease [Escherichia albertii]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia albertii
0	gi|658311236|ref|YP_009043940.1|	201	1254327499	WP_097234357	196	57.93	84	170	3e-49	562	nuclease [Escherichia coli]	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
0	gi|658311236|ref|YP_009043940.1|	201	491575715	WP_005433292	412	62.14	87	175	1e-48	40545	adenine methyltransferase [Sutterella wadsworthensis]	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella wadsworthensis
